TO_URJC
1462173160
time,tx_packets
0.001,402615
0.101,402615
0.201,402615
0.301,402615
0.402,402616
0.502,402616
0.603,402616
0.703,402616
0.803,402622
0.904,402647
1.004,402676
1.104,402705
1.204,402732
1.304,402760
1.405,402785
1.505,402809
1.605,402835
1.705,402860
1.805,402885
1.905,402917
2.005,402949
2.106,402980
2.206,403010
2.306,403041
2.406,403071
2.506,403101
2.606,403132
2.706,403161
2.806,403192
2.907,403221
3.007,403252
3.107,403282
3.207,403312
3.307,403342
3.407,403372
3.507,403404
3.608,403434
3.708,403464
3.808,403494
3.908,403525
4.009,403556
4.109,403586
4.209,403618
4.309,403648
4.409,403678
4.509,403709
4.609,403719
4.710,403768
4.810,403800
4.910,403830
5.010,403860
5.110,403890
5.211,403920
5.311,403950
5.412,403980
5.511,404010
5.611,404040
5.712,404070
5.812,404100
5.913,404130
6.013,404160
6.113,404190
6.213,404220
6.313,404250
6.414,404280
6.515,404310
6.615,404341
6.715,404371
6.815,404401
6.916,404431
7.016,404461
7.116,404491
7.217,404521
7.317,404551
7.417,404582
7.517,404612
7.617,404638
7.718,404670
7.818,404702
7.918,404732
8.018,404762
8.119,404793
8.219,404824
8.319,404854
8.419,404884
8.519,404917
8.620,404947
8.720,404977
8.821,405008
8.921,405038
9.021,405068
9.121,405098
9.221,405128
9.321,405158
9.422,405189
9.522,405219
9.622,405249
9.722,405279
9.822,405309
9.922,405339
10.023,405370
10.123,405399
10.223,405430
10.323,405459
10.424,405490
10.524,405521
10.624,405552
10.725,405579
10.824,405609
10.925,405640
11.025,405671
11.125,405700
11.225,405730
11.326,405754
11.426,405787
11.526,405827
11.626,405876
11.727,405937
11.826,405993
11.927,406032
12.027,406067
12.127,406098
12.227,406136
12.327,406174
12.428,406217
12.528,406256
12.628,406299
12.728,406339
12.829,406379
12.929,406420
13.029,406460
13.129,406500
13.230,406540
13.329,406579
13.430,406621
13.530,406662
13.630,406702
13.731,406742
13.831,406782
13.930,406822
14.030,406862
14.131,406902
14.231,406942
14.331,406982
14.431,407022
14.532,407061
14.632,407094
14.732,407134
14.832,407182
14.933,407222
15.033,407262
15.133,407302
15.232,407342
15.333,407382
15.433,407422
15.533,407462
15.634,407502
15.733,407542
15.834,407583
15.934,407622
16.034,407663
16.134,407704
16.234,407744
16.334,407783
16.435,407824
16.535,407865
16.635,407904
16.735,407946
16.835,407987
16.935,408027
17.035,408068
17.135,408107
17.235,408148
17.336,408187
17.436,408228
17.535,408270
17.636,408311
17.736,408348
17.836,408391
17.936,408430
18.036,408471
18.137,408510
19.237,408951
19.336,408991
19.437,409031
19.537,409071
19.637,409111
19.737,409151
19.837,409191
19.937,409231
20.037,409271
20.137,409311
20.237,409351
20.337,409391
20.437,409431
20.538,409471
20.638,409512
20.738,409552
20.838,409595
20.938,409635
21.038,409676
21.138,409716
21.239,409756
21.339,409796
21.439,409836
21.539,409876
21.639,409916
21.739,409957
21.840,409998
21.940,410038
22.040,410078
22.140,410118
22.240,410158
22.340,410198
22.440,410239
22.541,410279
22.641,410320
22.741,410360
22.841,410400
22.941,410441
23.041,410480
23.141,410520
23.242,410560
23.342,410601
23.442,410641
23.542,410681
23.642,410721
23.742,410761
23.842,410801
23.942,410842
24.042,410881
24.143,410922
24.243,410961
24.343,411002
24.443,411042
24.543,411081
24.643,411122
24.743,411161
24.843,411201
24.943,411242
25.044,411282
25.144,411326
25.244,411365
25.344,411406
25.444,411446
25.544,411486
25.644,411526
25.744,411566
25.844,411607
25.945,411647
26.045,411687
26.145,411729
26.245,411770
26.345,411811
26.445,411850
26.545,411891
26.646,411929
26.746,411971
26.846,412011
26.946,412051
27.046,412091
27.146,412131
27.247,412171
27.347,412211
27.447,412251
27.547,412292
27.647,412331
27.747,412371
27.848,412411
27.948,412451
28.048,412491
28.148,412531
28.248,412571
28.348,412611
28.448,412652
28.549,412692
28.649,412732
28.749,412772
28.849,412812
28.949,412851
29.049,412890
29.149,412933
29.249,412975
29.350,413016
29.450,413056
29.550,413096
29.650,413137
29.750,413172
29.851,413212
29.950,413250
30.050,413285
30.151,413304
30.251,413339
30.351,413371
30.451,413440
30.551,413494
30.651,413536
30.751,413571
30.851,413611
30.952,413647
31.052,413688
31.152,413728
31.252,413767
31.352,413804
31.452,413846
31.552,413885
31.653,413924
31.753,413965
31.853,414005
31.953,414045
32.053,414086
32.153,414125
32.253,414165
32.353,414205
32.454,414245
32.554,414282
32.654,414309
32.754,414354
32.854,414407
32.954,414447
33.054,414486
33.155,414526
33.255,414566
33.355,414606
33.455,414646
33.555,414690
33.655,414732
33.755,414772
33.856,414812
33.956,414853
34.056,414892
34.156,414932
34.256,414973
34.356,415014
34.457,415054
34.557,415090
34.657,415133
34.757,415161
34.857,415217
34.957,415257
35.057,415298
35.158,415338
35.258,415378
35.358,415418
35.458,415458
35.558,415498
35.659,415538
35.759,415578
35.859,415618
35.959,415658
36.059,415698
36.159,415738
36.260,415778
36.360,415818
36.460,415858
36.560,415898
36.660,415938
36.761,415978
36.861,416018
36.961,416058
37.061,416099
37.161,416140
37.261,416180
37.361,416219
37.461,416259
37.562,416300
37.662,416333
37.762,416378
37.862,416423
37.962,416464
38.062,416503
38.162,416544
38.263,416585
38.363,416626
38.463,416666
38.563,416705
38.663,416746
38.763,416786
38.864,416826
38.964,416866
39.064,416907
39.164,416947
39.264,416988
39.364,417028
39.464,417069
39.564,417108
39.664,417150
39.764,417191
39.865,417230
39.965,417269
40.065,417309
40.165,417350
40.265,417390
40.365,417431
40.465,417470
40.566,417511
40.666,417551
40.766,417590
40.866,417631
40.966,417671
41.066,417711
41.166,417751
41.266,417789
41.366,417831
41.467,417871
41.567,417911
41.667,417951
41.767,417991
41.867,418031
41.967,418071
42.068,418111
42.168,418152
42.268,418196
42.368,418237
42.468,418276
42.569,418317
42.669,418357
42.769,418396
42.869,418437
42.969,418477
43.070,418517
43.170,418557
43.270,418597
43.370,418638
43.470,418678
43.570,418718
43.671,418758
43.771,418798
43.871,418839
43.971,418879
44.071,418919
44.171,418959
44.271,419000
44.372,419040
44.472,419079
44.572,419118
44.672,419159
44.772,419199
44.872,419239
44.973,419279
45.073,419319
45.173,419359
45.273,419399
45.373,419441
45.474,419480
45.574,419520
45.674,419561
45.774,419602
45.874,419642
45.975,419683
46.075,419722
46.175,419763
46.275,419803
46.375,419842
46.476,419883
46.576,419924
46.676,419964
46.776,420004
46.876,420045
46.977,420086
47.077,420126
47.177,420167
47.277,420207
47.377,420244
47.478,420287
47.578,420328
47.678,420368
47.778,420408
47.878,420448
47.978,420488
48.079,420528
48.179,420569
48.279,420609
48.379,420649
48.479,420689
48.580,420729
48.680,420770
48.780,420809
48.880,420849
48.980,420889
49.080,420929
49.180,420969
49.281,421009
49.381,421050
49.481,421089
49.581,421122
49.681,421170
49.781,421202
49.881,421251
49.981,421289
50.082,421330
50.182,421370
50.282,421410
50.382,421453
50.482,421492
50.583,421533
50.683,421573
50.783,421612
50.883,421652
50.983,421695
51.083,421736
51.183,421776
51.284,421818
51.384,421858
51.484,421898
51.584,421938
51.684,421979
51.784,422020
51.884,422060
51.984,422101
52.085,422140
52.185,422180
52.285,422221
52.385,422262
52.485,422304
52.585,422342
52.685,422384
52.786,422424
52.886,422464
52.986,422503
53.086,422544
53.186,422583
53.287,422624
53.387,422664
53.487,422704
53.587,422744
53.687,422784
53.787,422824
53.888,422864
53.988,422904
54.088,422944
54.188,422984
54.288,423024
54.389,423064
54.489,423104
54.589,423145
54.689,423185
54.790,423225
54.890,423265
54.990,423305
55.090,423345
55.190,423386
55.290,423426
55.390,423469
55.490,423511
55.591,423552
55.691,423592
55.791,423632
55.891,423673
55.991,423711
56.091,423753
56.192,423793
56.292,423833
56.392,423875
56.492,423915
56.592,423955
56.692,423996
56.793,424036
56.893,424076
56.993,424116
57.093,424157
57.193,424196
57.293,424236
57.394,424276
57.494,424316
57.594,424356
57.694,424397
57.794,424437
57.895,424477
57.995,424517
58.095,424557
58.195,424597
58.295,424637
58.395,424677
58.495,424718
58.596,424759
58.696,424799
58.796,424838
58.896,424879
58.996,424919
59.097,424959
59.196,424999
59.297,425039
59.397,425079
59.497,425119
59.597,425161
59.697,425203
59.798,425244
59.898,425284
59.998,425324
60.098,425365
60.198,425405
60.299,425445
60.399,425485
60.499,425527
60.599,425567
60.699,425607
60.799,425647
60.899,425687
61.000,425727
61.100,425767
61.200,425807
61.300,425847
61.400,425887
61.500,425927
61.601,425968
61.701,426008
61.801,426048
61.901,426089
62.001,426129
62.101,426167
62.202,426208
62.302,426249
62.402,426288
62.502,426329
62.602,426369
62.702,426410
62.802,426450
62.903,426490
63.003,426529
63.103,426570
63.203,426609
63.303,426651
63.404,426690
63.504,426729
63.604,426770
63.704,426810
63.804,426851
63.904,426892
64.005,426934
64.105,426973
64.205,427019
64.305,427056
64.405,427096
64.505,427137
64.606,427178
64.706,427218
64.806,427253
64.906,427294
65.006,427329
65.106,427374
65.207,427409
65.307,427451
65.407,427495
65.507,427536
65.607,427576
65.708,427616
65.808,427656
65.908,427696
66.008,427736
66.108,427776
66.209,427817
66.309,427857
66.409,427896
66.509,427936
66.609,427977
66.709,428017
66.810,428057
66.910,428097
67.010,428137
67.110,428177
67.210,428217
67.310,428257
67.411,428297
67.511,428337
67.611,428370
67.711,428417
67.811,428446
67.911,428498
68.011,428538
68.112,428579
68.212,428619
68.312,428663
68.412,428703
68.512,428744
68.612,428784
68.712,428824
68.813,428864
68.913,428904
69.013,428944
69.113,428984
69.213,429024
69.313,429064
69.413,429106
69.513,429147
69.614,429176
69.714,429222
69.814,429267
69.914,429306
70.014,429341
70.115,429376
70.215,429411
70.315,429446
70.415,429481
70.515,429547
70.616,429587
70.716,429627
70.816,429667
70.916,429707
71.016,429748
71.116,429788
71.216,429828
71.317,429868
71.417,429908
71.517,429948
71.617,429988
71.717,430026
71.817,430068
71.918,430108
72.018,430148
72.118,430188
72.218,430228
72.318,430268
72.419,430309
72.519,430350
72.619,430389
72.719,430433
72.819,430471
72.919,430514
73.020,430553
73.120,430594
73.220,430634
73.320,430674
73.420,430714
73.521,430754
73.621,430794
73.721,430835
73.821,430877
73.921,430915
