TO_VERISIGN
1462173160
time,tx_packets
0.002,324657
0.101,324657
0.202,324657
0.302,324657
0.402,324660
0.502,324660
0.602,324660
0.703,324660
0.803,324661
0.903,324685
1.003,324710
1.104,324735
1.205,324759
1.304,324780
1.405,324801
1.504,324822
1.605,324841
1.705,324861
1.805,324877
1.906,324899
2.006,324924
2.106,324949
2.206,324974
2.306,324999
2.406,325024
2.507,325049
2.606,325074
2.706,325099
2.806,325124
2.907,325149
3.007,325174
3.107,325200
3.207,325225
3.307,325250
3.407,325275
3.507,325300
3.608,325326
3.708,325351
3.808,325376
3.908,325402
4.008,325427
4.109,325452
4.209,325477
4.309,325503
4.409,325528
4.510,325553
4.610,325564
4.710,325603
4.810,325629
4.910,325653
5.011,325679
5.111,325703
5.211,325728
5.311,325753
5.411,325778
5.512,325803
5.612,325828
5.712,325853
5.813,325878
5.912,325904
6.013,325929
6.113,325954
6.213,325978
6.313,326004
6.414,326029
6.514,326054
6.615,326079
6.715,326104
6.815,326129
6.916,326154
7.016,326179
7.116,326204
7.217,326229
7.317,326254
7.417,326280
7.518,326305
7.618,326319
7.717,326355
7.818,326380
7.918,326405
8.018,326430
8.119,326456
8.220,326483
8.320,326508
8.419,326531
8.520,326558
8.620,326586
8.720,326610
8.820,326633
8.920,326660
9.020,326684
9.121,326710
9.221,326735
9.321,326761
9.421,326785
9.522,326811
9.621,326836
9.722,326861
9.822,326886
9.922,326911
10.022,326936
10.123,326961
10.223,326986
10.323,327011
10.424,327036
10.524,327061
10.624,327086
10.724,327111
10.825,327136
10.925,327162
11.025,327186
11.126,327212
11.225,327237
11.325,327261
11.425,327286
11.526,327310
11.626,327349
11.726,327383
11.826,327403
11.927,327424
12.026,327443
12.127,327462
12.227,327487
12.327,327512
12.428,327538
12.528,327563
12.628,327588
12.729,327614
12.829,327639
12.928,327664
13.029,327691
13.129,327716
13.229,327741
13.330,327766
13.430,327791
13.530,327816
13.631,327843
13.730,327866
13.830,327891
13.930,327916
14.030,327942
14.131,327966
14.230,327991
14.330,328017
14.431,328042
14.531,328066
14.631,328078
14.731,328117
14.831,328141
14.931,328166
15.031,328192
15.131,328217
15.232,328242
15.332,328267
15.432,328293
15.532,328317
15.633,328342
15.733,328368
15.834,328393
15.933,328417
16.034,328443
16.134,328468
16.235,328494
16.334,328519
16.435,328544
16.535,328569
16.635,328594
16.735,328620
16.835,328646
16.935,328671
17.036,328696
17.136,328721
17.236,328746
17.336,328772
17.436,328797
17.536,328822
17.636,328847
17.736,328872
17.836,328897
17.937,328922
18.037,328947
18.137,328972
19.237,329247
19.337,329272
19.437,329297
19.537,329322
19.638,329347
19.738,329372
19.838,329397
19.938,329422
20.038,329447
20.138,329472
20.238,329497
20.339,329522
20.439,329547
20.539,329573
20.639,329599
20.739,329624
20.839,329650
20.940,329677
21.040,329701
21.140,329726
21.240,329751
21.340,329776
21.441,329802
21.541,329827
21.641,329855
21.741,329880
21.841,329905
21.942,329930
22.042,329955
22.142,329980
22.242,330005
22.342,330030
22.442,330055
22.542,330080
22.642,330105
22.742,330130
22.842,330155
22.942,330180
23.042,330205
23.142,330230
23.243,330255
23.343,330280
23.443,330305
23.543,330330
23.643,330355
23.743,330380
23.844,330405
23.944,330430
24.044,330455
24.144,330480
24.244,330505
24.344,330530
24.444,330555
24.545,330579
24.645,330605
24.745,330630
24.845,330655
24.945,330680
25.045,330705
25.146,330733
25.246,330758
25.346,330783
25.446,330808
25.546,330833
25.646,330858
25.747,330883
25.847,330908
25.947,330934
26.047,330959
26.147,330984
26.247,331009
26.348,331034
26.448,331059
26.548,331084
26.648,331109
26.748,331134
26.848,331159
26.949,331184
27.049,331209
27.149,331234
27.249,331259
27.349,331284
27.450,331309
27.550,331334
27.650,331359
27.750,331384
27.851,331410
27.951,331434
28.051,331459
28.151,331484
28.251,331509
28.351,331535
28.451,331560
28.552,331585
28.652,331610
28.752,331635
28.852,331660
28.952,331684
29.052,331709
29.152,331736
29.252,331760
29.352,331789
29.453,331813
29.553,331839
29.653,331864
29.753,331888
29.853,331914
29.954,331938
30.054,331951
30.154,331960
30.254,331996
30.354,332016
30.454,332070
30.554,332093
30.654,332096
30.755,332125
30.855,332150
30.955,332161
31.055,332188
31.155,332211
31.255,332230
31.355,332257
31.456,332282
31.556,332304
31.656,332330
31.756,332356
31.856,332381
31.956,332405
32.057,332431
32.157,332456
32.257,332480
32.357,332506
32.457,332531
32.558,332555
32.658,332560
32.758,332606
32.858,332625
32.958,332656
33.059,332682
33.159,332707
33.259,332732
33.359,332757
33.459,332781
33.559,332810
33.660,332834
33.760,332859
33.860,332885
33.960,332914
34.060,332938
34.160,332963
34.260,332988
34.361,333014
34.461,333039
34.561,333062
34.661,333089
34.761,333113
34.861,333141
34.962,333165
35.062,333191
35.162,333215
35.262,333241
35.362,333266
35.463,333291
35.563,333316
35.663,333341
35.763,333366
35.863,333391
35.963,333416
36.064,333441
36.164,333466
36.264,333491
36.364,333516
36.465,333541
36.565,333566
36.665,333591
36.765,333616
36.865,333641
36.966,333666
37.066,333691
37.166,333716
37.266,333741
37.366,333766
37.466,333791
37.567,333816
37.667,333834
37.767,333866
37.867,333893
37.968,333918
38.068,333943
38.168,333969
38.268,333994
38.368,334019
38.469,334044
38.569,334069
38.669,334094
38.769,334119
38.869,334144
38.970,334169
39.070,334197
39.170,334222
39.270,334247
39.370,334273
39.471,334298
39.571,334321
39.671,334348
39.771,334373
39.871,334397
39.971,334422
40.071,334448
40.172,334473
40.272,334499
40.372,334525
40.472,334548
40.572,334574
40.672,334600
40.773,334624
40.873,334649
40.973,334675
41.073,334700
41.174,334724
41.274,334750
41.374,334775
41.474,334800
41.574,334825
41.675,334850
41.775,334875
41.875,334900
41.975,334925
42.075,334950
42.175,334976
42.276,335004
42.376,335029
42.476,335054
42.576,335079
42.676,335104
42.777,335130
42.877,335155
42.977,335180
43.077,335205
43.177,335230
43.278,335255
43.378,335280
43.478,335305
43.578,335332
43.678,335357
43.779,335382
43.879,335407
43.979,335433
44.079,335458
44.179,335482
44.280,335507
44.380,335533
44.480,335558
44.580,335582
44.680,335609
44.781,335633
44.881,335658
44.981,335684
45.081,335709
45.181,335734
45.281,335759
45.382,335786
45.482,335811
45.582,335836
45.682,335861
45.782,335886
45.882,335911
45.983,335936
46.083,335961
46.183,335986
46.283,336011
46.383,336037
46.483,336062
46.583,336087
46.684,336112
46.784,336138
46.884,336163
46.984,336189
47.084,336214
47.185,336239
47.285,336264
47.385,336289
47.485,336314
47.585,336339
47.685,336364
47.785,336389
47.886,336414
47.986,336441
48.086,336466
48.186,336491
48.286,336516
48.386,336541
48.487,336566
48.587,336591
48.687,336616
48.787,336641
48.887,336666
48.987,336691
49.087,336716
49.188,336741
49.288,336766
49.388,336791
49.488,336816
49.588,336834
49.688,336866
49.789,336890
49.889,336916
49.989,336941
50.089,336966
50.189,336991
50.289,337016
50.390,337041
50.490,337066
50.590,337091
50.690,337116
50.790,337141
50.890,337167
50.991,337193
51.091,337218
51.191,337245
51.291,337270
51.391,337294
51.491,337319
51.591,337345
51.692,337370
51.792,337395
51.892,337421
51.992,337446
52.092,337470
52.192,337496
52.293,337522
52.393,337547
52.493,337571
52.593,337597
52.693,337622
52.794,337647
52.894,337672
52.994,337697
53.095,337722
53.194,337747
53.294,337772
53.395,337797
53.495,337822
53.595,337847
53.695,337872
53.795,337897
53.896,337922
53.996,337947
54.097,337972
54.196,337997
54.296,338022
54.397,338048
54.497,338072
54.597,338098
54.697,338122
54.797,338148
54.897,338173
54.998,338198
55.098,338223
55.198,338248
55.298,338273
55.398,338299
55.498,338327
55.599,338351
55.699,338376
55.799,338402
55.899,338426
55.999,338451
56.099,338477
56.199,338502
56.300,338526
56.400,338551
56.500,338579
56.600,338604
56.700,338630
56.801,338654
56.901,338680
57.001,338705
57.101,338730
57.201,338755
57.301,338780
57.401,338805
57.502,338830
57.602,338855
57.702,338880
57.802,338905
57.902,338930
58.002,338955
58.102,338980
58.202,339005
58.303,339030
58.403,339055
58.503,339080
58.603,339105
58.703,339130
58.803,339155
58.904,339180
59.004,339205
59.104,339230
59.204,339255
59.304,339280
59.404,339305
59.504,339330
59.604,339356
59.704,339383
59.804,339408
59.905,339433
60.005,339458
60.105,339483
60.205,339508
60.305,339533
60.405,339558
60.505,339583
60.605,339608
60.705,339633
60.806,339660
60.906,339685
61.006,339710
61.106,339735
61.206,339760
61.306,339785
61.406,339810
61.507,339835
61.607,339860
61.707,339885
61.807,339910
61.907,339935
62.007,339960
62.108,339985
62.208,340010
62.308,340035
62.408,340060
62.508,340085
62.608,340110
62.709,340135
