FROM_KISTI
1462166603
time,rx_packets
0.001,18911
0.101,18911
0.201,18911
0.301,18911
0.402,18911
0.502,18911
0.602,18911
0.702,18911
0.802,18911
0.903,18911
1.003,18911
1.103,18911
1.203,18911
1.304,18911
1.404,18911
1.504,18911
1.604,18911
1.704,18911
1.805,18911
1.905,18911
2.005,18911
2.105,18911
2.205,18911
2.306,18911
2.406,18911
2.506,18911
2.606,18911
2.706,18911
2.807,18911
2.907,18911
3.007,18911
3.107,18911
3.207,18911
3.308,18911
3.408,18911
3.508,18911
3.608,18911
3.708,18911
3.809,18911
3.909,18911
4.009,18911
4.109,18911
4.209,18911
4.310,18911
4.410,18911
4.510,18911
4.610,18911
4.711,18911
4.811,18911
4.911,18911
5.011,18911
5.111,18911
5.212,18911
5.312,18911
5.412,18911
5.512,18911
5.612,18911
5.713,18911
5.813,18911
5.913,18911
6.013,18911
6.113,18911
6.214,18911
6.314,18911
6.414,18911
6.514,18911
6.614,18911
6.715,18911
6.815,18911
6.915,18911
7.015,18911
7.115,18911
7.216,18911
7.316,18911
7.416,18911
7.516,18911
7.617,18911
7.717,18911
7.817,18911
7.917,18911
8.017,18911
8.118,18911
8.218,18911
8.318,18911
8.418,18911
8.518,18911
8.619,18911
8.719,18911
8.819,18911
8.919,18911
9.019,18911
9.120,18911
9.220,18911
9.320,18911
9.420,18911
9.520,18911
9.621,18911
9.721,18911
9.821,18911
9.921,18911
10.022,18911
10.122,18911
10.222,18911
10.322,18911
10.422,18911
10.523,18911
10.623,18911
10.723,18911
10.823,18911
10.923,18911
11.024,18911
11.124,18911
11.224,18911
11.324,18911
11.424,18911
11.525,18911
11.625,18911
11.725,18911
11.825,18911
11.925,18911
12.026,18911
12.126,18911
12.226,18911
12.326,18911
12.426,18911
12.527,18911
12.627,18911
12.727,18911
12.827,18911
12.927,18911
13.028,18911
13.128,18911
13.228,18911
13.328,18911
13.428,18911
13.529,18911
13.629,18911
13.729,18911
13.829,18911
13.929,18911
14.030,18911
14.130,18911
14.230,18911
14.331,18911
14.431,18911
14.531,18911
14.631,18911
14.731,18911
14.831,18911
14.932,18911
15.032,18911
15.132,18911
15.232,18911
15.332,18911
15.433,18911
15.533,18911
15.633,18911
15.733,18911
15.834,18911
15.934,18911
16.034,18911
16.134,18911
16.234,18911
16.335,18911
16.435,18911
16.535,18911
16.635,18911
16.735,18911
16.836,18911
16.936,18911
17.036,18911
17.136,18911
17.236,18911
17.337,18911
17.437,18911
17.537,18911
17.637,18911
17.737,18911
17.838,18911
17.938,18911
18.038,18911
18.138,18911
18.239,18911
18.339,18911
18.439,18911
18.539,18911
18.639,18911
18.740,18911
18.840,18911
18.940,18911
19.040,18911
19.140,18911
19.241,18911
19.341,18911
19.441,18911
19.541,18911
19.641,18911
19.742,18911
19.842,18911
19.942,18911
20.042,18911
20.142,18911
20.243,18911
20.343,18911
20.443,18911
20.543,18911
20.644,18911
20.744,18911
20.844,18911
20.944,18911
21.044,18911
21.145,18911
21.245,18911
21.345,18911
21.445,18911
21.545,18911
21.646,18911
21.746,18911
21.846,18911
21.946,18911
22.047,18911
22.147,18911
22.247,18911
22.347,18911
22.447,18911
22.547,18911
22.648,18911
22.748,18911
22.848,18911
22.948,18911
23.048,18911
23.149,18911
23.249,18911
23.349,18911
23.449,18911
23.549,18911
23.650,18911
23.750,18911
23.850,18911
23.950,18911
24.050,18911
24.151,18911
24.251,18911
24.351,18911
24.451,18911
24.551,18911
24.652,18911
24.752,18911
24.852,18911
24.952,18911
25.052,18911
25.153,18911
25.253,18911
25.353,18911
25.453,18911
25.554,18911
25.654,18911
25.754,18911
25.854,18911
25.954,18911
26.055,18911
26.155,18911
26.255,18911
26.355,18911
26.455,18911
26.556,18911
26.656,18911
26.756,18911
26.856,18911
26.956,18911
27.057,18911
27.157,18911
27.257,18911
27.357,18911
27.458,18911
27.558,18911
27.658,18911
27.758,18911
27.858,18911
27.959,18911
28.059,18911
28.159,18911
28.259,18911
28.359,18911
28.460,18911
28.560,18911
28.660,18911
28.760,18911
28.861,18911
28.961,18911
29.061,18911
29.161,18911
29.261,18911
29.362,18911
29.462,18911
29.562,18911
29.663,18911
29.763,18911
29.863,18911
29.963,18911
30.063,18911
30.164,18911
30.264,18911
30.364,18911
30.464,18911
30.564,18911
30.665,18911
30.765,18911
30.865,18911
30.965,18911
31.065,18911
31.166,18911
31.266,18911
31.366,18911
31.466,18911
31.566,18911
31.667,18911
31.767,18911
31.867,18911
31.967,18911
32.068,18911
32.168,18911
32.268,18911
32.368,18911
32.468,18911
32.569,18911
32.669,18911
32.769,18911
32.869,18911
32.969,18911
33.070,18911
33.170,18911
33.270,18911
33.370,18911
33.470,18911
33.571,18911
33.671,18911
33.771,18911
33.871,18911
33.971,18911
34.072,18911
34.172,18911
34.272,18911
34.372,18911
34.472,18911
34.573,18911
34.673,18911
34.773,18911
34.873,18911
34.973,18911
35.074,18911
35.174,18911
35.274,18911
35.374,18911
35.475,18911
35.575,18911
35.675,18911
35.775,18911
35.875,18911
35.976,18911
36.076,18911
36.176,18911
36.276,18911
