FROM_CLIENT
1462166653
time,rx_packets
0.001,73111
0.101,73111
0.201,73111
0.301,73111
0.401,73111
0.501,73111
0.602,73111
0.702,73111
0.802,73111
0.902,73111
1.002,73111
2.102,73111
2.203,73111
2.303,73111
2.403,73111
2.503,73111
2.603,73116
2.704,73121
2.804,73126
2.904,73131
3.004,73136
3.104,73141
3.205,73146
3.305,73151
3.405,73156
3.505,73161
3.605,73166
3.706,73171
3.806,73176
3.906,73181
4.006,73186
4.106,73191
4.207,73196
4.307,73201
4.407,73204
4.507,73211
4.607,73216
4.708,73221
4.808,73226
4.908,73231
5.008,73236
5.108,73241
5.209,73246
5.309,73251
5.409,73256
5.509,73261
5.609,73267
5.709,73272
5.810,73277
5.910,73282
6.010,73287
6.110,73292
6.210,73297
6.310,73302
6.410,73307
6.510,73312
6.611,73317
6.711,73322
6.811,73327
6.911,73332
7.011,73337
7.111,73342
7.211,73347
7.312,73352
7.412,73357
7.512,73362
7.612,73368
7.712,73373
7.812,73378
7.912,73383
8.013,73388
8.113,73393
8.213,73398
8.313,73403
8.413,73408
8.513,73413
8.613,73418
8.713,73423
8.814,73428
8.914,73433
9.014,73438
9.114,73443
9.214,73448
9.315,73453
9.415,73458
9.515,73463
9.615,73468
9.715,73473
9.815,73478
9.916,73483
10.016,73488
10.116,73493
10.216,73498
10.316,73503
10.416,73508
10.517,73513
10.617,73518
10.717,73523
10.817,73528
10.918,73533
11.018,73538
11.118,73543
11.218,73548
11.318,73553
11.418,73558
11.519,73563
11.619,73568
11.719,73573
11.819,73578
11.920,73583
12.020,73588
12.120,73593
12.220,73598
12.320,73603
12.420,73608
12.521,73613
12.621,73619
12.721,73624
12.821,73629
12.922,73634
13.022,73639
13.122,73644
13.222,73649
13.322,73654
13.423,73659
13.523,73664
13.623,73669
13.723,73674
13.823,73679
13.923,73684
14.024,73689
14.124,73694
14.224,73699
14.324,73704
14.424,73709
14.524,73714
14.625,73719
14.725,73724
14.825,73729
14.925,73734
15.026,73739
15.126,73744
15.226,73749
15.326,73754
15.426,73759
15.527,73764
15.627,73769
15.727,73774
15.827,73779
15.927,73784
16.027,73789
16.128,73794
16.228,73799
16.328,73804
16.428,73809
16.528,73814
16.629,73819
16.729,73824
16.829,73829
16.929,73834
17.029,73839
17.129,73844
17.230,73850
17.330,73855
17.430,73860
17.530,73865
17.630,73870
17.730,73875
17.831,73880
17.931,73885
18.031,73890
18.131,73895
18.232,73900
18.331,73905
18.431,73910
18.532,73915
18.632,73920
18.732,73925
18.832,73930
18.933,73935
19.033,73940
19.133,73945
19.233,73950
19.333,73955
19.433,73958
19.533,73965
19.634,73970
19.734,73975
19.834,73980
19.934,73985
20.035,73990
20.135,73995
20.235,74000
20.335,74005
20.435,74010
20.536,74015
20.636,74020
20.736,74025
20.836,74030
20.937,74035
21.037,74040
21.137,74045
21.237,74050
21.337,74055
21.438,74060
21.538,74065
21.638,74070
21.738,74075
21.838,74080
21.939,74085
22.039,74090
22.139,74095
22.239,74100
22.339,74105
22.440,74110
22.539,74115
22.640,74120
22.740,74125
22.840,74130
22.940,74135
23.041,74140
23.141,74145
23.241,74150
23.341,74155
23.441,74160
23.542,74165
23.642,74170
23.742,74175
23.842,74180
23.943,74185
24.043,74190
24.143,74195
24.243,74200
24.343,74205
24.443,74210
24.544,74215
24.644,74220
24.745,74225
24.846,74230
24.945,74235
25.045,74240
25.145,74245
25.246,74250
25.346,74255
25.446,74260
25.546,74265
25.647,74270
25.747,74275
25.847,74280
25.947,74285
26.048,74290
26.148,74295
26.248,74300
26.348,74305
26.449,74310
26.549,74315
26.649,74321
26.750,74326
26.849,74330
26.949,74335
27.049,74340
27.149,74345
27.250,74351
27.351,74356
27.450,74361
27.550,74366
27.651,74371
27.751,74376
27.851,74381
27.952,74386
28.052,74391
28.152,74396
28.252,74400
28.352,74400
28.453,74400
28.553,74400
28.653,74400
28.753,74400
28.854,74400
28.954,74400
29.054,74400
29.154,74400
29.254,74400
29.355,74400
29.455,74400
29.555,74400
29.655,74400
29.756,74400
29.856,74400
29.956,74400
30.056,74400
30.156,74400
30.257,74400
30.357,74400
30.457,74400
30.557,74400
30.657,74400
30.758,74400
30.858,74400
30.958,74400
31.059,74400
31.159,74400
31.259,74400
31.359,74400
31.460,74400
31.560,74400
31.660,74400
31.760,74400
31.861,74400
31.961,74400
32.061,74400
32.161,74400
32.261,74400
32.362,74400
32.462,74400
32.562,74400
32.662,74400
32.762,74400
32.863,74400
32.963,74400
33.063,74400
33.163,74400
33.263,74400
33.364,74400
33.464,74400
33.564,74400
33.664,74400
33.765,74400
33.865,74400
33.965,74400
34.065,74400
34.165,74400
34.265,74400
34.366,74400
34.466,74400
34.567,74400
34.666,74400
34.767,74400
