TO_CLIENT
1462166702
time,tx_packets
0.001,72955
0.101,72955
0.201,72955
0.301,72955
0.401,72955
0.502,72955
0.602,72955
0.702,72955
0.802,72955
0.903,72955
1.003,72955
1.103,72955
1.203,72955
1.305,72955
1.404,72955
1.504,72955
1.604,72955
1.705,72955
1.805,72955
1.905,72955
2.005,72955
2.105,72955
2.205,72955
2.306,72955
2.406,72955
2.506,72955
2.606,72955
2.706,72957
2.807,72961
2.907,72966
3.007,72970
3.107,72974
3.207,72978
3.308,72981
3.408,72986
3.508,72990
3.608,72994
3.709,72998
3.809,73001
3.909,73005
4.009,73010
4.109,73014
4.209,73018
4.310,73022
4.410,73025
4.510,73030
4.610,73034
4.710,73038
4.811,73042
4.911,73045
5.011,73050
5.111,73054
5.212,73058
5.312,73062
5.412,73065
5.512,73070
5.612,73074
5.713,73078
6.813,73122
6.913,73125
7.013,73130
7.113,73135
7.213,73139
7.314,73143
7.414,73147
7.514,73151
7.614,73156
7.715,73160
7.815,73164
7.915,73168
8.015,73171
8.115,73175
8.216,73179
8.316,73183
8.416,73187
8.516,73191
8.616,73195
8.717,73199
8.817,73203
8.917,73207
9.017,73211
9.118,73215
9.218,73219
9.318,73223
9.418,73227
9.518,73231
9.619,73235
9.719,73239
9.819,73243
9.919,73247
10.019,73251
10.120,73255
10.220,73259
10.320,73263
10.420,73267
10.520,73271
10.621,73275
10.721,73279
10.821,73283
10.921,73287
11.021,73291
11.122,73295
11.222,73299
11.322,73303
11.422,73308
11.522,73311
11.622,73315
11.723,73319
11.823,73324
11.923,73328
12.023,73332
12.124,73335
12.224,73339
12.324,73343
12.424,73348
12.524,73352
12.625,73357
12.725,73361
12.825,73364
12.925,73369
13.025,73373
13.126,73377
13.226,73381
13.326,73384
13.426,73389
13.526,73393
13.627,73397
13.727,73401
13.827,73404
13.927,73409
14.027,73413
14.128,73417
14.228,73421
14.328,73424
14.428,73429
14.528,73433
14.629,73437
14.729,73441
14.829,73444
14.929,73449
15.030,73453
15.130,73457
15.230,73461
15.330,73464
15.430,73469
15.531,73473
15.631,73477
15.731,73481
15.831,73484
15.932,73488
16.032,73493
16.132,73497
16.232,73501
16.332,73505
16.433,73508
16.533,73512
16.633,73516
16.733,73520
16.833,73524
16.934,73528
17.034,73532
17.134,73536
17.234,73540
17.335,73544
17.435,73548
17.535,73552
17.635,73556
17.735,73560
17.836,73564
17.936,73569
18.036,73572
18.136,73577
18.236,73581
18.337,73585
18.437,73589
18.537,73592
18.637,73597
18.737,73601
18.838,73605
18.938,73609
19.038,73612
19.138,73617
19.238,73621
19.339,73625
19.439,73629
19.539,73632
19.639,73637
19.740,73641
19.840,73645
19.940,73649
20.040,73652
20.141,73657
20.241,73661
20.341,73665
20.441,73669
20.541,73673
20.641,73676
20.742,73681
20.842,73685
20.942,73689
21.042,73692
21.142,73697
21.243,73700
21.343,73705
21.443,73709
21.543,73713
21.644,73717
21.744,73720
21.844,73725
21.944,73729
22.044,73733
22.145,73737
22.245,73740
22.345,73745
22.445,73749
22.546,73753
22.646,73757
22.746,73760
22.846,73765
22.946,73769
23.047,73773
23.147,73777
23.247,73780
23.347,73785
23.447,73788
23.548,73793
23.648,73797
23.748,73800
23.848,73805
23.948,73809
24.049,73813
24.149,73817
24.249,73820
24.349,73825
24.450,73829
24.550,73833
24.650,73837
24.750,73841
24.850,73844
24.951,73848
25.051,73852
25.151,73856
25.251,73860
25.351,73864
25.452,73868
25.552,73872
25.652,73876
25.753,73880
25.853,73884
25.953,73888
26.053,73892
26.153,73896
26.254,73900
26.354,73904
26.454,73908
26.555,73912
26.654,73916
26.755,73920
26.855,73924
26.955,73928
27.055,73932
27.155,73936
27.256,73940
27.356,73944
27.456,73948
27.558,73952
27.657,73956
27.757,73960
27.857,73964
27.957,73968
28.057,73972
28.157,73976
28.258,73980
28.358,73984
28.458,73985
28.558,73985
28.658,73985
28.759,73985
28.859,73985
28.959,73985
29.059,73985
29.160,73985
29.260,73985
29.360,73985
29.460,73985
29.560,73985
29.661,73985
29.761,73985
29.861,73985
29.961,73985
30.062,73985
30.162,73985
30.262,73985
30.362,73985
30.462,73985
30.563,73985
30.663,73985
30.763,73985
30.863,73985
30.963,73985
31.064,73985
31.164,73985
31.264,73985
31.364,73985
31.465,73985
31.565,73985
31.665,73985
31.765,73985
31.865,73985
31.966,73985
32.066,73985
32.166,73985
32.266,73985
32.366,73985
32.467,73985
32.568,73985
32.667,73985
32.768,73985
32.868,73985
32.968,73985
33.068,73985
33.168,73985
33.269,73985
33.369,73985
33.469,73985
33.569,73985
33.670,73985
33.770,73985
33.870,73985
33.971,73985
34.071,73985
34.171,73985
34.271,73985
34.372,73985
34.472,73985
34.572,73985
34.672,73985
34.773,73985
34.873,73985
34.973,73985
