TO_KISTI
1462166484
time,tx_packets
0.001,17763
0.101,17763
0.201,17763
0.301,17763
0.402,17763
0.502,17763
0.602,17763
0.702,17763
0.802,17763
0.903,17763
1.003,17763
1.103,17763
1.203,17763
1.303,17763
1.404,17763
1.504,17763
1.604,17763
1.704,17763
1.804,17763
1.905,17763
2.005,17763
2.105,17763
2.205,17763
2.305,17763
2.406,17763
2.506,17763
2.606,17763
2.706,17763
2.806,17763
2.907,17763
3.007,17763
3.107,17763
3.207,17763
3.307,17763
3.408,17763
3.508,17763
3.608,17763
3.708,17763
3.808,17763
3.909,17763
4.009,17763
4.109,17763
4.209,17763
4.309,17763
4.410,17763
4.510,17763
4.610,17763
4.710,17763
4.810,17763
4.911,17763
5.011,17763
5.111,17763
5.211,17763
5.311,17763
5.412,17763
5.512,17763
5.612,17763
5.712,17763
5.812,17763
5.913,17763
6.013,17763
6.113,17763
6.213,17763
6.313,17763
6.414,17763
6.514,17763
6.614,17763
6.714,17763
6.814,17763
6.915,17763
7.015,17763
7.115,17763
7.215,17763
7.315,17763
7.416,17763
7.516,17763
7.616,17763
7.716,17763
7.816,17763
7.917,17763
8.017,17763
8.117,17763
8.217,17763
8.317,17763
8.418,17763
8.518,17763
8.618,17763
8.718,17763
8.818,17763
8.919,17763
9.019,17763
9.119,17763
9.219,17763
9.319,17763
9.420,17763
9.520,17763
9.620,17763
9.720,17763
9.820,17763
9.921,17763
10.021,17763
10.121,17763
10.221,17763
10.321,17763
10.422,17763
10.522,17763
10.622,17763
10.722,17763
10.822,17763
10.923,17763
11.023,17763
11.123,17763
11.223,17763
11.323,17763
11.424,17763
11.524,17763
11.624,17763
11.724,17763
11.824,17763
11.925,17763
12.025,17763
12.125,17763
12.225,17763
12.325,17763
12.426,17763
12.526,17763
12.626,17763
12.726,17763
12.826,17763
12.927,17763
13.027,17763
13.127,17763
13.227,17764
13.327,17765
13.428,17767
13.528,17772
13.628,17776
13.728,17781
13.828,17785
13.929,17790
14.029,17795
14.129,17799
14.229,17803
14.329,17808
14.430,17812
14.530,17819
14.630,17824
14.730,17830
14.830,17836
14.931,17842
15.031,17847
15.131,17851
15.231,17856
15.331,17862
15.432,17868
15.532,17872
15.632,17876
15.732,17881
15.832,17886
15.932,17890
16.033,17895
16.133,17901
16.233,17907
16.333,17913
16.433,17917
16.533,17921
16.634,17926
16.734,17932
16.834,17936
16.934,17941
17.034,17944
17.134,17950
17.235,17958
17.335,17961
17.435,17965
17.535,17969
17.635,17976
17.736,17980
17.836,17986
17.936,17992
18.036,17997
18.136,18001
18.237,18007
18.337,18013
18.437,18018
18.537,18022
18.637,18027
18.737,18030
18.837,18035
18.938,18040
19.038,18047
19.138,18051
19.238,18057
19.339,18061
19.439,18066
19.539,18072
19.639,18077
19.739,18083
19.840,18087
19.940,18092
20.040,18097
20.140,18102
20.240,18107
20.341,18112
20.441,18119
20.541,18123
20.641,18127
20.741,18131
20.841,18136
20.942,18141
21.042,18146
21.142,18152
21.242,18155
21.342,18159
21.443,18165
21.543,18170
21.643,18174
21.743,18179
21.843,18185
21.944,18192
22.044,18197
22.144,18203
22.244,18207
22.344,18213
22.445,18218
22.545,18222
22.645,18228
22.745,18234
22.845,18238
22.946,18243
23.046,18247
23.146,18251
23.246,18257
23.346,18262
23.447,18268
23.547,18274
23.647,18279
23.747,18285
23.847,18290
23.947,18294
24.047,18300
24.149,18305
24.247,18305
24.348,18305
24.448,18305
24.548,18305
24.648,18305
24.748,18305
24.849,18305
24.949,18305
25.049,18305
25.149,18305
25.249,18305
25.349,18305
25.450,18305
25.550,18305
25.650,18305
25.750,18305
25.851,18305
25.951,18305
26.051,18305
26.151,18305
26.251,18305
26.352,18305
26.452,18305
26.552,18305
26.652,18305
26.752,18305
26.853,18305
26.953,18305
27.053,18305
27.153,18305
27.254,18305
27.354,18305
27.454,18305
27.554,18305
27.654,18305
27.755,18305
27.855,18305
27.955,18305
28.055,18305
28.155,18305
28.256,18305
28.356,18305
28.456,18305
28.556,18305
28.656,18305
28.757,18305
28.857,18305
28.957,18305
30.057,18305
30.157,18305
30.257,18305
30.357,18305
30.458,18305
30.558,18305
30.658,18305
30.758,18305
30.859,18305
30.959,18305
31.059,18305
31.159,18305
31.259,18305
31.360,18305
31.460,18305
31.560,18305
31.660,18305
31.760,18305
31.861,18305
31.961,18305
32.061,18305
32.161,18305
32.261,18305
32.362,18305
32.462,18305
32.562,18305
32.662,18305
32.762,18305
32.863,18305
32.963,18305
33.063,18305
33.163,18305
33.263,18305
33.364,18305
33.464,18305
33.564,18305
33.664,18305
33.764,18305
33.865,18305
33.965,18305
34.065,18305
34.165,18305
34.265,18305
34.366,18305
34.466,18305
34.566,18305
34.666,18305
34.766,18305
34.867,18305
34.967,18305
35.067,18305
35.167,18305
35.268,18305
35.368,18305
35.468,18305
35.568,18305
35.668,18305
35.769,18305
35.869,18305
35.969,18305
36.069,18305
36.169,18305
36.270,18305
