FROM_CLIENT
1462166773
time,rx_packets
0.001,75690
0.101,75690
0.201,75690
0.301,75690
0.401,75690
0.502,75690
0.602,75690
0.702,75690
0.802,75690
0.903,75690
1.003,75690
1.103,75690
1.203,75690
1.303,75690
1.404,75690
1.504,75690
1.604,75690
1.704,75690
1.804,75690
1.905,75690
2.005,75690
2.105,75690
2.205,75690
2.305,75690
2.406,75690
2.506,75691
2.606,75696
2.707,75701
2.807,75706
2.907,75711
3.007,75716
3.107,75721
3.207,75726
3.307,75731
3.408,75736
3.508,75741
3.608,75746
3.708,75751
3.808,75756
3.908,75761
4.009,75766
4.109,75771
4.209,75776
4.309,75781
4.409,75786
4.510,75791
4.610,75796
4.710,75801
4.810,75806
4.910,75811
5.010,75816
5.111,75821
5.211,75826
5.311,75831
5.411,75836
5.511,75841
5.612,75846
5.712,75851
5.812,75856
5.913,75861
6.013,75866
6.114,75871
6.213,75876
6.314,75881
6.415,75886
6.515,75891
6.614,75896
6.715,75901
6.816,75906
6.915,75911
7.016,75916
7.117,75921
7.217,75926
7.317,75931
7.416,75936
7.518,75942
7.618,75947
7.718,75952
7.818,75957
7.919,75962
8.018,75967
8.119,75972
8.220,75977
8.320,75982
8.419,75987
8.521,75992
8.621,75997
8.721,76002
8.821,76007
8.923,76013
9.022,76018
9.122,76023
9.222,76027
9.323,76033
9.424,76038
9.523,76043
9.624,76048
9.725,76053
9.825,76058
9.925,76063
10.024,76068
10.125,76073
10.225,76078
10.326,76083
10.426,76088
10.526,76093
10.626,76098
10.727,76103
10.828,76108
10.926,76113
11.027,76118
11.127,76123
11.227,76128
11.329,76133
11.428,76138
11.528,76143
11.628,76148
11.729,76153
11.829,76158
11.929,76163
12.029,76168
12.131,76173
12.230,76178
12.331,76183
12.431,76188
12.531,76193
12.631,76199
12.731,76204
12.831,76209
12.932,76214
13.032,76219
13.132,76224
14.232,76279
14.333,76284
14.434,76289
14.533,76294
14.633,76299
14.733,76304
14.834,76309
14.934,76314
15.034,76319
15.135,76324
15.236,76329
15.335,76334
15.436,76339
15.536,76344
15.636,76349
15.737,76354
15.837,76359
15.937,76364
16.037,76369
16.137,76374
16.238,76379
16.338,76384
16.438,76389
16.539,76394
16.640,76399
16.739,76404
16.839,76409
16.940,76414
17.040,76419
17.140,76424
17.240,76429
17.341,76434
17.441,76439
17.541,76444
17.641,76449
17.741,76454
17.841,76459
17.941,76464
18.041,76469
18.141,76474
18.242,76479
18.342,76484
18.443,76490
18.542,76494
18.642,76500
18.742,76505
18.843,76510
18.943,76515
19.043,76520
19.143,76525
19.244,76530
19.344,76535
19.444,76540
19.544,76545
19.644,76550
19.744,76555
19.844,76560
19.944,76565
20.044,76570
20.145,76575
20.245,76580
20.345,76585
20.445,76590
20.545,76595
20.646,76600
20.746,76605
20.846,76610
20.946,76615
21.046,76620
21.147,76625
21.247,76630
21.347,76635
21.447,76640
21.547,76645
21.647,76650
21.747,76655
21.848,76660
21.948,76665
22.048,76670
22.148,76675
22.248,76680
22.349,76685
22.449,76690
22.549,76695
22.649,76700
22.749,76705
22.850,76710
22.950,76715
23.050,76720
23.150,76725
23.250,76730
23.351,76735
23.451,76740
23.551,76745
23.651,76750
23.751,76755
23.851,76760
23.952,76765
24.052,76770
24.152,76775
24.252,76780
24.352,76785
24.453,76790
24.553,76795
24.653,76800
24.753,76805
24.854,76810
24.954,76815
25.054,76820
25.154,76825
25.254,76830
25.355,76835
25.455,76840
25.555,76845
25.655,76850
25.756,76855
25.856,76860
25.956,76865
26.056,76870
26.157,76875
26.257,76880
26.357,76885
26.457,76890
26.558,76895
26.658,76900
26.758,76905
26.858,76910
26.959,76915
27.059,76920
27.159,76925
27.260,76930
27.360,76935
27.460,76940
27.560,76945
27.661,76950
27.761,76955
27.861,76960
27.961,76965
28.062,76970
28.162,76975
28.263,76979
28.363,76979
28.463,76979
28.563,76979
28.663,76979
28.763,76979
28.863,76979
28.963,76979
29.063,76979
29.163,76979
29.264,76979
29.364,76979
29.464,76979
29.564,76979
29.665,76979
29.765,76979
29.865,76979
29.965,76979
30.065,76979
30.166,76979
30.266,76979
30.366,76979
30.466,76979
30.566,76979
30.667,76979
30.767,76979
30.867,76979
30.967,76979
31.068,76979
31.168,76979
31.268,76979
31.368,76979
31.468,76979
31.569,76979
31.669,76979
31.769,76979
31.869,76979
31.970,76979
32.070,76979
32.170,76979
32.270,76979
32.370,76979
32.471,76979
32.571,76979
32.671,76979
32.771,76979
32.872,76979
32.975,76979
33.072,76979
33.172,76979
33.272,76979
33.373,76979
33.473,76979
33.573,76979
33.673,76979
33.773,76979
33.874,76979
33.975,76979
34.074,76979
34.174,76979
34.274,76979
34.375,76979
34.476,76979
34.575,76979
34.675,76979
34.776,76979
34.876,76979
34.976,76979
