TO_CLIENT
1462166773
time,tx_packets
0.001,73985
0.101,73985
0.201,73985
0.301,73985
0.401,73985
0.502,73985
0.602,73985
0.702,73985
0.802,73985
0.902,73985
1.002,73985
1.103,73985
1.203,73985
1.303,73985
1.403,73985
1.504,73985
1.604,73985
1.704,73985
1.804,73985
1.904,73985
2.004,73985
2.105,73985
2.205,73985
2.305,73985
2.405,73985
2.506,73985
2.606,73985
2.706,73988
2.808,73992
2.907,73999
3.007,74003
3.108,74008
3.207,74012
3.308,74019
3.408,74023
3.508,74027
3.608,74031
3.708,74037
3.808,74042
3.909,74046
4.009,74052
4.109,74058
4.210,74061
4.309,74065
4.410,74071
4.511,74076
4.610,74079
4.710,74088
4.810,74093
4.911,74096
5.011,74103
5.112,74107
5.211,74114
5.312,74117
5.413,74122
5.511,74126
5.612,74129
5.712,74136
5.813,74140
5.913,74147
6.013,74152
6.113,74157
6.215,74158
6.315,74167
6.415,74172
6.515,74176
6.615,74181
6.716,74187
6.816,74190
6.918,74196
7.017,74202
7.117,74206
7.217,74213
7.317,74215
7.419,74221
7.519,74228
7.619,74233
7.719,74238
7.819,74242
7.919,74247
8.019,74253
8.120,74257
8.220,74263
8.321,74266
8.420,74273
8.521,74278
8.622,74282
8.723,74289
8.822,74292
8.923,74298
9.023,74301
9.123,74307
9.225,74312
9.325,74317
9.424,74323
9.525,74326
9.625,74333
9.726,74338
9.825,74343
9.925,74348
10.026,74354
10.127,74357
10.227,74362
10.327,74369
10.428,74371
10.528,74375
10.628,74383
10.727,74387
10.828,74393
10.929,74396
11.029,74405
11.129,74407
11.229,74413
11.329,74417
11.430,74424
11.530,74427
11.630,74432
11.730,74438
11.831,74442
11.931,74448
12.032,74453
12.131,74458
12.232,74462
12.332,74469
12.433,74472
12.533,74479
12.633,74482
12.733,74482
12.833,74482
12.933,74482
13.034,74485
13.134,74494
14.235,74561
14.335,74564
14.435,74570
14.536,74576
14.635,74578
14.736,74585
14.836,74592
14.937,74597
15.037,74601
15.136,74606
15.236,74612
15.338,74615
15.438,74620
15.538,74627
15.638,74630
15.738,74635
15.839,74641
15.939,74646
16.040,74651
16.140,74657
16.239,74662
16.340,74667
16.440,74671
16.541,74675
16.640,74680
16.741,74686
16.840,74691
16.942,74696
17.042,74701
17.142,74706
17.242,74711
17.342,74716
17.443,74721
17.543,74726
17.643,74730
17.743,74737
17.844,74741
17.943,74745
18.043,74750
18.144,74756
18.243,74761
18.344,74766
18.444,74771
18.544,74775
18.644,74780
18.745,74786
18.845,74791
18.945,74796
19.045,74801
19.146,74807
19.246,74812
19.346,74816
19.446,74821
19.546,74826
19.646,74831
19.746,74835
19.846,74841
19.946,74847
20.047,74852
20.147,74857
20.247,74861
20.347,74865
20.447,74872
20.547,74876
20.647,74882
20.748,74886
20.848,74891
20.948,74896
21.048,74902
21.148,74907
21.249,74911
21.349,74917
21.449,74921
21.549,74926
21.650,74931
21.750,74937
21.850,74942
21.950,74945
22.050,74950
22.151,74956
22.251,74961
22.351,74966
22.451,74970
22.551,74973
22.651,74983
22.751,74988
22.852,74991
22.952,74996
23.052,75002
23.152,75006
23.252,75012
23.352,75016
23.453,75022
23.553,75026
23.653,75031
23.753,75037
23.854,75042
23.954,75048
24.054,75054
24.154,75059
24.254,75064
24.354,75068
24.455,75074
24.555,75079
24.655,75084
24.756,75088
24.855,75093
24.956,75099
25.056,75104
25.156,75109
25.256,75114
25.356,75119
25.457,75124
25.557,75129
25.657,75134
25.757,75140
25.858,75145
25.958,75150
26.058,75155
26.158,75160
26.259,75165
26.359,75170
26.459,75175
26.560,75180
26.659,75185
26.760,75190
26.860,75195
26.960,75200
27.061,75205
27.161,75210
27.261,75215
27.362,75220
27.462,75225
27.562,75230
27.662,75235
27.763,75240
27.863,75245
27.963,75250
28.064,75255
28.164,75260
28.264,75265
28.364,75270
28.465,75274
28.565,75274
28.665,75274
28.765,75274
28.865,75274
28.965,75274
29.065,75274
29.166,75274
29.266,75274
29.366,75274
29.467,75274
29.566,75274
29.667,75274
29.767,75274
29.867,75274
29.968,75274
30.068,75274
30.168,75274
30.269,75274
30.369,75274
30.469,75274
30.569,75274
30.669,75274
30.770,75274
30.870,75274
30.970,75274
31.070,75274
31.171,75274
31.271,75274
31.372,75274
31.471,75274
31.572,75274
31.672,75274
31.772,75274
31.873,75274
31.975,75274
32.073,75274
32.173,75274
32.273,75274
32.374,75274
32.474,75274
32.575,75274
32.675,75274
32.775,75274
32.875,75274
32.977,75274
33.076,75274
33.176,75274
33.276,75274
33.377,75274
33.477,75274
33.577,75274
33.677,75274
33.777,75274
33.878,75274
33.978,75274
34.078,75274
34.178,75274
34.279,75274
34.379,75274
34.480,75274
34.579,75274
34.679,75274
34.780,75274
34.880,75274
34.980,75274
