TO_UA
1462166773
time,tx_packets
0.001,126675
0.101,126675
0.201,126675
0.302,126675
0.402,126675
0.502,126675
0.602,126675
0.702,126675
0.803,126675
0.903,126675
1.003,126676
1.103,126676
1.204,126676
1.304,126676
1.404,126676
1.505,126677
1.605,126677
1.705,126678
1.806,126678
1.907,126678
2.007,126678
2.107,126678
2.208,126678
2.307,126678
2.408,126679
2.507,126679
2.609,126697
2.709,126726
2.808,126760
2.909,126789
3.009,126825
3.108,126857
3.210,126889
3.309,126918
3.410,126933
3.510,126937
3.611,126943
3.711,126951
3.811,126959
3.910,126975
4.011,126985
4.112,126995
4.212,127002
4.312,127024
4.412,127037
4.513,127053
4.612,127060
4.713,127073
4.813,127080
4.912,127085
5.014,127103
5.113,127109
5.214,127124
5.314,127129
5.414,127136
5.514,127150
5.616,127159
5.715,127171
5.816,127182
5.916,127191
6.015,127195
6.116,127201
6.216,127216
6.317,127244
6.417,127249
6.518,127259
6.618,127265
6.719,127272
6.819,127275
6.918,127278
7.019,127281
7.118,127299
7.218,127325
7.318,127329
7.418,127333
7.519,127339
7.619,127341
7.719,127346
7.819,127353
7.920,127360
8.020,127369
8.120,127380
8.220,127392
8.320,127399
8.420,127409
8.521,127417
8.621,127422
8.721,127428
8.821,127438
8.921,127450
9.022,127463
9.122,127473
9.222,127484
9.322,127504
9.422,127525
9.522,127533
9.623,127548
9.723,127566
9.823,127579
9.923,127608
10.023,127623
10.124,127634
10.224,127651
10.324,127660
10.424,127670
10.524,127676
10.625,127689
10.725,127701
10.825,127716
10.925,127733
11.025,127754
11.126,127772
11.226,127784
11.326,127798
11.426,127811
11.526,127825
11.627,127832
11.727,127854
11.827,127868
11.927,127886
12.027,127904
12.128,127927
12.228,127946
12.328,127966
12.428,127979
12.528,128000
12.628,128013
12.728,128030
12.829,128049
12.929,128073
13.029,128111
13.129,128150
13.229,128190
13.329,128220
13.429,128245
13.530,128282
13.630,128303
13.730,128328
13.830,128352
13.930,128374
14.030,128397
14.130,128420
14.230,128442
14.331,128467
14.431,128491
14.531,128515
14.631,128536
14.731,128567
14.832,128591
14.932,128615
15.032,128635
15.132,128658
15.232,128681
15.332,128706
15.433,128729
15.533,128750
15.633,128770
15.733,128793
15.833,128818
15.933,128844
16.033,128867
16.133,128887
16.234,128909
16.334,128932
16.434,128955
16.534,128978
16.634,129001
16.735,129023
16.835,129045
16.935,129064
17.035,129088
17.135,129115
18.235,129371
18.335,129393
18.435,129415
18.536,129437
18.636,129462
18.736,129483
18.836,129506
18.936,129532
19.036,129556
19.137,129581
19.237,129603
19.337,129623
19.437,129648
19.537,129668
19.637,129697
19.737,129720
19.838,129746
19.938,129766
20.038,129787
20.138,129808
20.238,129830
20.339,129854
20.439,129878
20.539,129904
20.639,129930
20.739,129954
20.839,129976
20.939,130001
21.040,130027
21.140,130052
21.240,130073
21.340,130097
21.440,130121
21.540,130142
21.641,130167
21.741,130189
21.841,130211
21.941,130231
22.041,130255
22.141,130279
22.242,130297
22.342,130321
22.442,130347
22.542,130369
22.642,130395
22.742,130419
22.843,130437
22.943,130464
23.043,130489
23.143,130509
23.243,130535
23.343,130557
23.444,130581
23.544,130604
23.644,130627
23.744,130649
23.844,130666
23.945,130695
24.045,130718
24.145,130749
24.245,130770
24.345,130804
24.445,130827
24.546,130856
24.646,130888
24.746,130914
24.846,130952
24.946,130981
25.046,131016
25.146,131048
25.247,131077
25.347,131103
25.447,131128
25.547,131172
25.647,131207
25.747,131249
25.847,131282
25.947,131316
26.047,131349
26.148,131387
26.248,131420
26.348,131453
26.448,131483
26.548,131517
26.648,131551
26.748,131586
26.848,131621
26.949,131654
27.049,131687
27.149,131722
27.249,131758
27.349,131794
27.449,131827
27.550,131860
27.650,131894
27.750,131928
27.850,131962
27.950,131995
28.050,132029
28.150,132061
28.250,132097
28.351,132132
28.451,132160
28.551,132180
28.651,132191
28.751,132191
28.851,132191
28.952,132191
29.052,132191
29.152,132191
29.252,132191
29.352,132191
29.453,132191
29.553,132191
29.653,132191
29.753,132191
29.853,132191
29.954,132191
30.054,132191
30.154,132191
30.254,132191
30.355,132191
30.455,132191
30.555,132191
30.655,132191
30.756,132191
30.856,132191
30.956,132192
31.056,132192
31.156,132192
31.257,132192
31.357,132193
31.457,132193
31.557,132193
31.657,132194
31.758,132194
31.858,132194
31.958,132194
32.058,132194
32.158,132194
32.258,132194
32.359,132194
32.459,132194
32.559,132195
32.659,132196
32.760,132196
32.860,132196
32.960,132196
33.060,132196
33.160,132196
33.261,132196
33.361,132196
33.461,132196
33.561,132196
33.661,132196
33.762,132198
33.862,132198
33.962,132198
34.062,132198
34.163,132198
34.263,132198
34.363,132198
34.463,132198
34.563,132198
34.664,132198
34.764,132198
34.864,132198
34.964,132198
