FROM_KISTI
1462166822
time,rx_packets
0.001,19855
0.101,19855
0.201,19855
0.301,19855
0.402,19855
0.502,19855
0.602,19855
0.702,19855
0.802,19855
0.903,19855
1.003,19855
1.103,19855
1.203,19855
1.303,19855
1.404,19855
1.504,19855
1.604,19855
1.704,19855
1.804,19855
1.905,19855
2.005,19855
2.105,19855
2.205,19855
2.305,19855
2.406,19855
2.506,19855
2.606,19855
2.706,19857
2.806,19862
2.907,19866
3.007,19870
3.107,19875
3.207,19879
3.307,19883
3.407,19884
3.507,19891
3.608,19891
3.708,19893
3.808,19894
3.908,19894
4.008,19895
4.108,19896
4.208,19896
4.309,19896
4.409,19897
4.509,19904
4.609,19904
4.709,19907
4.809,19910
4.910,19911
5.010,19911
5.110,19911
5.210,19911
5.310,19911
5.410,19913
5.511,19914
5.611,19914
5.711,19916
5.811,19917
5.912,19917
6.012,19917
6.112,19918
6.212,19919
6.312,19919
6.413,19919
6.513,19919
6.613,19920
6.713,19924
6.814,19924
6.914,19928
7.014,19930
7.115,19931
7.215,19934
7.315,19935
7.415,19935
7.515,19937
7.616,19937
7.716,19937
7.816,19940
7.916,19940
8.016,19942
8.117,19942
8.217,19942
8.317,19945
8.417,19945
8.517,19945
8.618,19945
8.718,19948
8.818,19949
8.918,19952
9.018,19952
9.119,19952
9.219,19952
9.319,19952
9.419,19952
9.519,19955
9.620,19957
9.720,19957
9.820,19957
9.920,19957
10.021,19958
10.121,19958
10.221,19959
10.321,19965
10.421,19969
10.522,19970
10.622,19971
10.722,19974
10.822,19977
10.922,19979
11.023,19981
11.123,19982
11.223,19982
11.323,19982
11.423,19982
11.524,19984
11.624,19989
11.724,19989
11.824,19992
11.925,19993
12.025,19995
12.125,19995
12.225,19996
12.325,19996
12.426,19998
12.526,20003
12.626,20004
12.726,20005
12.827,20007
12.927,20016
13.027,20028
13.127,20034
13.227,20037
13.327,20043
13.428,20047
13.528,20052
13.628,20058
13.728,20062
13.828,20068
13.928,20073
14.028,20079
14.129,20083
14.229,20089
14.329,20095
14.429,20099
14.529,20103
14.630,20108
14.730,20113
14.830,20116
14.930,20124
15.030,20128
15.131,20133
15.231,20138
15.331,20143
15.431,20149
15.532,20154
15.632,20159
15.732,20163
15.832,20168
15.932,20173
16.033,20180
16.133,20183
16.233,20188
16.333,20193
16.434,20198
16.534,20203
16.634,20207
16.734,20215
16.834,20219
16.935,20224
17.035,20228
17.135,20233
17.235,20239
17.335,20244
17.436,20249
17.536,20254
17.636,20259
17.736,20264
17.836,20269
17.937,20274
18.037,20278
18.137,20283
18.237,20289
18.337,20294
18.438,20299
18.538,20305
18.638,20310
18.738,20315
18.838,20319
18.939,20323
19.039,20328
19.139,20334
19.239,20339
19.340,20344
19.440,20349
19.540,20353
19.640,20358
19.740,20365
19.840,20370
19.940,20374
20.041,20379
20.141,20384
20.241,20389
20.341,20394
20.441,20399
20.542,20404
20.642,20408
20.742,20414
20.842,20418
20.943,20424
21.043,20429
21.143,20435
21.243,20440
21.343,20445
21.443,20449
21.544,20454
21.644,20458
21.744,20464
21.844,20469
21.945,20474
22.045,20478
22.145,20483
22.245,20488
22.346,20494
22.446,20500
22.546,20505
22.646,20510
22.746,20514
22.847,20518
22.947,20524
23.047,20529
23.147,20533
23.247,20538
23.348,20543
23.448,20548
23.548,20554
23.648,20559
23.748,20563
23.848,20568
23.949,20572
24.049,20575
24.149,20581
24.249,20585
24.350,20589
24.450,20594
24.550,20597
24.650,20603
24.750,20607
24.851,20612
24.951,20618
25.051,20622
25.151,20628
25.251,20630
25.352,20634
25.452,20640
25.552,20644
25.652,20647
25.753,20648
25.853,20650
25.953,20650
26.053,20651
26.153,20652
26.254,20652
26.354,20652
26.454,20654
26.554,20654
26.655,20654
26.755,20655
26.855,20655
26.955,20660
27.056,20660
27.156,20660
27.256,20660
27.356,20660
27.456,20660
27.557,20662
27.657,20664
27.757,20666
27.857,20666
27.957,20666
28.058,20666
28.158,20666
28.258,20667
28.358,20667
28.458,20667
28.559,20668
28.659,20669
28.759,20670
28.859,20670
28.960,20670
29.060,20670
29.160,20670
29.260,20670
29.360,20670
29.461,20670
29.561,20670
29.661,20670
29.761,20670
29.862,20670
29.962,20670
30.062,20670
30.162,20670
30.262,20670
30.363,20670
30.463,20670
30.563,20670
30.663,20670
30.763,20670
30.864,20670
30.964,20670
31.064,20670
31.164,20670
31.265,20670
31.365,20670
31.465,20670
31.565,20670
31.666,20670
31.766,20670
31.866,20670
31.966,20670
32.066,20670
32.167,20670
32.267,20670
32.367,20670
32.467,20670
32.567,20670
32.668,20670
32.768,20670
32.868,20670
32.968,20670
33.068,20670
33.169,20670
33.269,20670
33.369,20670
33.469,20670
33.570,20670
33.670,20670
33.770,20670
33.870,20670
33.970,20670
34.071,20670
34.171,20670
34.271,20670
34.371,20670
34.471,20670
34.572,20670
34.672,20670
34.772,20670
34.872,20670
34.973,20670
35.073,20670
35.173,20670
35.273,20670
35.373,20670
35.474,20670
35.574,20670
35.674,20670
35.774,20670
35.875,20670
35.975,20670
36.075,20670
36.175,20670
36.275,20670
36.375,20670
