TO_URJC
1462166822
time,tx_packets
0.004,198919
0.101,198919
0.201,198919
0.301,198920
0.402,198920
0.502,198920
0.602,198920
0.702,198920
0.802,198920
0.903,198920
1.003,198920
1.103,198920
1.203,198920
1.303,198920
1.404,198920
1.504,198920
1.604,198920
1.705,198920
1.805,198920
1.905,198920
2.005,198920
2.105,198920
2.205,198920
2.306,198920
2.406,198920
2.506,198921
2.606,198941
2.706,198967
2.807,198990
2.907,199015
3.007,199039
3.107,199061
3.207,199080
3.307,199097
3.408,199111
3.513,199120
3.608,199129
3.708,199137
3.808,199149
3.909,199159
4.009,199166
4.109,199175
4.209,199185
4.310,199207
4.410,199216
4.510,199230
4.610,199238
4.710,199250
4.811,199266
4.910,199274
5.011,199283
5.111,199293
5.211,199306
5.311,199318
5.411,199323
5.512,199331
5.612,199341
5.712,199348
5.812,199362
5.912,199368
6.013,199383
6.112,199392
6.212,199402
6.313,199410
6.413,199421
6.513,199433
6.613,199445
6.713,199460
6.813,199471
6.913,199484
7.014,199499
7.114,199508
7.214,199518
7.314,199526
7.414,199539
7.514,199548
7.615,199559
7.715,199567
7.815,199577
7.915,199587
8.015,199598
8.116,199620
8.216,199629
8.316,199643
8.416,199651
8.516,199669
8.617,199677
8.717,199687
8.817,199694
8.917,199701
9.017,199710
9.117,199719
9.217,199726
9.317,199732
9.418,199756
9.518,199761
9.618,199768
9.718,199775
9.818,199781
9.919,199786
10.019,199794
10.119,199809
10.219,199834
10.319,199843
10.420,199852
10.520,199861
10.620,199875
10.720,199889
10.820,199903
10.921,199918
11.021,199933
11.121,199946
11.221,199957
11.321,199971
11.421,199990
11.521,200007
11.622,200018
11.722,200030
11.822,200042
11.922,200058
12.022,200071
12.122,200083
12.223,200091
12.323,200105
12.423,200116
12.523,200126
12.623,200139
12.723,200157
12.823,200182
12.923,200204
13.024,200233
13.124,200262
13.224,200292
13.324,200328
13.424,200348
13.524,200371
13.625,200393
13.724,200412
13.825,200437
13.925,200462
14.025,200482
14.125,200505
14.225,200523
14.325,200545
14.425,200562
14.525,200575
14.626,200594
14.725,200614
14.826,200626
14.926,200654
15.026,200677
15.126,200695
15.226,200712
15.326,200727
15.426,200744
15.526,200764
15.626,200779
15.726,200795
15.827,200812
15.927,200829
16.027,200849
16.127,200865
16.227,200880
16.327,200899
16.427,200916
16.527,200931
16.627,200946
16.727,200963
16.827,200983
16.927,201001
17.027,201017
17.127,201033
17.227,201051
17.328,201070
17.428,201085
17.528,201103
17.628,201120
17.728,201135
17.828,201153
17.928,201170
18.028,201186
18.128,201202
18.228,201219
18.328,201236
18.428,201254
18.528,201274
18.629,201289
18.729,201304
18.829,201326
18.929,201340
19.029,201356
19.129,201377
19.229,201391
19.329,201412
19.430,201433
19.530,201449
19.630,201463
19.730,201486
19.830,201508
19.930,201522
20.030,201536
20.130,201555
20.230,201572
20.331,201593
20.431,201609
20.531,201625
20.631,201641
20.731,201659
20.831,201676
20.931,201694
21.031,201711
21.131,201728
21.232,201746
21.332,201761
21.432,201778
21.532,201794
21.632,201809
21.732,201827
21.832,201845
21.932,201862
22.032,201878
22.133,201896
22.233,201916
22.333,201933
22.433,201950
22.533,201967
22.633,201984
22.733,202003
22.833,202018
22.933,202037
23.034,202056
23.134,202070
23.234,202085
23.334,202105
23.434,202125
23.534,202142
23.634,202156
23.734,202168
23.834,202182
23.935,202198
24.035,202208
24.135,202227
24.235,202244
24.335,202260
24.435,202279
24.535,202301
24.635,202330
24.735,202349
24.836,202368
24.936,202391
25.036,202413
25.136,202438
25.236,202457
25.336,202480
25.436,202507
25.536,202524
25.636,202533
25.736,202554
25.836,202566
25.937,202579
26.037,202590
26.137,202599
26.237,202610
26.337,202621
26.437,202633
26.537,202644
26.637,202655
26.738,202667
26.838,202682
26.938,202693
27.038,202703
27.138,202713
27.238,202723
27.338,202733
27.438,202743
27.538,202758
27.638,202777
27.738,202787
27.838,202796
27.938,202807
28.039,202818
28.139,202831
28.239,202841
28.339,202848
28.439,202855
28.539,202857
28.640,202857
28.740,202857
28.840,202857
28.940,202859
29.040,202859
29.140,202860
29.240,202860
29.340,202861
29.441,202861
29.541,202861
29.641,202861
29.741,202861
29.841,202861
29.941,202862
30.042,202862
30.142,202864
30.242,202864
30.342,202865
30.442,202865
30.542,202865
30.642,202865
30.742,202865
30.843,202865
30.943,202865
31.043,202865
31.143,202865
31.243,202865
31.343,202865
31.443,202865
31.543,202865
31.644,202865
31.744,202865
31.844,202865
31.944,202865
32.044,202865
32.144,202866
32.244,202866
32.345,202866
32.445,202866
32.545,202866
32.645,202868
32.745,202868
32.845,202869
32.945,202869
33.046,202869
33.146,202870
33.246,202872
33.346,202872
33.446,202872
33.546,202873
33.646,202873
33.747,202874
33.847,202874
33.947,202874
34.047,202874
34.147,202874
34.247,202875
34.348,202875
34.448,202875
34.548,202876
34.648,202876
34.748,202876
34.848,202876
34.949,202876
