FROM_CLIENT
1462166942
time,rx_packets
0.001,79559
0.101,79559
0.201,79559
0.301,79559
0.402,79559
0.502,79559
0.602,79559
0.703,79559
0.803,79559
0.903,79559
1.003,79559
1.104,79559
1.204,79559
1.304,79559
1.404,79559
1.505,79559
1.605,79559
1.706,79559
1.806,79559
1.906,79559
2.006,79559
2.108,79559
2.207,79559
2.309,79559
2.407,79559
2.508,79559
2.609,79564
2.708,79569
2.808,79574
2.908,79579
3.008,79584
3.110,79589
3.209,79594
3.309,79599
3.409,79604
3.509,79609
3.609,79614
3.709,79619
3.811,79624
3.911,79629
4.010,79634
4.110,79639
4.211,79644
4.311,79649
4.411,79654
4.511,79659
4.611,79664
4.711,79669
4.813,79674
4.911,79679
5.012,79684
5.112,79689
5.212,79694
5.312,79699
5.413,79704
5.512,79709
5.613,79714
5.713,79719
5.813,79724
5.913,79729
6.013,79734
6.114,79739
6.214,79744
6.314,79749
6.414,79754
6.514,79759
6.615,79764
6.715,79769
6.815,79774
6.915,79779
7.016,79784
7.116,79789
7.217,79794
7.317,79799
7.417,79804
7.517,79809
7.617,79815
7.718,79820
7.818,79825
7.918,79830
8.018,79835
8.118,79840
8.219,79845
8.319,79850
8.420,79855
8.520,79860
8.620,79865
8.719,79870
8.820,79875
8.919,79880
9.021,79886
9.120,79890
9.220,79895
9.321,79901
9.421,79906
9.521,79911
9.622,79916
9.722,79921
9.822,79926
9.923,79931
10.022,79936
10.123,79941
10.222,79946
10.323,79951
10.422,79956
10.523,79961
10.624,79966
10.725,79971
10.824,79976
10.925,79981
11.026,79986
11.125,79991
11.225,79996
11.326,80001
11.426,80006
11.527,80011
11.628,80016
11.727,80021
11.829,80026
11.929,80031
12.029,80036
12.130,80041
12.230,80046
12.330,80051
12.430,80056
12.531,80061
12.631,80067
12.731,80072
12.832,80077
12.932,80082
13.033,80087
13.133,80092
13.233,80097
13.334,80102
13.434,80107
13.534,80112
13.637,80117
13.735,80122
13.834,80127
13.936,80132
14.035,80137
14.136,80142
14.236,80147
14.336,80152
14.437,80157
14.536,80162
14.637,80167
14.737,80172
14.837,80177
14.938,80182
15.038,80187
15.139,80192
15.238,80197
15.338,80202
15.439,80207
15.540,80212
15.640,80217
15.739,80222
15.839,80227
15.940,80232
16.040,80237
16.140,80242
16.240,80247
16.341,80253
16.441,80258
16.541,80263
16.641,80268
16.742,80273
16.842,80278
16.942,80283
17.043,80288
17.143,80293
17.243,80298
17.343,80303
17.444,80308
17.544,80313
17.644,80318
17.744,80323
17.844,80328
17.944,80333
18.044,80338
18.145,80343
18.245,80348
18.345,80353
18.446,80358
18.546,80363
18.646,80368
18.746,80373
18.846,80378
18.946,80383
19.046,80388
19.146,80393
19.247,80398
19.347,80403
19.447,80408
19.547,80413
19.647,80418
19.748,80423
19.848,80428
19.948,80433
20.048,80438
20.149,80443
20.249,80448
20.348,80453
20.449,80458
20.549,80463
20.649,80468
20.749,80473
20.850,80478
20.950,80483
21.050,80488
21.150,80493
21.250,80498
21.351,80503
21.450,80508
21.551,80513
21.651,80518
21.751,80523
21.851,80528
21.952,80533
22.052,80538
22.152,80543
22.252,80548
22.352,80553
22.453,80558
22.552,80563
22.653,80568
22.753,80573
22.853,80578
22.953,80583
23.053,80588
23.153,80593
23.253,80598
23.354,80603
23.454,80608
23.554,80613
23.654,80618
23.755,80623
23.855,80628
23.955,80633
24.055,80638
24.155,80643
24.255,80648
24.355,80653
24.455,80658
24.555,80663
24.656,80668
24.756,80673
24.856,80678
24.956,80683
25.057,80688
25.157,80693
25.257,80698
25.357,80703
25.457,80708
25.557,80713
25.658,80718
25.758,80723
25.858,80728
25.958,80733
26.058,80738
26.158,80743
26.259,80748
26.359,80753
26.459,80758
26.560,80763
26.660,80768
26.760,80773
26.860,80778
26.961,80784
27.061,80788
27.161,80794
27.261,80799
27.361,80804
27.461,80809
27.562,80814
27.662,80819
27.762,80824
27.862,80829
27.962,80834
28.062,80839
28.163,80844
28.264,80849
28.363,80849
28.464,80849
28.564,80849
28.664,80849
28.764,80849
28.865,80849
28.965,80849
29.066,80849
29.165,80849
29.266,80849
29.366,80849
29.466,80849
29.567,80849
29.667,80849
29.767,80849
29.867,80849
29.967,80849
30.068,80849
30.168,80849
30.269,80849
30.368,80849
30.469,80849
30.569,80849
30.669,80849
30.769,80849
30.870,80849
30.970,80849
31.071,80849
31.171,80849
31.271,80849
31.371,80849
31.471,80849
31.571,80849
31.672,80849
31.772,80849
31.872,80849
31.972,80849
32.073,80849
32.173,80849
32.273,80849
32.374,80849
32.474,80849
32.574,80849
32.675,80849
32.775,80849
32.875,80849
32.975,80849
33.075,80849
33.176,80849
33.276,80849
33.377,80849
33.477,80849
33.577,80849
33.677,80849
33.778,80849
33.878,80849
33.978,80849
34.078,80849
34.178,80849
34.279,80849
34.379,80849
34.479,80849
34.579,80849
34.680,80849
34.780,80849
34.880,80849
