TO_CLIENT
1462166991
time,tx_packets
0.001,79142
0.101,79142
0.201,79142
0.301,79142
0.401,79142
0.502,79142
0.602,79142
0.702,79142
0.802,79142
0.902,79142
1.003,79142
1.103,79142
1.203,79142
1.303,79142
1.403,79142
1.503,79142
1.604,79142
1.704,79142
1.804,79142
1.904,79142
2.004,79142
2.105,79142
2.205,79142
2.305,79142
2.405,79142
2.505,79142
2.606,79142
2.706,79145
2.806,79149
2.906,79154
3.006,79159
3.106,79164
3.207,79169
3.307,79174
3.407,79179
3.507,79182
3.607,79188
3.707,79192
3.807,79198
3.908,79203
4.008,79208
4.108,79211
4.208,79217
4.308,79221
4.408,79228
4.509,79231
4.609,79234
4.709,79242
4.809,79246
4.909,79250
5.010,79257
5.110,79263
5.210,79268
5.310,79274
5.410,79277
5.510,79284
5.611,79287
5.711,79294
5.811,79297
5.911,79302
6.012,79308
6.112,79313
6.212,79316
6.312,79318
6.412,79327
6.512,79330
6.612,79335
6.712,79342
6.813,79348
6.913,79351
7.013,79358
7.113,79363
7.213,79366
7.314,79372
7.414,79378
7.514,79383
7.614,79389
7.714,79396
7.814,79399
7.915,79403
8.015,79405
8.115,79412
8.215,79414
8.315,79416
8.415,79423
8.516,79429
8.616,79432
8.716,79438
8.816,79442
8.916,79449
9.016,79455
9.116,79461
9.217,79464
9.317,79471
9.417,79477
9.517,79480
9.617,79488
9.718,79493
9.818,79498
9.918,79502
10.018,79508
10.118,79513
10.219,79518
10.319,79523
10.419,79528
10.519,79533
10.619,79538
10.719,79543
10.819,79548
10.919,79553
11.020,79558
11.120,79563
11.220,79568
11.320,79573
11.420,79578
11.521,79583
11.621,79588
11.721,79593
11.821,79598
11.921,79603
12.021,79608
12.121,79613
12.221,79618
12.322,79623
12.422,79628
12.522,79633
12.622,79639
12.722,79639
12.823,79639
12.923,79642
13.023,79649
13.123,79652
13.223,79660
13.324,79666
13.424,79676
13.524,79681
13.624,79686
13.725,79692
13.825,79693
13.925,79702
14.025,79705
14.125,79709
14.226,79717
14.326,79720
14.426,79725
14.526,79731
14.626,79734
14.726,79740
14.827,79746
14.927,79750
15.027,79755
15.127,79761
15.227,79765
15.327,79770
15.427,79776
15.528,79780
15.628,79785
15.728,79791
15.828,79795
15.928,79800
16.028,79806
16.129,79810
16.229,79815
16.329,79821
16.429,79825
16.530,79830
16.630,79836
16.730,79840
16.830,79845
16.930,79851
17.030,79855
17.131,79860
17.231,79866
17.331,79870
17.431,79875
17.531,79881
17.632,79885
17.732,79890
17.832,79896
17.932,79900
18.032,79905
18.133,79911
18.233,79915
18.333,79920
18.433,79926
18.533,79930
18.634,79935
18.734,79941
18.834,79945
18.935,79950
19.034,79956
19.134,79960
19.235,79965
19.335,79971
19.435,79975
19.535,79980
19.636,79986
19.736,79990
19.836,79995
19.936,80001
20.036,80005
20.136,80010
20.237,80016
20.337,80020
20.437,80025
20.537,80031
20.637,80035
20.738,80040
20.838,80046
20.938,80051
21.038,80055
21.138,80061
21.238,80066
21.339,80070
21.439,80076
21.539,80081
21.639,80085
21.740,80091
21.840,80096
21.940,80100
22.040,80106
22.140,80111
22.240,80115
22.341,80121
22.441,80126
22.541,80130
22.641,80136
22.741,80141
22.842,80145
22.942,80151
23.042,80156
23.142,80160
23.242,80166
23.343,80171
24.443,80227
24.543,80231
24.643,80237
24.743,80242
24.844,80247
24.944,80251
25.044,80256
25.144,80261
25.244,80267
25.345,80271
25.445,80277
25.545,80282
25.645,80287
25.745,80291
25.846,80296
25.946,80301
26.046,80307
26.146,80311
26.246,80316
26.347,80323
26.447,80327
26.547,80333
26.647,80338
26.747,80342
26.847,80348
26.947,80352
27.048,80358
27.148,80362
27.248,80368
27.348,80372
27.448,80377
27.548,80383
27.649,80387
27.749,80393
27.849,80397
27.949,80403
28.049,80407
28.149,80413
28.250,80417
28.350,80421
28.450,80427
28.550,80432
28.650,80432
28.750,80432
28.851,80432
28.951,80432
29.051,80432
29.151,80432
29.252,80432
29.352,80432
29.452,80432
29.552,80432
29.653,80432
29.753,80432
29.853,80432
29.953,80432
30.053,80432
30.154,80432
30.254,80432
30.354,80432
30.454,80432
30.555,80432
30.655,80432
30.755,80432
30.855,80432
30.955,80432
31.056,80432
31.156,80432
31.256,80432
31.356,80432
31.456,80432
31.557,80432
31.657,80432
31.757,80432
31.857,80432
31.958,80432
32.058,80432
32.158,80432
32.258,80432
32.358,80432
32.458,80432
32.559,80432
32.659,80432
32.759,80432
32.859,80432
32.959,80432
33.060,80432
33.160,80432
33.260,80432
33.360,80432
33.460,80432
33.561,80432
33.661,80432
33.761,80432
33.861,80432
33.961,80432
34.062,80432
34.162,80432
34.262,80432
34.362,80432
34.462,80432
34.563,80432
34.663,80432
34.763,80432
34.863,80432
34.963,80432
