TO_UA
1462166991
time,tx_packets
0.001,149028
0.101,149029
0.201,149037
0.301,149045
0.401,149046
0.502,149046
0.602,149046
0.702,149046
0.802,149046
0.902,149050
1.003,149050
1.103,149058
1.203,149058
1.303,149069
1.403,149077
1.504,149092
1.604,149099
1.704,149106
1.804,149110
1.904,149120
2.005,149132
2.105,149136
2.205,149139
2.305,149140
2.405,149143
2.505,149147
2.605,149175
2.706,149213
2.806,149246
2.906,149277
3.006,149305
3.106,149328
3.206,149354
3.306,149373
3.407,149392
3.507,149409
3.607,149432
3.707,149446
3.807,149460
3.907,149470
4.007,149485
4.108,149498
4.208,149509
4.308,149524
4.408,149535
4.509,149546
4.609,149562
4.709,149581
4.809,149601
4.909,149621
5.009,149639
5.109,149659
5.209,149667
5.309,149682
5.410,149690
5.510,149698
5.610,149709
5.710,149720
5.810,149729
5.910,149742
6.011,149749
6.111,149762
6.211,149778
6.311,149795
6.411,149815
6.512,149841
6.612,149859
6.712,149889
6.812,149911
6.913,149930
7.013,149956
7.113,149985
7.213,150001
7.313,150018
7.414,150041
7.514,150058
7.614,150072
7.714,150095
7.814,150101
7.915,150117
8.015,150132
8.115,150155
8.215,150181
8.315,150211
8.415,150236
8.515,150273
8.615,150297
8.716,150334
8.816,150361
8.916,150392
9.016,150423
9.116,150451
9.216,150479
9.317,150514
9.416,150543
9.517,150571
9.617,150599
9.718,150630
9.817,150663
9.917,150688
10.017,150715
10.118,150744
10.218,150772
10.318,150804
10.418,150835
10.519,150866
10.619,150889
10.719,150927
10.819,150959
10.919,151002
11.019,151039
11.119,151070
11.220,151099
11.320,151128
11.420,151153
11.519,151184
11.620,151209
11.720,151239
11.820,151270
11.920,151297
12.020,151333
12.120,151360
12.220,151385
12.320,151415
12.420,151445
12.520,151474
12.621,151503
12.721,151537
12.821,151571
12.922,151604
13.021,151643
13.122,151674
13.222,151718
13.322,151746
13.423,151770
13.523,151801
13.623,151833
13.723,151870
13.823,151898
13.923,151935
14.024,151962
14.124,151995
14.224,152023
14.324,152055
14.425,152082
14.525,152106
14.625,152144
14.725,152171
14.825,152196
14.925,152222
15.025,152249
15.125,152279
15.226,152309
15.326,152333
15.426,152360
15.526,152383
15.626,152406
15.726,152434
15.826,152457
15.927,152481
16.027,152504
16.127,152528
16.227,152549
16.327,152573
16.427,152596
16.527,152622
16.627,152645
16.727,152669
16.828,152692
16.927,152720
17.027,152742
17.128,152765
17.228,152787
17.328,152810
17.428,152832
17.528,152857
17.628,152883
17.728,152908
17.829,152931
17.929,152956
18.029,152981
18.129,153007
18.229,153032
18.329,153058
18.429,153085
18.529,153111
18.629,153136
18.729,153165
18.830,153192
18.930,153221
19.030,153251
19.130,153284
19.230,153315
19.330,153341
19.430,153371
19.531,153413
19.631,153445
19.731,153475
19.831,153498
19.931,153528
20.031,153554
20.131,153579
20.232,153607
20.332,153635
20.432,153659
20.532,153684
20.632,153709
20.733,153733
20.833,153756
20.933,153783
21.033,153806
21.133,153833
21.234,153857
21.334,153883
21.434,153907
21.534,153933
21.634,153956
21.735,153982
21.835,154008
21.935,154032
22.035,154056
22.135,154082
22.236,154107
22.336,154131
22.436,154156
22.536,154181
22.636,154206
22.736,154232
22.837,154255
22.937,154281
23.037,154306
23.137,154328
23.237,154352
23.337,154378
23.438,154401
23.538,154427
23.638,154453
23.738,154472
23.838,154492
23.939,154513
24.038,154529
24.139,154545
24.239,154564
24.339,154587
24.439,154609
24.539,154642
24.639,154675
24.740,154697
24.840,154719
24.940,154736
25.040,154752
25.140,154773
25.240,154791
25.341,154807
25.441,154827
25.541,154850
25.641,154876
25.742,154899
25.842,154915
25.942,154934
26.042,154951
26.142,154967
26.242,154987
26.342,155007
26.442,155029
26.543,155042
26.643,155063
26.743,155080
26.843,155099
26.943,155114
27.043,155134
27.144,155151
27.244,155171
27.344,155193
27.444,155218
27.544,155240
27.644,155260
27.745,155283
27.845,155299
27.945,155315
28.045,155332
28.145,155352
28.246,155372
28.346,155396
28.446,155414
28.546,155423
28.646,155425
28.746,155425
28.847,155426
28.947,155426
29.048,155426
29.148,155426
29.248,155426
29.348,155426
29.449,155426
29.549,155426
29.649,155426
29.750,155426
29.850,155426
29.950,155426
30.050,155426
30.151,155426
30.251,155426
30.351,155426
30.451,155426
30.551,155426
30.651,155426
30.752,155426
30.852,155426
30.952,155426
31.053,155426
31.153,155426
31.253,155426
31.354,155426
31.454,155426
31.554,155426
31.654,155426
31.755,155426
31.855,155426
31.955,155426
32.056,155426
32.156,155426
32.256,155426
32.356,155426
32.456,155426
32.556,155426
32.657,155429
32.757,155437
32.857,155439
32.957,155441
33.058,155445
33.158,155454
33.258,155465
33.358,155466
33.458,155472
33.558,155488
33.659,155496
33.759,155513
33.859,155514
33.959,155514
34.060,155520
34.160,155520
34.260,155532
34.360,155538
34.460,155538
34.561,155538
34.661,155541
34.761,155541
34.862,155542
34.962,155548
