FROM_KISTI
1462167041
time,rx_packets
0.001,23806
0.101,23806
0.201,23806
0.301,23806
0.402,23806
0.502,23806
0.602,23806
0.702,23806
0.802,23806
0.903,23806
1.003,23806
1.103,23806
1.203,23806
1.304,23806
1.404,23806
1.504,23806
1.604,23806
1.704,23806
1.805,23806
1.905,23806
2.005,23806
2.105,23806
2.205,23806
2.306,23806
2.406,23806
2.506,23806
2.606,23806
2.706,23806
2.807,23810
2.907,23815
3.007,23819
3.107,23825
3.207,23831
3.307,23835
3.407,23840
3.508,23842
3.608,23845
3.708,23846
3.808,23847
3.908,23850
4.008,23852
4.108,23852
4.209,23854
4.309,23856
4.409,23857
4.509,23857
4.609,23859
4.710,23860
4.810,23862
4.910,23863
5.010,23865
5.110,23866
5.211,23868
5.311,23870
5.411,23874
5.511,23879
5.611,23879
5.711,23879
5.812,23882
5.912,23884
6.012,23887
6.112,23888
6.212,23889
6.312,23892
6.413,23894
6.513,23904
6.613,23908
6.713,23944
6.813,23950
6.913,23955
7.013,23961
7.114,23962
7.214,23966
7.314,23971
7.414,23974
7.514,23978
7.614,23980
7.715,23980
7.815,23986
7.915,23989
8.015,23990
8.115,23992
8.215,23994
8.316,23994
8.416,24004
8.516,24021
8.616,24034
8.716,24040
8.816,24047
8.917,24052
9.017,24053
9.117,24060
9.217,24066
9.317,24072
9.417,24076
9.517,24083
9.617,24086
9.717,24090
9.817,24095
9.918,24101
10.018,24107
10.118,24112
10.218,24117
10.318,24121
10.419,24128
10.519,24132
10.619,24138
10.719,24143
10.819,24147
10.919,24151
11.019,24157
11.119,24160
11.219,24167
11.320,24172
11.420,24177
11.520,24182
11.620,24187
11.720,24193
11.820,24198
11.920,24200
12.020,24204
12.120,24213
12.221,24216
12.321,24222
12.421,24229
12.521,24235
12.621,24243
12.721,24245
12.822,24251
12.922,24258
13.022,24264
13.122,24268
13.222,24274
13.323,24278
13.423,24284
13.523,24289
13.623,24296
13.723,24299
13.823,24305
13.923,24311
14.024,24316
14.124,24321
14.224,24325
14.324,24328
14.424,24335
14.524,24340
14.625,24343
14.725,24350
14.825,24354
14.925,24359
15.025,24365
15.125,24368
15.225,24374
15.326,24381
15.426,24387
15.526,24390
15.626,24392
15.727,24398
15.827,24406
15.927,24409
16.027,24417
16.127,24420
16.227,24425
16.327,24430
16.428,24435
16.528,24441
16.628,24445
16.728,24450
16.828,24454
16.928,24459
17.028,24465
17.129,24471
17.229,24475
17.329,24480
17.429,24487
17.529,24490
17.629,24494
17.729,24499
17.830,24504
17.930,24511
18.030,24515
18.130,24519
18.230,24525
18.330,24530
18.430,24535
18.531,24540
18.631,24546
18.731,24550
18.831,24555
18.931,24562
19.031,24566
19.131,24569
19.231,24575
19.332,24580
19.432,24585
19.532,24590
19.632,24595
19.732,24601
19.832,24606
19.932,24611
20.033,24616
20.133,24619
20.233,24624
20.333,24631
20.433,24636
20.533,24639
20.634,24644
20.734,24651
20.834,24656
20.934,24660
21.034,24666
21.134,24671
21.235,24676
21.335,24678
21.435,24685
21.535,24692
21.635,24697
21.735,24701
21.835,24706
21.936,24712
22.036,24716
22.136,24721
22.236,24724
22.336,24729
22.436,24734
22.536,24739
22.637,24747
22.737,24749
22.837,24758
22.937,24762
23.037,24766
23.137,24772
23.237,24774
23.338,24780
23.438,24786
23.538,24790
23.638,24795
23.738,24800
23.839,24804
23.939,24807
24.039,24810
24.139,24815
24.239,24821
24.339,24825
24.439,24831
24.540,24835
24.640,24840
24.740,24845
24.840,24847
24.940,24852
25.041,24855
25.141,24862
25.241,24866
25.341,24871
25.441,24878
25.541,24885
25.642,24888
25.742,24895
25.842,24898
25.942,24904
26.042,24908
26.142,24914
26.242,24918
26.343,24924
26.443,24927
26.543,24932
26.643,24937
26.743,24941
26.844,24947
26.944,24952
27.044,24956
27.144,24964
27.244,24966
27.344,24972
27.444,24976
27.545,24980
27.645,24986
27.745,24994
27.845,24998
27.945,25003
28.045,25006
28.145,25011
28.246,25017
28.346,25021
28.446,25027
28.546,25032
28.646,25033
28.746,25036
28.846,25036
28.946,25036
29.047,25036
29.147,25036
29.247,25036
29.347,25036
29.447,25036
29.547,25036
29.648,25036
29.748,25036
29.848,25036
29.948,25036
30.049,25036
30.149,25036
30.249,25036
30.349,25036
30.449,25036
30.550,25036
30.650,25036
30.750,25036
30.850,25036
30.950,25036
31.051,25036
31.151,25036
31.251,25036
31.351,25036
31.452,25036
31.552,25036
31.652,25036
31.752,25036
31.852,25036
31.953,25036
32.053,25036
32.153,25036
32.253,25036
32.353,25036
32.454,25036
32.554,25036
32.654,25036
32.754,25036
32.855,25036
32.955,25036
33.055,25036
33.155,25036
33.255,25036
33.356,25036
33.456,25036
33.556,25036
33.656,25036
33.756,25036
33.857,25036
33.957,25036
34.058,25036
34.157,25036
34.258,25036
34.358,25036
34.458,25036
34.558,25036
34.658,25036
34.759,25036
34.859,25036
34.959,25036
35.059,25036
35.160,25036
35.260,25036
35.360,25036
35.460,25036
35.560,25036
35.661,25036
35.761,25036
35.861,25036
35.961,25036
36.061,25036
36.162,25036
36.262,25036
36.362,25036
36.462,25036
