TO_UM
1462167041
time,tx_packets
0.001,322768
0.102,322769
0.201,322776
0.302,322779
0.402,322779
0.502,322779
0.603,322779
0.703,322780
0.803,322782
0.903,322782
1.004,322782
1.104,322782
1.204,322782
1.305,322782
1.405,322782
1.505,322782
1.605,322782
1.706,322782
1.806,322782
1.907,322782
2.007,322782
2.107,322782
2.208,322782
2.308,322782
2.408,322782
2.509,322782
2.608,322797
2.709,322831
2.808,322863
2.909,322895
3.010,322931
3.109,322985
3.209,323015
3.309,323043
3.409,323066
3.510,323081
3.611,323094
3.712,323107
3.811,323122
3.912,323140
4.013,323157
4.112,323173
4.214,323191
4.313,323211
4.414,323235
4.513,323248
4.613,323259
4.714,323272
4.814,323287
4.914,323301
5.015,323316
5.116,323330
5.216,323344
5.316,323361
5.416,323375
5.516,323390
5.616,323403
5.717,323414
5.818,323425
5.917,323435
6.018,323448
6.119,323456
6.220,323478
6.319,323490
6.419,323505
6.520,323618
6.620,323653
6.721,323793
6.821,323954
6.920,324056
7.021,324094
7.121,324125
7.221,324155
7.321,324174
7.422,324199
7.522,324215
7.622,324239
7.722,324252
7.822,324265
7.922,324278
8.023,324301
8.123,324322
8.223,324356
8.324,324423
8.424,324468
8.524,324585
8.623,324638
8.724,324771
8.824,324834
8.924,324874
9.024,324915
9.125,324951
9.225,324990
9.325,325032
9.425,325069
9.525,325105
9.626,325140
9.725,325167
9.826,325199
9.926,325232
10.026,325263
10.126,325304
10.227,325345
10.326,325391
10.427,325425
10.527,325461
10.627,325501
10.727,325538
10.827,325570
10.928,325607
11.028,325645
11.128,325679
11.228,325707
11.328,325741
11.428,325773
11.529,325815
11.629,325849
11.729,325901
11.829,325942
11.929,325977
12.029,326008
12.129,326042
12.229,326076
12.330,326110
12.430,326151
12.530,326193
12.630,326233
12.730,326277
12.830,326307
12.931,326359
13.031,326402
13.131,326436
13.231,326492
13.331,326580
13.431,326610
13.532,326659
13.632,326687
13.732,326730
13.831,326779
13.932,326817
14.032,326869
14.132,326912
14.232,326945
14.332,326985
14.432,327021
14.533,327057
14.633,327098
14.733,327136
14.833,327171
14.933,327217
15.034,327244
15.134,327279
15.234,327319
15.334,327352
15.434,327388
15.534,327431
15.635,327470
15.735,327509
15.835,327543
15.935,327576
16.035,327630
16.135,327662
16.236,327701
16.336,327747
16.436,327786
16.536,327820
16.636,327865
16.736,327905
16.837,327938
16.937,327986
17.037,328034
17.137,328074
17.237,328131
17.337,328170
17.438,328202
17.538,328256
17.638,328295
17.739,328333
17.838,328377
17.939,328418
18.039,328460
18.139,328504
18.239,328544
18.339,328591
18.439,328637
18.540,328677
18.640,328726
18.740,328762
18.840,328806
18.940,328846
19.040,328885
19.140,328931
19.241,328974
19.341,329009
19.441,329049
19.542,329095
19.641,329140
19.741,329177
19.842,329220
19.942,329260
20.042,329306
20.142,329356
20.243,329399
20.343,329444
20.443,329487
20.543,329531
20.643,329580
20.744,329612
20.844,329650
20.944,329698
21.044,329749
21.144,329788
21.245,329835
21.345,329868
21.445,329905
21.545,329954
21.645,330000
21.746,330039
21.846,330087
21.947,330124
22.047,330158
22.147,330204
22.247,330239
22.347,330275
22.447,330315
22.548,330352
22.648,330379
22.748,330439
22.848,330495
22.949,330540
23.049,330589
23.149,330634
23.249,330679
23.350,330718
23.450,330750
23.550,330794
23.650,330834
23.750,330877
23.850,330920
23.950,330951
24.051,330996
24.151,331029
24.251,331074
24.351,331111
24.451,331154
24.551,331191
24.652,331236
24.752,331283
24.852,331320
24.952,331352
25.053,331387
25.153,331424
25.253,331462
25.353,331500
25.453,331539
25.554,331580
25.654,331612
25.754,331652
25.854,331684
25.954,331725
26.054,331766
26.154,331806
26.255,331851
26.355,331885
26.455,331919
26.555,331956
26.655,331999
26.755,332028
26.856,332069
26.956,332111
27.056,332151
27.156,332184
27.256,332223
27.357,332253
27.457,332293
27.557,332336
27.657,332378
27.757,332413
27.858,332448
27.958,332489
28.058,332532
28.158,332566
28.258,332601
28.358,332637
28.459,332674
28.559,332702
28.659,332722
28.759,332728
28.859,332734
28.960,332734
29.060,332734
29.160,332734
29.260,332734
29.360,332734
29.461,332734
29.561,332734
29.661,332734
29.761,332736
29.862,332736
29.962,332736
30.062,332736
30.162,332737
30.262,332738
30.362,332741
30.463,332741
30.563,332741
30.663,332741
30.763,332741
30.863,332741
30.964,332741
31.064,332741
31.164,332741
31.264,332741
31.364,332742
31.465,332742
31.565,332742
31.665,332742
31.765,332742
31.866,332742
31.966,332742
32.066,332742
32.166,332742
32.266,332742
32.367,332742
32.467,332742
32.567,332742
32.667,332742
32.767,332742
32.868,332742
32.968,332742
33.068,332742
33.168,332742
33.268,332742
33.369,332742
33.469,332742
33.569,332742
33.669,332742
33.770,332742
33.870,332742
33.970,332743
34.070,332743
34.170,332743
34.271,332743
34.371,332744
34.471,332744
34.571,332747
34.671,332747
34.772,332747
34.872,332747
34.972,332747
