TO_VERISIGN
1462167556
time,tx_packets
0.001,134007
0.101,134007
0.201,134007
0.301,134007
0.402,134007
0.502,134007
0.602,134007
0.702,134007
0.803,134007
0.903,134007
1.003,134007
1.103,134007
1.203,134007
1.304,134007
1.404,134007
1.504,134007
1.604,134007
1.704,134007
1.805,134007
1.905,134007
2.005,134007
2.105,134007
2.205,134007
2.306,134007
2.406,134007
2.506,134007
2.606,134009
2.706,134009
2.806,134009
2.907,134009
3.007,134009
3.108,134009
3.207,134009
3.308,134009
3.407,134009
3.508,134009
3.609,134009
3.708,134009
3.809,134009
3.908,134009
4.009,134009
4.109,134009
4.209,134010
4.310,134010
4.410,134010
4.510,134010
4.611,134010
4.711,134010
4.811,134010
4.912,134010
5.012,134010
5.112,134010
5.212,134010
5.313,134011
5.413,134011
5.513,134011
5.613,134011
5.714,134011
5.814,134011
5.914,134011
6.014,134011
6.115,134011
6.215,134011
6.315,134011
6.415,134011
6.515,134011
6.616,134011
6.716,134011
6.816,134012
6.916,134012
7.016,134012
7.117,134012
7.217,134012
7.317,134012
7.418,134012
7.518,134012
7.618,134012
7.718,134012
7.818,134012
7.919,134012
8.019,134012
8.119,134012
8.220,134012
8.320,134012
8.420,134012
8.521,134012
8.621,134013
8.721,134013
8.822,134013
8.922,134013
9.022,134013
9.122,134013
9.223,134013
9.323,134013
9.423,134013
9.523,134013
9.623,134013
9.724,134013
9.824,134013
9.924,134013
10.024,134013
10.124,134013
10.225,134013
10.325,134013
10.426,134013
10.525,134013
10.626,134013
10.726,134013
10.826,134013
10.926,134013
11.027,134013
11.127,134013
11.227,134013
11.327,134016
11.427,134017
11.528,134017
11.627,134017
11.728,134017
11.828,134017
11.928,134017
12.029,134017
12.129,134017
12.229,134017
12.329,134017
12.430,134017
12.530,134017
12.630,134017
12.730,134017
12.831,134018
12.931,134018
13.031,134018
13.131,134018
13.231,134018
13.332,134018
13.432,134018
13.532,134018
13.632,134018
13.732,134018
13.833,134018
13.933,134018
14.033,134018
14.134,134018
14.234,134018
14.334,134018
14.434,134018
14.535,134018
14.635,134018
14.735,134018
14.835,134018
14.935,134018
15.036,134018
15.136,134018
15.236,134018
15.337,134018
15.436,134018
15.537,134019
15.637,134019
15.737,134019
15.837,134019
15.938,134019
16.038,134019
16.138,134019
16.238,134019
16.339,134019
16.439,134019
16.539,134019
16.639,134019
16.740,134019
16.840,134019
16.940,134020
17.041,134020
17.141,134021
17.241,134021
17.341,134021
17.442,134021
17.542,134021
17.642,134021
17.742,134021
17.842,134021
17.943,134023
18.043,134023
18.143,134023
18.244,134023
18.344,134023
18.444,134023
18.544,134023
18.644,134024
18.745,134024
18.845,134024
18.945,134024
19.045,134024
19.146,134024
19.246,134024
19.346,134024
19.446,134024
19.546,134024
19.647,134024
19.747,134025
19.848,134026
19.948,134026
20.048,134026
20.148,134027
20.248,134027
20.349,134027
20.449,134027
20.549,134027
20.650,134027
20.750,134027
20.850,134027
20.950,134027
21.050,134027
21.151,134027
21.251,134027
21.351,134028
21.452,134028
21.552,134028
21.652,134028
21.753,134028
21.853,134028
21.953,134028
22.053,134028
22.154,134029
22.254,134029
22.354,134029
22.454,134029
22.554,134029
22.655,134029
22.755,134029
22.855,134029
22.955,134030
23.056,134030
23.156,134030
23.256,134031
23.359,134031
23.457,134031
23.557,134031
23.658,134031
23.758,134031
23.858,134031
23.958,134033
24.059,134033
24.159,134033
24.259,134033
24.359,134033
24.460,134033
24.560,134033
24.660,134033
24.760,134033
24.861,134033
24.961,134033
25.061,134033
25.161,134033
25.262,134033
25.362,134033
25.462,134033
25.562,134033
25.662,134033
25.762,134034
25.862,134034
25.963,134035
26.063,134035
26.163,134035
26.264,134035
26.364,134035
26.464,134035
26.564,134035
26.664,134035
26.765,134035
26.865,134035
26.965,134035
27.065,134035
27.165,134035
27.266,134035
27.366,134035
27.466,134035
27.567,134035
27.667,134035
27.767,134035
27.867,134035
27.968,134036
28.068,134036
28.168,134036
28.268,134036
28.369,134037
28.469,134037
28.569,134037
28.669,134037
28.770,134037
28.870,134037
28.970,134037
29.070,134037
29.171,134037
29.271,134037
29.371,134037
29.471,134037
29.572,134037
29.672,134037
29.772,134037
29.873,134037
29.973,134037
30.073,134037
30.173,134038
30.273,134038
30.374,134038
30.474,134038
30.574,134038
30.674,134038
30.775,134038
30.875,134038
30.976,134038
31.076,134038
31.176,134038
31.276,134038
31.376,134038
31.477,134039
31.577,134039
31.677,134039
31.777,134039
31.878,134039
31.978,134039
32.078,134039
32.178,134039
32.279,134039
32.379,134039
32.479,134039
32.579,134039
32.680,134039
32.780,134040
32.880,134040
32.981,134040
33.081,134040
33.181,134040
33.281,134040
33.382,134040
33.482,134040
33.582,134040
33.682,134040
33.783,134040
33.883,134040
33.983,134040
34.083,134040
34.183,134040
34.284,134040
34.384,134040
34.484,134041
34.585,134041
34.685,134041
34.785,134041
