FROM_ORANGE
1462167436
time,rx_packets
0.001,85035
0.101,85035
0.201,85035
0.302,85035
0.402,85035
0.502,85035
0.602,85035
0.702,85035
0.803,85035
0.903,85035
1.003,85035
1.103,85035
1.203,85035
1.304,85035
1.404,85035
1.504,85035
1.604,85035
1.704,85035
1.805,85035
1.905,85035
2.005,85035
2.105,85035
2.205,85035
2.306,85035
2.406,85035
2.506,85036
2.606,85036
2.706,85039
2.807,85041
2.907,85045
3.007,85048
3.107,85053
3.207,85057
3.308,85061
3.408,85066
3.508,85073
3.608,85077
3.708,85082
3.809,85087
3.909,85092
4.009,85098
4.109,85101
4.209,85107
4.310,85113
4.410,85118
4.510,85121
4.610,85127
4.711,85131
4.811,85137
4.911,85142
5.011,85146
5.111,85152
5.212,85158
5.312,85161
5.412,85167
5.512,85173
5.612,85177
5.713,85182
5.813,85186
5.913,85192
6.013,85198
6.113,85201
6.214,85207
6.314,85213
6.414,85217
6.514,85221
6.614,85226
6.715,85232
6.815,85237
6.915,85242
7.015,85247
7.116,85253
7.216,85258
7.316,85261
7.416,85267
7.516,85273
7.617,85277
7.717,85280
7.817,85288
7.917,85294
8.017,85299
8.118,85304
8.218,85309
8.318,85314
8.418,85318
8.519,85323
8.619,85330
8.719,85335
8.819,85339
8.919,85344
9.020,85349
9.120,85353
9.220,85358
9.320,85363
9.420,85369
9.520,85373
9.620,85378
9.721,85384
9.821,85388
9.921,85393
10.022,85399
10.122,85403
10.222,85409
10.322,85413
10.422,85418
10.523,85424
10.623,85428
10.723,85433
10.823,85438
10.923,85443
11.024,85448
11.124,85453
11.224,85459
11.324,85463
11.425,85469
11.525,85473
11.625,85478
11.725,85484
11.825,85488
11.926,85493
12.026,85499
12.126,85503
12.226,85509
12.326,85513
12.427,85519
12.527,85524
12.627,85528
12.727,85534
12.827,85539
12.928,85542
13.028,85549
13.128,85558
13.228,85561
13.328,85563
13.429,85566
13.529,85569
13.629,85575
13.729,85583
13.829,85589
13.930,85594
14.030,85601
14.130,85606
14.230,85613
14.330,85616
14.431,85619
14.531,85623
14.631,85630
14.731,85635
14.831,85642
14.931,85647
15.031,85649
15.131,85652
15.231,85658
15.331,85664
15.431,85670
15.532,85677
15.632,85682
15.732,85685
15.832,85693
15.933,85697
16.032,85701
16.133,85705
16.233,85709
16.333,85716
16.433,85721
16.533,85724
16.633,85727
16.733,85735
16.833,85738
16.933,85741
17.033,85748
17.134,85754
17.234,85757
17.334,85763
17.434,85769
17.534,85773
17.634,85777
17.735,85783
17.835,85790
17.935,85793
18.035,85800
18.135,85805
18.235,85810
18.335,85816
18.435,85821
18.535,85824
18.635,85829
18.736,85834
18.836,85838
18.936,85844
19.036,85848
19.136,85852
19.236,85858
19.336,85867
19.437,85874
19.537,85878
19.637,85882
19.737,85888
19.837,85895
19.937,85899
20.037,85899
20.138,85904
20.238,85911
20.338,85913
20.438,85919
20.538,85924
20.638,85928
20.738,85934
20.838,85942
20.938,85948
21.038,85951
21.138,85956
21.238,85959
21.339,85962
21.439,85970
21.539,85976
21.639,85980
21.739,85984
21.840,85988
21.940,85992
22.040,85997
22.140,86004
22.240,86010
22.340,86017
22.440,86023
22.540,86028
22.640,86032
22.741,86038
22.841,86041
22.941,86045
23.041,86050
23.141,86053
23.241,86058
23.341,86063
23.441,86071
23.542,86076
23.642,86081
23.742,86084
23.842,86090
23.942,86097
24.043,86103
24.143,86108
24.243,86115
24.343,86117
24.443,86119
24.543,86125
24.644,86131
24.744,86136
24.844,86141
24.944,86145
25.044,86150
25.144,86155
25.244,86160
25.344,86166
25.444,86170
25.545,86175
25.645,86180
25.745,86185
25.845,86189
25.945,86195
26.045,86201
26.146,86204
26.246,86211
26.346,86216
26.446,86220
26.547,86225
26.647,86232
26.747,86235
26.847,86242
26.947,86246
27.048,86251
27.148,86256
27.248,86261
27.348,86266
27.448,86270
27.549,86276
27.649,86282
27.749,86285
27.849,86291
27.950,86297
28.050,86302
28.150,86305
28.250,86311
28.350,86315
28.451,86318
28.551,86321
28.651,86321
28.751,86323
28.851,86324
28.952,86324
29.052,86325
29.152,86325
29.252,86325
29.352,86325
29.453,86325
29.553,86325
29.653,86325
29.753,86325
29.853,86325
29.954,86325
30.054,86325
30.154,86325
30.254,86325
30.354,86325
30.455,86325
30.555,86325
30.655,86325
30.755,86325
30.855,86325
30.956,86325
31.056,86325
31.156,86325
31.256,86325
31.356,86325
31.457,86325
31.557,86325
31.657,86325
31.757,86325
31.858,86325
31.958,86325
32.058,86325
32.158,86325
32.258,86325
32.359,86325
32.459,86325
32.559,86325
32.659,86325
32.759,86325
32.860,86325
32.960,86325
33.060,86325
33.160,86325
33.260,86325
33.361,86325
33.461,86325
33.561,86325
33.661,86325
33.761,86325
33.862,86325
33.962,86325
34.062,86325
34.162,86325
34.262,86325
34.363,86325
34.463,86325
34.563,86325
34.663,86325
34.763,86325
34.864,86325
34.964,86325
35.064,86325
35.164,86325
35.264,86325
35.365,86325
35.465,86325
35.565,86325
35.665,86325
