FROM_ORANGE
1462167676
time,rx_packets
0.001,88262
0.101,88262
0.201,88262
0.301,88262
0.402,88262
0.502,88262
0.602,88262
0.702,88262
0.803,88262
0.903,88262
1.003,88262
1.103,88262
1.203,88262
1.304,88262
1.404,88262
1.504,88262
1.604,88262
1.704,88262
1.805,88262
1.905,88262
2.005,88262
2.105,88262
2.205,88262
2.306,88262
2.406,88262
2.506,88262
2.606,88262
2.706,88264
2.807,88270
2.907,88275
3.007,88279
3.107,88284
3.207,88289
3.307,88292
3.407,88297
3.508,88302
3.608,88306
3.708,88314
3.808,88318
3.908,88321
4.009,88329
4.109,88331
4.209,88338
4.309,88344
4.409,88349
4.510,88353
4.610,88359
4.710,88364
4.810,88369
4.910,88374
5.010,88379
5.111,88384
5.211,88389
5.311,88394
5.411,88399
5.512,88404
5.612,88409
5.712,88414
5.812,88419
5.912,88424
6.013,88429
6.113,88434
6.213,88439
6.313,88444
6.413,88449
6.514,88454
6.614,88459
6.714,88464
6.814,88469
6.915,88474
7.015,88479
7.115,88484
7.215,88489
7.315,88494
7.415,88499
7.516,88504
7.616,88509
7.716,88515
7.816,88520
7.917,88525
8.017,88530
8.117,88535
8.217,88540
8.317,88545
8.418,88550
8.518,88555
8.618,88560
8.718,88565
8.818,88570
8.919,88575
9.019,88580
9.119,88585
9.219,88590
9.320,88595
9.420,88600
9.520,88605
9.620,88610
9.720,88615
9.821,88620
9.921,88625
10.021,88630
10.121,88635
10.221,88640
10.322,88645
10.422,88650
10.522,88655
10.622,88660
10.722,88665
10.823,88670
10.923,88675
11.023,88680
11.123,88686
11.223,88691
11.324,88696
11.424,88701
11.524,88706
11.624,88711
11.724,88716
11.825,88721
11.925,88726
12.025,88731
12.125,88736
12.225,88741
12.326,88746
12.426,88751
12.526,88756
12.626,88761
12.726,88767
12.827,88772
12.927,88777
13.027,88782
13.127,88782
13.227,88785
13.327,88788
13.427,88792
13.528,88798
13.628,88802
13.728,88806
13.828,88813
13.928,88817
14.028,88819
14.129,88824
14.229,88827
14.329,88839
14.429,88840
14.529,88843
14.629,88848
14.729,88854
14.829,88858
14.929,88868
15.029,88873
15.129,88875
15.229,88881
15.329,88886
15.430,88889
15.530,88897
15.630,88900
15.730,88904
15.830,88908
15.930,88914
16.030,88919
16.130,88923
16.230,88928
16.331,88934
16.431,88940
16.531,88945
16.631,88947
16.731,88953
16.831,88957
16.932,88962
17.032,88969
17.132,88974
17.232,88978
17.332,88985
17.432,88989
17.532,88993
17.632,89000
17.732,89004
17.832,89010
17.933,89019
18.033,89022
18.133,89023
18.233,89028
18.333,89037
18.433,89040
18.533,89043
18.633,89049
18.733,89052
18.833,89058
18.933,89064
19.033,89069
19.134,89074
19.234,89077
19.334,89085
19.434,89090
19.534,89094
19.634,89098
19.734,89106
19.834,89110
19.934,89113
20.034,89118
20.135,89124
20.235,89131
20.335,89134
20.435,89140
20.535,89146
20.635,89152
20.735,89159
20.836,89164
20.936,89167
21.036,89169
21.136,89174
21.236,89180
21.336,89187
21.436,89191
21.537,89193
21.637,89202
21.737,89208
21.837,89210
21.937,89214
22.037,89222
22.138,89225
22.238,89229
22.338,89236
22.438,89242
22.538,89245
22.638,89249
22.738,89253
22.838,89260
22.938,89265
23.039,89270
23.139,89277
23.239,89280
23.339,89285
23.439,89292
23.539,89299
23.639,89306
23.739,89313
23.839,89317
23.939,89323
24.040,89330
24.140,89334
24.240,89342
24.340,89347
24.440,89351
24.541,89358
24.641,89362
24.741,89368
24.841,89373
24.941,89378
25.042,89383
25.142,89387
25.242,89393
25.342,89398
25.442,89403
25.543,89408
25.643,89413
25.743,89418
25.843,89424
25.943,89429
26.044,89434
26.144,89439
26.244,89444
26.344,89449
26.444,89454
26.545,89459
26.645,89464
26.745,89469
26.845,89474
26.945,89479
27.046,89484
27.146,89489
27.246,89494
27.346,89499
27.446,89504
27.546,89509
27.647,89514
27.747,89519
27.847,89524
27.947,89529
28.047,89534
28.147,89539
28.248,89544
28.348,89549
28.448,89550
28.548,89550
28.648,89550
28.749,89550
28.849,89550
28.949,89550
29.049,89550
29.149,89550
29.250,89550
29.350,89550
29.450,89550
29.550,89550
29.650,89550
29.751,89550
29.851,89550
29.951,89550
30.051,89550
30.152,89550
30.252,89550
30.352,89550
30.452,89550
30.552,89550
30.653,89550
30.753,89550
30.853,89550
30.953,89550
31.053,89550
31.154,89550
31.254,89550
31.354,89550
31.454,89550
31.554,89550
31.655,89550
31.755,89550
31.855,89550
31.955,89550
32.055,89550
32.156,89550
32.256,89550
32.356,89550
32.456,89550
32.556,89550
32.657,89550
32.757,89550
32.857,89550
32.957,89550
33.057,89550
33.158,89550
33.258,89550
33.358,89550
33.458,89550
33.558,89550
33.659,89550
33.759,89550
33.859,89550
33.959,89550
34.060,89550
34.160,89550
34.260,89550
34.360,89550
34.460,89550
34.561,89550
34.661,89550
34.761,89550
34.861,89550
34.961,89550
35.062,89550
35.162,89550
35.262,89550
35.362,89550
35.462,89550
35.563,89550
35.663,89550
