TO_ORANGE
1462167676
time,tx_packets
0.001,88195
0.101,88195
0.201,88195
0.301,88195
0.402,88195
0.502,88195
0.602,88195
0.702,88195
0.803,88195
0.903,88195
1.003,88195
1.103,88195
1.203,88195
1.304,88195
1.404,88195
1.504,88195
1.604,88195
1.704,88195
1.805,88195
1.905,88195
2.005,88195
2.105,88195
2.205,88195
2.306,88195
2.406,88195
2.506,88195
2.606,88195
2.706,88198
2.806,88203
2.907,88208
3.007,88212
3.107,88217
3.207,88222
3.307,88226
3.407,88230
3.507,88235
3.608,88240
3.708,88247
3.808,88251
3.908,88254
4.009,88262
4.109,88264
4.209,88271
4.309,88277
4.409,88282
4.510,88286
4.610,88292
4.710,88297
4.810,88302
4.910,88307
5.010,88312
5.111,88317
5.211,88322
5.311,88327
5.411,88332
5.512,88337
5.612,88342
5.712,88347
5.812,88352
5.912,88357
6.013,88362
6.113,88367
6.213,88372
6.313,88377
6.413,88382
6.514,88387
6.614,88392
6.714,88397
6.814,88402
6.914,88407
7.015,88412
7.115,88417
7.215,88422
7.315,88427
7.415,88432
7.516,88437
7.616,88443
7.716,88449
7.816,88454
7.917,88459
8.017,88464
8.117,88469
8.217,88474
8.317,88479
8.418,88484
8.518,88489
8.618,88494
8.718,88499
8.819,88504
8.919,88509
9.019,88514
9.119,88519
9.219,88524
9.320,88529
9.420,88534
9.520,88539
9.620,88544
9.720,88549
9.821,88554
9.921,88559
10.021,88564
10.121,88569
10.221,88574
10.322,88579
10.422,88584
10.522,88589
10.622,88594
10.722,88599
10.823,88604
10.923,88609
11.023,88614
11.123,88619
11.223,88624
11.323,88629
11.424,88634
11.524,88639
11.624,88644
11.724,88649
11.825,88654
11.925,88659
12.025,88664
12.125,88669
12.225,88674
12.326,88679
12.426,88684
12.526,88689
12.626,88694
12.726,88700
12.827,88705
12.927,88710
13.027,88715
13.127,88715
13.227,88717
13.327,88720
13.428,88724
13.528,88730
13.628,88734
13.728,88738
13.828,88745
13.928,88749
14.028,88751
14.129,88756
14.229,88759
14.329,88771
14.429,88772
14.529,88775
14.629,88780
14.729,88786
14.829,88790
14.929,88801
15.029,88805
15.129,88808
15.229,88813
15.329,88818
15.430,88821
15.530,88829
15.630,88832
15.730,88836
15.830,88840
15.930,88846
16.030,88851
16.130,88855
16.230,88860
16.331,88866
16.431,88872
16.531,88877
16.631,88879
16.731,88885
16.832,88890
16.932,88894
17.032,88902
17.132,88906
17.232,88910
17.332,88917
17.433,88921
17.533,88925
17.633,88932
17.733,88936
17.833,88942
17.933,88951
18.033,88954
18.134,88955
18.234,88960
18.334,88969
18.434,88972
18.534,88976
18.634,88981
18.734,88984
18.834,88990
18.934,88996
19.034,89001
19.134,89006
19.234,89009
19.335,89017
19.435,89022
19.535,89027
19.635,89030
19.735,89038
19.835,89042
19.935,89046
20.035,89050
20.135,89056
20.236,89063
20.336,89066
20.436,89072
20.536,89078
20.636,89084
20.736,89091
20.837,89096
20.937,89099
21.037,89101
21.137,89106
21.237,89112
21.337,89119
21.438,89123
21.538,89125
21.638,89134
21.738,89140
21.838,89142
21.939,89147
22.039,89154
22.139,89158
22.239,89161
22.339,89168
22.439,89174
22.540,89177
22.640,89181
22.740,89187
22.840,89192
22.940,89197
23.040,89202
23.140,89209
23.240,89212
23.340,89219
23.441,89225
23.541,89231
23.641,89238
23.741,89246
23.841,89249
23.941,89256
24.041,89264
24.142,89267
24.242,89275
24.342,89279
24.442,89284
24.543,89291
24.643,89295
24.743,89301
24.843,89306
24.943,89311
25.043,89316
25.144,89321
25.244,89326
25.344,89331
25.444,89336
25.544,89341
25.645,89346
25.745,89351
25.845,89356
25.945,89361
26.046,89366
26.146,89371
26.246,89376
26.346,89381
26.446,89386
26.547,89391
26.647,89396
26.747,89401
26.847,89406
26.947,89411
27.048,89416
27.148,89421
27.248,89426
27.348,89431
27.448,89436
27.548,89441
27.648,89446
27.749,89451
27.849,89456
27.949,89461
28.049,89466
28.149,89471
28.250,89476
28.350,89481
28.450,89482
28.550,89482
28.650,89482
28.751,89482
28.851,89482
28.951,89482
29.051,89482
29.152,89482
29.252,89482
29.352,89482
29.452,89482
29.552,89482
29.653,89482
29.753,89482
29.853,89482
29.953,89482
30.053,89482
30.154,89482
30.254,89482
30.354,89482
30.454,89482
30.554,89482
30.655,89482
30.755,89482
30.855,89482
30.955,89482
31.055,89482
31.156,89482
31.256,89482
31.356,89482
31.456,89482
31.556,89482
31.657,89482
31.757,89482
31.857,89482
31.957,89482
32.057,89482
32.158,89482
32.258,89482
32.358,89482
32.458,89482
32.558,89482
32.659,89482
32.759,89482
32.859,89482
32.959,89482
33.059,89482
33.160,89482
33.260,89482
33.360,89482
33.460,89482
33.560,89482
33.661,89482
33.761,89482
33.861,89482
33.961,89482
34.062,89482
34.162,89482
34.262,89482
34.362,89482
34.462,89482
34.563,89482
34.663,89482
34.763,89482
34.863,89482
34.963,89482
35.064,89482
35.164,89482
35.264,89482
35.364,89482
35.464,89482
35.564,89482
35.665,89482
