TO_UM
1462167676
time,tx_packets
0.001,353497
0.101,353497
0.201,353497
0.302,353497
0.401,353497
0.502,353497
0.602,353498
0.702,353498
0.802,353498
0.902,353498
1.003,353498
1.103,353498
1.204,353499
1.304,353499
1.404,353501
1.504,353501
1.604,353501
1.705,353501
1.805,353501
1.905,353502
2.005,353502
2.106,353502
2.206,353502
2.306,353502
2.406,353502
2.507,353504
2.607,353512
2.707,353528
2.807,353555
2.907,353589
3.007,353618
3.107,353642
3.208,353673
3.308,353701
3.408,353724
3.508,353750
3.608,353766
3.708,353788
3.809,353804
3.909,353822
4.009,353839
4.109,353856
4.209,353874
4.310,353892
4.410,353910
4.510,353928
4.610,353951
4.710,353978
4.811,353997
4.911,354019
5.011,354037
5.111,354056
5.211,354072
5.312,354090
5.412,354105
5.512,354126
5.612,354141
5.713,354172
5.813,354198
5.913,354220
6.013,354240
6.113,354261
6.213,354280
6.314,354299
6.414,354315
6.514,354333
6.614,354352
6.714,354371
6.814,354399
6.915,354420
7.015,354438
7.115,354459
7.215,354476
7.315,354496
7.416,354512
7.516,354533
7.616,354552
7.716,354570
7.816,354587
7.916,354610
8.017,354633
8.117,354654
8.217,354676
8.317,354694
8.417,354713
8.517,354732
8.618,354752
8.718,354768
8.818,354789
8.918,354807
9.019,354836
9.118,354853
9.218,354875
9.318,354899
9.419,354919
9.519,354936
9.619,354955
9.719,354973
9.819,354991
9.919,355010
10.020,355032
10.120,355060
10.220,355080
10.320,355101
10.420,355118
10.520,355138
10.621,355157
10.721,355175
10.821,355192
10.921,355214
11.021,355236
11.121,355257
11.222,355283
11.322,355301
11.422,355321
11.522,355340
11.623,355358
11.723,355374
11.823,355395
11.923,355415
12.023,355434
12.123,355450
12.224,355472
12.324,355495
12.424,355519
12.524,355538
12.624,355557
12.724,355574
12.825,355593
12.925,355615
13.025,355636
13.125,355664
13.225,355692
13.326,355730
13.426,355781
13.526,355814
13.626,355847
13.726,355880
13.826,355913
13.926,355963
14.027,355984
14.127,356002
14.227,356019
14.327,356049
14.427,356079
14.528,356104
14.628,356119
14.728,356155
14.828,356185
14.929,356205
15.028,356225
15.129,356241
15.229,356261
15.329,356282
15.429,356296
15.530,356338
15.630,356358
15.730,356373
15.830,356394
15.931,356424
16.031,356445
16.131,356462
16.231,356479
16.332,356498
16.432,356532
16.532,356562
16.632,356575
16.733,356603
16.833,356633
16.933,356649
17.033,356669
17.133,356696
17.233,356712
17.334,356732
17.434,356748
17.534,356769
17.634,356793
17.734,356826
17.835,356842
17.935,356872
18.035,356891
18.135,356906
18.235,356925
18.335,356954
18.435,356975
18.535,356997
18.636,357013
18.736,357035
18.836,357051
18.936,357075
19.037,357099
19.136,357112
19.236,357125
19.336,357149
19.437,357177
19.537,357207
19.637,357231
19.737,357258
19.837,357278
19.937,357289
20.041,357311
20.137,357330
20.237,357353
20.338,357374
20.438,357396
20.538,357425
20.638,357451
20.738,357476
20.838,357491
20.938,357510
21.039,357527
21.139,357553
21.239,357578
21.339,357609
21.439,357625
21.540,357641
21.639,357664
21.740,357672
21.840,357701
21.940,357725
22.040,357750
22.140,357768
22.240,357787
22.341,357816
22.441,357836
22.541,357847
22.641,357862
22.741,357898
22.841,357925
22.942,357949
23.042,357982
23.142,357995
23.242,358012
23.342,358034
23.442,358053
23.543,358084
23.643,358103
23.743,358130
23.843,358149
23.943,358172
24.043,358195
24.143,358216
24.244,358247
24.344,358258
24.444,358290
24.545,358329
24.644,358359
24.745,358389
24.845,358418
24.945,358451
25.045,358485
25.146,358519
25.246,358553
25.346,358576
25.447,358613
25.547,358644
25.646,358664
25.747,358687
25.847,358706
25.948,358725
26.048,358741
26.148,358760
26.249,358777
26.349,358795
26.449,358812
26.549,358837
26.649,358854
26.749,358883
26.849,358902
26.950,358921
27.050,358940
27.150,358959
27.251,358975
27.351,358998
27.451,359016
27.551,359034
27.651,359052
27.751,359074
27.852,359101
27.952,359125
28.052,359147
28.153,359168
28.253,359192
28.353,359212
28.453,359226
28.553,359231
28.653,359233
28.754,359233
28.854,359233
28.954,359233
29.054,359233
29.154,359233
29.254,359235
29.355,359235
29.454,359235
29.555,359235
29.655,359236
29.755,359236
29.856,359236
29.955,359236
30.055,359236
30.156,359236
30.256,359236
30.356,359236
30.456,359236
30.556,359236
30.657,359236
30.757,359236
30.857,359236
30.958,359236
31.058,359237
31.157,359237
31.259,359237
31.359,359237
31.458,359237
31.559,359237
31.659,359237
31.760,359237
31.859,359237
31.960,359238
32.061,359238
32.161,359238
32.261,359238
32.361,359238
32.461,359245
32.562,359245
32.663,359245
32.763,359245
32.862,359245
32.963,359245
33.063,359245
33.163,359245
33.264,359245
33.364,359246
33.463,359246
33.564,359246
33.665,359246
33.765,359246
33.864,359246
33.966,359246
34.066,359246
34.166,359246
34.266,359247
34.366,359247
34.466,359248
34.567,359248
34.667,359248
34.767,359248
34.867,359248
