TO_UIUC
1462167726
time,tx_packets
0.005,146821
0.101,146821
0.201,146821
0.301,146821
0.402,146821
0.502,146821
0.602,146821
0.702,146821
0.803,146821
0.903,146821
1.003,146821
1.103,146821
1.203,146821
1.304,146821
1.404,146821
1.504,146821
1.604,146821
1.704,146821
1.805,146821
1.905,146821
2.005,146821
2.105,146821
2.206,146821
2.306,146821
2.406,146821
2.506,146821
2.606,146827
2.707,146839
2.807,146862
2.907,146887
3.007,146910
3.107,146934
3.207,146957
3.307,146979
3.407,146991
3.508,147000
3.608,147009
3.708,147016
3.808,147023
3.908,147031
4.009,147041
4.109,147051
4.209,147062
4.309,147079
4.410,147094
4.510,147105
4.610,147113
4.710,147122
4.810,147134
4.910,147145
5.011,147150
5.111,147159
5.211,147166
5.311,147177
5.411,147190
5.512,147205
5.612,147213
5.712,147220
5.812,147235
5.912,147242
6.012,147256
6.113,147262
6.213,147270
6.313,147275
6.414,147284
6.513,147295
6.614,147303
6.714,147310
6.815,147317
6.915,147325
7.016,147331
7.118,147342
7.216,147351
7.316,147359
7.418,147373
7.518,147382
7.617,147389
7.719,147397
7.818,147404
7.919,147407
8.019,147416
8.120,147424
8.219,147435
8.320,147453
8.419,147462
8.519,147470
8.620,147478
8.720,147483
8.822,147490
8.921,147494
9.021,147501
9.121,147506
9.224,147516
9.323,147526
9.423,147544
9.525,147553
9.624,147564
9.726,147569
9.826,147578
9.924,147584
10.025,147589
10.127,147594
10.226,147604
10.328,147612
10.427,147622
10.526,147632
10.628,147640
10.727,147650
10.828,147655
10.929,147665
11.028,147675
11.128,147687
11.228,147698
11.330,147709
11.431,147715
11.530,147723
11.630,147733
11.730,147744
11.832,147751
11.933,147767
12.032,147782
12.133,147794
12.232,147797
12.332,147800
12.433,147803
12.533,147812
12.633,147827
12.734,147842
12.834,147859
12.936,147869
13.035,147887
13.135,147920
13.235,147952
13.336,147974
13.436,147992
13.536,148013
13.637,148033
13.737,148054
13.837,148077
13.937,148096
14.038,148123
14.139,148142
14.238,148163
14.338,148185
14.440,148206
14.539,148226
14.639,148243
14.739,148257
14.839,148285
14.939,148309
15.040,148324
15.140,148339
15.240,148363
15.341,148384
15.441,148409
15.541,148426
15.641,148438
15.741,148456
15.842,148489
15.942,148503
16.042,148526
16.142,148547
16.242,148563
16.343,148578
16.443,148603
16.543,148613
16.643,148638
16.744,148658
16.844,148680
16.944,148710
17.044,148731
17.144,148745
17.245,148767
17.345,148789
17.445,148816
17.545,148837
17.646,148854
17.746,148872
17.846,148894
18.947,149110
19.047,149130
19.147,149152
19.248,149175
19.348,149189
19.448,149213
19.548,149235
19.649,149252
19.749,149266
19.849,149292
19.949,149308
20.049,149325
20.149,149346
20.250,149369
20.350,149387
20.450,149414
20.550,149433
20.650,149453
20.750,149469
20.851,149490
20.951,149516
21.051,149536
21.151,149556
21.251,149581
21.352,149601
21.452,149623
21.552,149650
21.652,149675
21.752,149704
21.852,149723
21.953,149743
22.053,149772
22.153,149785
22.253,149807
22.353,149828
22.453,149857
22.554,149873
22.654,149895
22.754,149917
22.854,149935
22.954,149959
23.055,149978
23.155,149999
23.255,150015
23.355,150041
23.455,150062
23.555,150085
23.656,150110
23.756,150129
23.856,150145
23.956,150165
24.056,150178
24.157,150203
24.257,150223
24.357,150243
24.457,150263
24.557,150282
24.657,150307
24.757,150330
24.858,150353
24.958,150381
25.058,150404
25.158,150426
25.259,150450
25.359,150469
25.459,150490
25.559,150511
25.659,150533
25.759,150563
25.859,150588
25.960,150607
26.060,150622
26.160,150636
26.260,150648
26.360,150660
26.460,150670
26.561,150677
26.661,150682
26.761,150687
26.861,150693
26.961,150702
27.061,150710
27.162,150720
27.262,150736
27.362,150746
27.462,150755
27.562,150766
27.663,150774
27.763,150780
27.863,150792
27.963,150809
28.063,150827
28.163,150843
28.264,150848
28.364,150859
28.464,150864
28.564,150867
28.665,150871
28.764,150872
28.865,150873
28.965,150873
29.065,150873
29.165,150873
29.265,150873
29.366,150873
29.466,150873
29.566,150873
29.666,150873
29.766,150874
29.867,150875
29.967,150876
30.067,150877
30.167,150877
30.268,150877
30.368,150878
30.468,150879
30.568,150879
30.668,150879
30.769,150879
30.869,150879
30.970,150879
31.070,150879
31.170,150879
31.270,150880
31.370,150880
31.470,150880
31.570,150880
31.671,150880
31.771,150880
31.871,150880
31.971,150880
32.071,150880
32.172,150880
32.272,150880
32.372,150880
32.472,150880
32.573,150880
32.673,150880
32.773,150880
32.873,150880
32.974,150880
33.074,150880
33.174,150880
33.274,150881
33.375,150881
33.475,150881
33.575,150881
33.675,150881
33.776,150881
33.876,150881
33.976,150881
34.076,150881
34.177,150883
34.277,150884
34.377,150884
34.477,150884
34.578,150884
34.678,150884
34.778,150884
34.879,150884
