TO_KISTI
1462167775
time,tx_packets
0.001,28291
0.101,28291
0.201,28291
0.301,28291
0.402,28291
0.502,28291
0.602,28291
0.702,28291
0.802,28291
0.903,28291
1.003,28291
1.103,28291
1.203,28291
1.304,28291
1.404,28291
1.504,28291
1.604,28291
1.704,28291
1.805,28291
1.905,28291
2.005,28291
2.105,28291
2.205,28291
2.306,28291
2.406,28291
2.506,28291
2.606,28291
2.706,28292
2.807,28298
2.907,28302
3.007,28305
3.107,28309
3.207,28315
3.307,28318
3.407,28321
3.507,28324
3.608,28327
3.708,28329
3.808,28333
3.908,28334
4.008,28335
4.108,28335
4.208,28335
4.308,28337
4.408,28340
4.509,28345
4.609,28346
4.709,28347
4.809,28347
4.909,28348
5.009,28348
5.109,28348
5.209,28348
5.310,28349
5.410,28350
5.510,28350
5.610,28351
5.710,28353
5.810,28353
5.910,28354
6.011,28357
6.111,28358
6.211,28358
6.311,28359
6.412,28361
6.512,28362
6.612,28363
6.712,28363
6.812,28364
6.913,28368
7.013,28371
7.113,28373
7.213,28373
7.313,28374
7.414,28375
7.514,28375
7.614,28376
7.714,28378
7.815,28378
7.915,28379
8.015,28379
8.115,28382
8.215,28386
8.316,28388
8.416,28392
8.516,28392
8.616,28392
8.716,28392
8.817,28392
8.917,28392
9.017,28397
9.117,28398
9.218,28400
9.318,28404
9.418,28405
9.518,28405
9.618,28405
9.718,28407
9.819,28411
9.919,28411
10.019,28413
10.119,28417
10.220,28419
10.320,28421
10.420,28425
10.520,28426
10.620,28426
10.721,28426
10.821,28428
10.921,28431
11.021,28431
11.121,28433
11.222,28434
11.322,28434
11.422,28434
11.522,28435
11.623,28437
11.723,28437
11.823,28439
11.923,28439
12.023,28439
12.123,28442
12.224,28445
12.324,28446
12.424,28448
12.524,28449
12.625,28449
12.725,28449
12.825,28451
12.925,28458
13.025,28461
13.125,28469
13.226,28483
13.326,28491
13.426,28495
13.526,28498
13.626,28504
13.727,28508
13.827,28512
13.927,28518
14.027,28524
14.127,28528
14.227,28534
14.327,28539
14.428,28543
14.528,28548
14.628,28552
14.728,28560
14.828,28565
14.928,28572
15.028,28575
15.129,28581
15.229,28584
15.329,28585
15.429,28593
15.529,28598
15.629,28604
15.730,28608
15.830,28613
15.930,28619
16.030,28623
16.130,28628
16.230,28634
16.331,28638
16.431,28642
16.531,28645
16.631,28652
16.731,28658
16.831,28665
16.932,28667
17.032,28672
17.132,28676
17.232,28682
17.332,28687
17.432,28692
17.533,28698
17.633,28701
17.733,28710
17.833,28715
17.933,28718
18.033,28722
18.133,28730
18.233,28734
18.334,28738
18.434,28745
18.534,28749
18.634,28755
18.734,28760
18.834,28764
18.934,28769
19.034,28774
19.134,28778
19.234,28785
19.334,28787
19.435,28793
19.535,28797
19.635,28802
19.735,28807
19.835,28813
19.935,28819
20.035,28821
20.135,28830
20.236,28833
20.336,28840
20.436,28841
20.536,28848
20.636,28854
20.736,28859
20.836,28865
20.936,28870
21.037,28872
21.137,28878
21.237,28883
21.337,28889
21.437,28893
21.538,28897
21.638,28904
21.738,28908
21.838,28912
21.938,28917
22.038,28923
22.139,28930
22.239,28936
22.339,28939
22.439,28944
22.539,28951
22.640,28954
22.740,28961
22.840,28964
22.940,28967
23.040,28973
23.141,28981
23.241,28984
23.341,28987
23.441,28992
23.541,28996
23.641,29002
23.741,29008
23.842,29012
23.942,29016
24.042,29019
24.142,29028
24.242,29033
24.343,29035
24.443,29041
24.543,29045
24.643,29051
24.743,29056
24.843,29058
24.943,29064
25.044,29069
25.144,29073
25.244,29078
25.344,29081
25.444,29085
25.544,29090
25.644,29091
25.744,29091
25.845,29093
25.945,29093
26.045,29093
26.145,29093
26.245,29093
26.346,29093
26.446,29095
26.546,29095
26.646,29096
26.746,29098
26.847,29101
26.947,29103
27.047,29103
27.147,29104
27.247,29107
27.348,29107
27.448,29108
27.548,29109
27.648,29112
27.748,29113
27.849,29115
27.949,29119
28.049,29122
28.149,29124
28.249,29125
28.350,29125
28.450,29125
28.550,29125
28.650,29125
28.751,29125
28.851,29125
28.951,29125
29.051,29125
29.151,29125
29.252,29125
29.352,29125
29.452,29125
29.552,29125
29.652,29125
29.753,29125
29.853,29125
29.953,29125
30.053,29125
30.153,29125
30.254,29125
30.354,29125
30.454,29125
30.554,29125
30.654,29125
30.755,29125
30.855,29125
30.955,29125
31.055,29125
31.155,29125
31.256,29125
31.356,29125
31.456,29125
31.556,29125
31.656,29125
31.757,29125
31.857,29125
31.957,29125
32.057,29125
32.157,29125
32.258,29125
32.358,29125
32.458,29125
32.558,29125
32.658,29125
32.759,29125
32.859,29125
32.959,29125
33.059,29125
33.159,29125
33.260,29125
33.360,29125
33.460,29125
33.560,29125
33.660,29125
33.761,29125
33.861,29125
33.961,29125
34.061,29125
34.161,29125
34.262,29125
34.362,29125
34.462,29125
34.562,29125
34.662,29125
34.763,29125
34.863,29125
34.963,29125
35.063,29125
35.163,29125
35.264,29125
35.364,29125
35.464,29125
35.564,29125
35.664,29125
35.765,29125
35.865,29125
35.965,29125
36.065,29125
36.165,29125
36.266,29125
