TO_VERISIGN
1462167775
time,tx_packets
0.001,139431
0.101,139431
0.201,139431
0.301,139431
0.402,139431
0.502,139431
0.602,139431
0.702,139431
0.802,139431
0.903,139431
1.003,139431
1.103,139431
1.203,139431
1.303,139431
1.404,139431
1.504,139431
1.604,139432
1.704,139432
1.804,139432
1.905,139432
2.005,139432
2.105,139432
2.206,139432
2.305,139432
2.406,139432
2.506,139432
2.606,139438
2.706,139455
2.806,139472
2.907,139493
3.007,139510
3.107,139532
3.207,139546
3.307,139560
3.408,139574
3.508,139586
3.608,139596
3.708,139602
3.809,139608
3.909,139614
4.009,139619
4.109,139625
4.209,139636
4.310,139648
4.410,139657
4.510,139660
4.610,139665
4.711,139667
4.811,139671
4.911,139675
5.011,139682
5.112,139684
5.212,139694
5.312,139700
5.412,139702
5.512,139710
5.613,139718
5.713,139725
5.813,139737
5.913,139749
6.013,139755
6.113,139760
6.213,139765
6.313,139771
6.414,139777
6.514,139780
6.614,139788
6.714,139804
6.814,139811
6.914,139817
7.015,139823
7.115,139828
7.215,139832
7.315,139838
7.415,139842
7.515,139850
7.616,139856
7.716,139861
7.816,139872
7.916,139883
8.016,139885
8.116,139894
8.217,139899
8.317,139906
8.417,139911
8.517,139916
8.617,139922
8.717,139930
8.817,139941
8.918,139950
9.018,139956
9.118,139965
9.218,139971
9.318,139975
9.419,139980
9.519,139985
9.619,139991
9.720,139996
9.820,140001
9.920,140016
10.020,140025
10.120,140031
10.221,140039
10.321,140046
10.421,140051
10.521,140055
10.622,140060
10.722,140069
10.822,140080
10.922,140088
11.022,140100
11.122,140105
11.223,140112
11.323,140116
11.423,140121
11.523,140128
11.623,140136
11.724,140144
11.824,140151
11.924,140157
12.024,140167
12.124,140179
12.225,140185
12.325,140191
12.425,140197
12.526,140202
12.626,140206
12.726,140211
12.826,140222
12.927,140230
13.027,140249
13.127,140272
13.227,140295
13.327,140309
13.427,140321
13.527,140340
13.628,140350
13.728,140365
13.828,140374
13.928,140386
14.028,140396
14.129,140408
14.229,140420
14.329,140429
14.429,140438
14.529,140449
14.629,140458
14.729,140471
14.829,140483
14.930,140494
15.030,140508
15.130,140514
15.230,140528
15.330,140534
15.430,140542
15.530,140561
15.631,140575
15.731,140583
15.832,140598
15.931,140616
16.032,140634
16.132,140642
16.232,140651
16.332,140664
16.432,140672
16.532,140680
16.633,140694
16.733,140712
16.833,140724
16.934,140735
17.034,140745
17.134,140756
17.235,140768
17.335,140778
17.435,140791
17.535,140803
17.635,140814
17.735,140826
17.835,140837
17.935,140845
18.036,140852
18.136,140865
18.236,140873
18.336,140879
18.436,140894
18.536,140907
18.636,140917
18.737,140933
18.837,140941
18.937,140953
19.037,140963
19.137,140976
19.238,140992
19.338,141006
19.438,141018
19.538,141029
19.638,141044
19.738,141058
19.838,141072
19.939,141093
20.039,141108
20.139,141120
20.239,141135
20.339,141140
20.439,141147
20.540,141163
20.640,141175
20.740,141185
20.840,141204
20.940,141215
21.040,141230
21.141,141244
21.241,141257
21.341,141280
21.441,141290
21.541,141302
21.642,141314
21.742,141333
21.842,141345
21.942,141356
22.043,141366
22.143,141376
22.243,141391
22.343,141403
22.443,141412
22.544,141422
22.644,141431
22.744,141443
22.844,141454
22.945,141457
23.045,141469
23.145,141484
23.245,141498
23.345,141508
23.446,141515
23.546,141527
23.646,141534
23.746,141547
23.846,141562
23.946,141571
24.047,141583
24.147,141594
24.247,141611
24.347,141618
24.448,141628
24.548,141641
24.649,141656
24.748,141672
24.849,141686
24.949,141705
25.049,141726
25.149,141743
25.250,141752
25.349,141770
25.450,141783
25.550,141792
25.650,141798
25.751,141805
25.851,141813
25.951,141818
26.052,141824
26.152,141829
26.252,141835
26.352,141840
26.452,141846
26.552,141852
26.652,141865
26.753,141875
26.853,141880
26.953,141885
27.054,141889
27.154,141895
27.254,141901
27.354,141907
27.454,141913
27.554,141918
27.655,141925
27.755,141932
27.855,141947
27.956,141954
28.056,141961
28.156,141967
28.256,141972
28.356,141977
28.456,141981
28.557,141985
28.657,141985
28.757,141985
28.858,141985
28.958,141986
29.058,141986
29.158,141986
29.259,141986
29.359,141987
29.459,141987
29.560,141987
29.660,141987
29.760,141987
29.860,141987
29.960,141987
30.061,141987
30.161,141987
30.261,141987
30.361,141987
30.462,141987
30.562,141987
30.662,141987
30.762,141987
30.862,141987
30.962,141987
31.063,141987
31.163,141987
31.263,141987
31.363,141987
31.463,141987
31.564,141987
31.664,141988
31.764,141988
31.864,141988
31.964,141988
32.065,141988
32.165,141988
32.265,141988
32.365,141989
32.465,141989
32.565,141989
32.666,141989
32.766,141989
32.867,141989
32.966,141989
33.067,141990
33.167,141990
33.267,141990
33.368,141990
33.468,141990
33.568,141991
33.669,141991
33.768,141991
33.869,141991
33.969,141991
34.069,141991
34.170,141991
34.270,141991
34.370,141991
34.470,141991
34.570,141991
34.671,141991
34.771,141991
34.872,141991
