TO_KISTI
1462167945
time,tx_packets
0.001,31685
0.101,31685
0.201,31685
0.301,31685
0.402,31685
0.502,31685
0.602,31685
0.702,31685
0.802,31685
0.903,31685
1.003,31685
1.103,31685
1.203,31685
1.303,31685
1.404,31685
1.504,31685
1.604,31685
1.704,31685
1.804,31685
1.905,31685
2.005,31685
2.105,31685
2.205,31685
2.305,31685
2.406,31685
2.506,31685
2.606,31685
2.706,31688
2.806,31692
2.907,31696
3.007,31701
3.107,31705
3.207,31710
3.307,31715
3.407,31719
3.508,31722
3.608,31728
3.708,31730
3.808,31735
3.908,31742
4.008,31745
4.108,31749
4.209,31754
4.309,31759
4.409,31764
4.509,31769
4.609,31772
4.709,31777
4.809,31782
4.909,31788
5.009,31792
5.109,31798
5.209,31802
5.310,31807
5.410,31813
5.510,31818
5.610,31823
5.710,31828
5.810,31833
5.910,31837
6.010,31843
6.110,31848
6.211,31853
6.311,31858
6.411,31864
6.511,31868
6.611,31873
6.711,31877
6.811,31883
6.911,31887
7.011,31893
7.111,31897
7.211,31903
7.311,31908
7.412,31912
7.511,31917
7.612,31922
7.712,31930
7.812,31933
7.912,31938
8.012,31943
8.112,31948
8.212,31953
8.312,31959
8.412,31962
8.512,31968
8.612,31974
8.712,31979
8.812,31984
8.912,31989
9.012,31993
9.112,31998
9.213,32003
9.313,32008
9.413,32013
9.513,32018
9.613,32025
9.713,32027
9.813,32035
9.914,32038
10.014,32043
10.114,32049
10.214,32054
10.314,32059
10.414,32064
10.514,32069
10.614,32075
10.714,32079
10.814,32084
10.914,32089
11.014,32094
11.114,32099
11.214,32105
11.315,32108
11.415,32115
11.515,32119
11.615,32124
11.715,32129
11.815,32134
11.915,32139
12.015,32144
12.115,32149
12.215,32153
12.315,32160
12.415,32165
12.515,32169
12.616,32174
12.716,32180
12.816,32184
12.916,32189
13.016,32198
13.116,32207
13.216,32210
13.316,32214
13.416,32217
13.516,32225
13.616,32234
13.716,32235
13.816,32240
13.916,32246
14.016,32248
14.116,32255
14.217,32260
14.316,32264
14.417,32271
14.517,32278
14.617,32281
14.717,32287
14.817,32291
14.917,32294
15.017,32302
15.117,32307
15.218,32308
15.318,32314
15.418,32322
15.518,32327
15.618,32331
15.718,32337
15.818,32342
15.918,32346
16.018,32351
16.118,32355
16.218,32361
16.318,32367
16.419,32371
16.518,32376
16.618,32382
16.719,32385
16.819,32390
16.919,32397
17.019,32398
17.119,32406
17.219,32412
17.320,32417
17.419,32420
17.520,32426
17.620,32432
17.720,32436
17.820,32442
17.920,32447
18.020,32452
18.120,32456
18.220,32462
18.320,32467
18.420,32472
18.520,32477
18.620,32482
18.720,32487
18.820,32492
18.920,32497
19.020,32502
19.120,32507
19.220,32512
19.320,32517
19.420,32522
19.521,32527
19.621,32532
19.721,32537
19.821,32542
19.921,32547
20.021,32552
20.121,32557
20.221,32562
20.321,32567
20.421,32573
20.521,32577
20.621,32582
20.721,32587
20.821,32593
20.921,32598
21.022,32603
21.122,32608
21.222,32613
21.322,32618
21.422,32623
21.522,32628
21.622,32633
21.722,32638
21.823,32643
21.923,32648
22.022,32653
22.122,32658
22.222,32663
22.322,32667
22.423,32673
22.523,32678
22.623,32683
22.723,32688
22.823,32693
22.923,32698
23.023,32703
23.123,32708
23.223,32713
23.323,32718
23.424,32723
23.524,32728
23.624,32733
23.724,32738
23.824,32743
23.924,32748
24.024,32753
24.124,32758
24.224,32763
24.325,32768
24.425,32773
24.525,32778
24.625,32783
24.725,32788
24.825,32793
24.925,32798
25.025,32803
25.125,32808
25.225,32813
25.325,32818
25.426,32823
25.526,32828
25.626,32833
25.726,32838
25.826,32843
25.926,32848
26.026,32853
26.126,32858
26.226,32863
26.327,32868
26.427,32873
26.527,32878
26.627,32883
26.727,32888
26.827,32893
26.927,32898
27.027,32903
27.127,32908
27.227,32913
27.327,32917
27.428,32923
27.528,32928
27.628,32933
27.728,32938
27.828,32943
27.928,32948
28.028,32953
28.128,32958
28.228,32963
28.328,32968
28.428,32973
28.528,32974
28.628,32974
28.728,32974
28.829,32974
28.929,32974
29.029,32974
29.129,32974
29.229,32974
29.329,32974
29.430,32974
29.529,32974
29.630,32974
29.730,32974
29.830,32974
29.930,32974
30.030,32974
30.130,32974
30.230,32974
30.330,32974
30.431,32974
30.531,32974
30.631,32974
30.731,32974
30.831,32974
30.931,32974
31.031,32974
31.131,32974
31.231,32974
31.331,32974
31.432,32974
31.532,32974
31.632,32974
31.732,32974
31.832,32974
31.932,32974
32.032,32974
32.133,32974
32.233,32974
32.333,32974
32.433,32974
32.533,32974
32.633,32974
32.734,32974
32.834,32974
32.934,32974
33.034,32974
33.134,32974
33.234,32974
33.334,32974
33.435,32974
33.535,32974
33.635,32974
33.735,32974
33.835,32974
33.935,32974
34.035,32974
34.135,32974
34.236,32974
34.336,32974
34.436,32974
34.536,32974
34.636,32974
34.736,32974
34.836,32974
34.937,32974
35.037,32974
35.137,32974
35.237,32974
35.337,32974
35.437,32974
35.537,32974
35.638,32974
35.738,32974
35.838,32974
35.938,32974
36.038,32974
36.138,32974
36.238,32974
36.339,32974
