TO_UIUC
1462167945
time,tx_packets
0.001,166023
0.101,166023
0.201,166023
0.301,166024
0.402,166025
0.502,166025
0.602,166025
0.702,166025
0.802,166025
0.903,166025
1.003,166025
1.103,166025
1.203,166025
1.304,166025
1.404,166026
1.504,166026
1.604,166026
1.704,166026
1.805,166026
1.905,166026
2.005,166026
2.105,166026
2.205,166026
2.306,166026
2.406,166026
2.506,166026
2.606,166032
2.706,166040
2.807,166057
2.907,166075
3.007,166094
3.107,166118
3.207,166136
3.307,166155
3.407,166169
3.508,166178
3.607,166192
3.708,166205
3.808,166223
3.908,166237
4.008,166260
4.108,166274
4.209,166292
4.309,166308
4.409,166320
4.509,166337
4.609,166347
4.709,166361
4.810,166378
4.910,166394
5.010,166408
5.110,166431
5.210,166442
5.310,166463
5.411,166481
5.511,166497
5.611,166511
5.711,166526
5.811,166539
5.911,166554
6.011,166569
6.112,166585
6.212,166598
6.312,166614
6.412,166628
6.512,166642
6.612,166655
6.713,166672
6.813,166687
6.913,166704
7.013,166720
7.113,166739
7.214,166758
7.314,166776
7.414,166791
7.514,166808
7.614,166827
7.714,166840
7.814,166853
7.915,166876
8.016,166892
8.115,166915
8.215,166939
8.315,166970
8.415,166986
8.516,167006
8.616,167027
8.716,167048
8.816,167068
8.916,167087
9.017,167105
9.117,167122
9.217,167143
9.317,167185
9.417,167208
9.517,167228
9.617,167244
9.718,167272
9.818,167286
9.918,167310
10.018,167338
10.118,167358
10.218,167370
10.318,167397
10.419,167415
10.519,167433
10.619,167450
10.719,167466
10.820,167487
10.920,167504
11.020,167522
11.120,167538
11.220,167553
11.321,167568
11.421,167579
11.521,167598
11.621,167617
11.721,167637
11.821,167656
11.922,167672
12.022,167686
12.122,167702
12.222,167720
12.322,167734
12.422,167749
12.523,167766
12.623,167782
12.723,167804
12.823,167827
12.923,167849
13.023,167875
13.124,167905
13.224,167933
13.324,167951
13.424,167961
13.524,167982
13.624,168012
13.725,168032
13.825,168055
13.925,168075
14.025,168093
14.125,168115
14.225,168140
14.326,168160
14.426,168180
14.526,168202
14.626,168221
14.726,168245
14.827,168265
14.927,168280
15.027,168302
15.127,168330
15.227,168344
15.327,168362
15.428,168388
15.528,168412
15.628,168432
15.728,168455
15.828,168476
15.928,168494
16.028,168514
16.129,168538
16.229,168564
16.329,168592
16.429,168609
16.529,168632
16.629,168655
16.729,168679
16.830,168697
16.930,168721
17.030,168742
17.130,168764
17.231,168794
17.331,168816
17.431,168837
17.531,168857
17.633,168887
17.731,168904
17.832,168925
17.932,168951
18.032,168970
18.132,168994
18.232,169019
18.332,169040
18.432,169064
18.533,169090
18.633,169116
18.733,169141
18.833,169164
18.933,169193
19.033,169220
19.133,169245
19.234,169268
19.335,169296
19.435,169315
19.535,169338
19.634,169361
19.737,169386
19.835,169412
19.936,169442
20.035,169461
20.135,169484
20.236,169508
20.336,169535
20.436,169561
20.537,169588
20.638,169616
20.738,169640
20.838,169663
20.938,169691
21.038,169710
21.139,169737
21.238,169760
21.339,169785
21.439,169808
21.539,169835
21.639,169861
21.739,169886
21.839,169911
21.941,169940
22.040,169959
22.139,169986
22.240,170007
22.341,170032
22.440,170056
22.541,170081
22.641,170107
22.742,170132
22.842,170159
22.943,170178
23.042,170200
23.143,170221
23.242,170244
23.342,170271
23.443,170292
23.543,170317
23.643,170339
23.744,170358
23.844,170383
23.944,170401
24.043,170419
24.144,170437
24.243,170459
24.345,170480
24.444,170504
24.546,170522
24.646,170543
24.745,170565
24.846,170588
24.946,170606
25.046,170627
25.147,170647
25.246,170668
25.347,170691
25.448,170713
25.548,170733
25.648,170755
25.748,170780
25.848,170800
25.949,170820
26.049,170843
26.148,170860
26.249,170886
26.349,170908
26.449,170929
26.549,170951
26.649,170974
26.750,170993
26.850,171015
26.950,171038
27.050,171057
27.151,171080
27.250,171102
27.350,171124
27.450,171142
27.551,171165
27.651,171188
27.751,171210
27.851,171230
27.952,171251
28.052,171272
28.152,171293
28.252,171312
28.353,171334
28.453,171356
28.553,171370
28.653,171374
28.753,171374
28.853,171374
28.953,171374
29.054,171374
29.154,171374
29.254,171374
29.355,171374
29.455,171374
29.555,171374
29.655,171375
29.756,171375
29.856,171375
29.956,171375
30.056,171375
30.156,171375
30.257,171376
30.357,171376
30.457,171376
30.557,171376
30.658,171376
30.758,171379
30.858,171380
30.958,171380
31.058,171381
31.158,171381
31.258,171381
31.359,171381
31.459,171381
31.560,171381
31.660,171381
31.760,171381
31.860,171381
31.960,171381
32.061,171381
32.161,171381
32.261,171381
32.362,171381
32.462,171381
32.562,171381
32.662,171381
32.763,171381
32.862,171381
32.964,171381
33.064,171381
33.164,171381
33.264,171381
33.365,171381
33.464,171381
33.565,171381
33.666,171381
33.765,171381
33.866,171381
33.966,171381
34.067,171382
34.167,171382
34.269,171382
34.368,171382
34.468,171383
34.568,171383
34.668,171383
34.768,171383
34.868,171385
