TO_URJC
1462167945
time,tx_packets
0.001,273230
0.101,273230
0.201,273231
0.301,273232
0.401,273233
0.502,273234
0.602,273234
0.702,273234
0.802,273234
0.902,273234
1.003,273234
1.103,273234
1.203,273234
1.303,273235
1.403,273237
1.504,273237
1.604,273237
1.704,273237
1.804,273237
1.904,273238
2.004,273238
2.105,273238
2.205,273238
2.305,273238
2.405,273238
2.505,273238
2.606,273260
2.706,273282
2.806,273305
2.906,273330
3.006,273361
3.106,273398
3.206,273425
3.307,273452
3.407,273473
3.507,273489
3.607,273512
3.707,273536
3.807,273565
3.907,273590
4.007,273622
4.107,273654
4.208,273678
4.308,273712
4.408,273735
4.508,273766
4.608,273800
4.709,273835
4.809,273869
4.909,273900
5.009,273924
5.111,273962
5.210,273985
5.310,274023
5.410,274048
5.510,274077
5.610,274105
5.711,274140
5.811,274171
5.912,274200
6.013,274230
6.113,274264
6.213,274290
6.314,274323
6.414,274353
6.514,274382
6.614,274412
6.714,274442
6.815,274470
6.914,274500
7.017,274534
7.114,274565
7.214,274597
7.315,274628
7.415,274657
7.515,274692
7.615,274721
7.715,274749
7.815,274774
7.916,274808
8.016,274841
8.115,274875
8.217,274914
8.316,274943
8.417,274962
8.518,274987
8.617,275021
8.717,275049
8.818,275078
8.918,275105
9.018,275133
9.117,275161
9.217,275192
9.317,275220
9.418,275244
9.518,275271
9.618,275295
9.719,275332
9.819,275350
9.919,275377
10.019,275395
10.119,275428
10.220,275455
10.319,275477
10.419,275502
10.519,275540
10.620,275561
10.720,275581
10.821,275610
10.921,275637
11.021,275660
11.120,275689
11.220,275718
11.321,275742
11.421,275765
11.522,275790
11.622,275813
11.722,275839
11.822,275870
11.921,275895
12.022,275924
12.122,275949
12.222,275976
12.323,276003
12.422,276034
12.522,276057
12.623,276078
12.723,276109
12.823,276140
12.923,276164
13.025,276194
13.124,276240
13.225,276264
13.324,276297
13.424,276320
13.524,276338
13.625,276376
13.725,276414
13.825,276437
13.925,276467
14.025,276499
14.126,276527
14.226,276549
14.326,276587
14.426,276619
14.526,276648
14.626,276684
14.726,276709
14.827,276735
14.927,276770
15.027,276796
15.127,276828
15.228,276858
15.327,276892
15.428,276917
15.527,276947
15.627,276982
15.727,277004
15.827,277036
15.928,277068
16.028,277089
16.128,277124
16.228,277155
16.329,277180
16.428,277223
16.529,277255
16.629,277282
16.729,277325
16.829,277344
16.929,277369
17.030,277402
17.129,277437
17.230,277468
17.329,277499
17.430,277530
17.530,277556
17.630,277589
17.730,277625
17.831,277654
17.931,277678
18.030,277713
18.130,277744
18.230,277773
18.332,277808
18.432,277840
18.532,277877
18.632,277909
18.732,277943
18.833,277973
18.932,278008
19.032,278044
19.132,278079
19.232,278109
19.333,278143
19.433,278175
19.534,278202
19.633,278228
19.734,278255
19.834,278293
19.934,278323
20.034,278352
20.134,278380
20.234,278410
20.334,278437
20.435,278469
20.535,278497
20.634,278532
20.736,278566
20.836,278588
20.936,278620
21.036,278645
21.136,278673
21.237,278704
21.337,278734
21.437,278761
21.537,278792
21.637,278822
21.737,278852
21.836,278888
21.937,278916
22.036,278943
22.138,278977
22.238,279004
22.337,279036
22.439,279061
22.539,279095
22.639,279124
22.739,279158
22.838,279188
22.939,279215
23.040,279245
23.141,279275
23.240,279308
23.340,279337
23.441,279365
23.541,279393
23.641,279421
23.740,279444
23.842,279473
23.942,279495
24.040,279529
24.141,279557
24.242,279582
24.343,279605
24.443,279634
24.543,279656
24.642,279682
24.743,279708
24.843,279735
24.942,279757
25.043,279784
25.144,279808
25.244,279831
25.345,279860
25.445,279884
25.545,279909
25.645,279933
25.745,279960
25.846,279988
25.946,280011
26.046,280037
26.145,280061
26.246,280088
26.346,280114
26.446,280136
26.546,280164
26.647,280192
26.746,280211
26.847,280238
26.946,280263
27.047,280287
27.147,280315
27.248,280341
27.347,280365
27.448,280388
27.548,280417
27.648,280443
27.748,280469
27.849,280494
27.949,280521
28.049,280544
28.149,280570
28.249,280593
28.350,280620
28.450,280644
28.550,280662
28.651,280669
28.750,280669
28.850,280669
28.951,280669
29.051,280669
29.151,280669
29.252,280669
29.352,280669
29.452,280669
29.553,280669
29.653,280670
29.753,280670
29.853,280670
29.953,280670
30.053,280671
30.154,280671
30.254,280671
30.354,280671
30.454,280671
30.554,280671
30.654,280671
30.755,280672
30.855,280672
30.955,280672
31.056,280672
31.155,280672
31.255,280672
31.357,280672
31.456,280672
31.557,280673
31.656,280673
31.757,280675
31.857,280675
31.957,280675
32.058,280676
32.158,280677
32.258,280677
32.359,280677
32.459,280677
32.559,280677
32.660,280677
32.759,280677
32.859,280677
32.959,280677
33.060,280677
33.161,280677
33.261,280677
33.362,280677
33.461,280677
33.562,280677
33.663,280677
33.762,280677
33.863,280677
33.963,280678
34.064,280678
34.163,280678
34.266,280678
34.365,280679
34.466,280679
34.566,280679
34.665,280679
34.765,280679
34.865,280680
