TO_URJC
1462165619
time,tx_packets
0.001,140463
0.101,140463
0.201,140463
0.301,140463
0.402,140463
0.502,140463
0.603,140463
0.702,140463
0.803,140464
0.903,140464
1.003,140464
1.103,140464
1.203,140464
1.304,140464
1.404,140465
1.504,140465
1.604,140465
1.704,140466
1.805,140467
1.905,140467
2.005,140467
2.105,140467
2.205,140468
2.306,140468
2.407,140468
2.506,140468
2.606,140473
2.707,140477
2.806,140482
2.906,140487
3.007,140492
3.107,140496
4.208,140551
4.308,140555
4.408,140560
4.508,140565
4.609,140570
4.709,140574
4.809,140579
4.909,140584
5.010,140590
5.110,140594
5.210,140599
5.310,140605
5.411,140610
5.511,140614
5.612,140619
5.712,140625
5.812,140630
5.912,140634
6.012,140639
6.113,140643
6.213,140651
6.313,140655
6.413,140661
6.513,140665
6.613,140671
6.714,140675
6.814,140681
6.915,140686
7.015,140691
7.115,140695
7.215,140700
7.315,140705
7.416,140710
7.516,140714
7.616,140719
7.716,140724
7.817,140730
7.917,140734
8.017,140739
8.118,140744
8.218,140750
8.318,140754
8.418,140759
8.519,140764
8.619,140769
8.719,140773
8.819,140778
8.920,140783
9.020,140788
9.120,140792
9.221,140797
9.321,140803
9.421,140808
9.521,140812
9.621,140818
9.721,140823
9.821,140828
9.922,140834
10.022,140839
10.122,140844
10.223,140848
10.323,140853
10.423,140859
10.523,140865
10.624,140870
10.723,140875
10.823,140880
10.924,140885
11.024,140889
11.124,140894
11.224,140899
11.325,140904
11.425,140908
11.525,140913
11.625,140919
11.726,140924
11.826,140929
11.927,140934
12.027,140939
12.126,140944
12.228,140948
12.327,140951
12.427,140960
12.528,140965
12.628,140969
12.728,140974
12.829,140979
12.929,140984
13.029,140988
13.129,140993
13.230,140998
13.330,141003
13.430,141007
13.530,141013
13.630,141018
13.730,141023
13.830,141027
13.931,141032
14.031,141037
14.131,141044
14.232,141048
14.332,141053
14.432,141058
14.533,141063
14.632,141067
14.733,141073
14.833,141078
14.934,141084
15.033,141088
15.134,141094
15.234,141099
15.335,141104
15.435,141108
15.536,141113
15.636,141118
15.736,141124
15.836,141128
15.936,141133
16.037,141138
16.137,141142
16.237,141147
16.337,141152
16.437,141157
16.538,141162
16.638,141166
16.738,141173
16.838,141178
16.939,141183
17.039,141187
17.139,141192
17.239,141197
17.340,141202
17.439,141206
17.540,141211
17.640,141216
17.741,141222
17.841,141227
17.941,141232
18.041,141237
18.142,141242
18.242,141245
18.342,141250
18.442,141255
18.542,141261
18.641,141264
18.741,141270
18.842,141275
18.942,141280
19.043,141285
19.143,141291
19.243,141297
19.343,141302
19.443,141306
19.544,141311
19.644,141316
19.744,141321
19.844,141325
19.945,141330
20.044,141335
20.145,141340
20.245,141344
20.344,141349
20.446,141354
20.546,141359
20.645,141363
20.746,141367
20.846,141373
20.946,141379
21.047,141383
21.146,141388
21.247,141394
21.347,141398
21.447,141403
21.548,141408
21.648,141413
21.749,141417
21.848,141422
21.954,141427
22.049,141432
22.150,141437
22.250,141442
22.350,141447
22.451,141453
22.550,141457
22.650,141462
22.752,141467
22.852,141472
22.952,141476
23.052,141481
23.152,141487
23.252,141493
23.353,141497
23.453,141502
23.553,141508
23.653,141512
23.753,141517
23.853,141522
23.954,141527
24.054,141532
24.155,141536
24.254,141541
24.354,141546
24.455,141551
24.555,141556
24.656,141561
24.756,141566
24.858,141571
24.958,141575
25.056,141580
25.158,141586
25.258,141592
25.358,141596
25.459,141601
25.557,141606
25.660,141611
25.760,141615
25.859,141620
25.959,141625
26.060,141630
26.160,141634
26.259,141639
26.359,141644
26.461,141649
26.562,141653
26.662,141659
26.762,141664
26.860,141669
26.961,141673
27.060,141679
27.162,141684
27.262,141689
27.361,141693
27.461,141700
27.561,141705
27.661,141710
27.761,141715
27.861,141720
27.962,141725
28.063,141730
28.163,141734
28.262,141738
28.364,141739
28.465,141739
28.563,141739
28.665,141739
28.765,141739
28.866,141739
28.964,141739
29.065,141739
29.166,141739
29.266,141739
29.366,141739
29.466,141741
29.568,141741
29.669,141741
29.769,141741
29.868,141741
29.968,141741
30.070,141741
30.170,141741
30.269,141741
30.370,141741
30.469,141741
30.569,141741
30.670,141741
30.771,141742
30.870,141742
30.970,141742
31.070,141743
31.171,141743
31.271,141744
31.371,141744
31.471,141744
31.571,141744
31.672,141744
31.772,141746
31.871,141746
31.972,141746
32.072,141746
32.172,141746
32.272,141746
32.372,141746
32.473,141746
32.573,141746
32.673,141746
32.773,141746
32.873,141746
32.974,141746
33.075,141749
33.174,141749
33.274,141749
33.374,141749
33.475,141749
33.575,141749
33.676,141750
33.775,141751
33.877,141751
33.975,141751
34.076,141751
34.176,141751
34.276,141751
34.377,141751
34.476,141751
34.578,141751
34.678,141751
34.779,141751
34.879,141751
