TO_UM
1462165668
time,tx_packets
0.004,214882
0.101,214882
0.201,214882
0.301,214885
0.401,214885
0.502,214885
0.602,214885
0.702,214885
0.802,214885
0.903,214885
1.003,214885
1.103,214885
1.203,214885
1.303,214885
1.404,214885
1.504,214885
1.604,214885
1.705,214885
1.805,214885
1.905,214885
2.005,214886
2.106,214886
2.206,214886
2.306,214886
2.407,214886
2.507,214886
2.607,214888
2.707,214895
2.808,214905
2.908,214915
3.008,214924
3.108,214933
3.209,214943
3.309,214953
3.410,214964
3.510,214973
3.610,214983
3.711,214992
3.810,215002
3.911,215011
4.011,215020
4.112,215032
4.213,215041
4.312,215050
4.412,215062
4.513,215072
4.614,215081
4.713,215090
4.813,215100
4.914,215110
5.014,215119
5.114,215128
5.215,215138
5.315,215149
5.415,215155
5.516,215167
5.616,215177
5.717,215188
5.817,215197
5.917,215206
6.017,215216
6.118,215226
6.218,215236
6.318,215245
6.418,215255
6.518,215264
6.619,215273
6.719,215282
6.818,215293
6.919,215303
7.019,215312
7.119,215322
7.220,215332
7.320,215341
7.421,215351
7.521,215360
7.621,215371
7.723,215380
7.822,215390
7.922,215399
8.023,215410
8.124,215419
8.224,215429
8.324,215438
8.424,215452
8.525,215462
8.625,215472
8.726,215480
8.826,215491
8.928,215500
9.028,215509
9.127,215521
9.229,215531
9.329,215540
9.429,215550
9.529,215559
9.629,215569
9.729,215578
9.831,215588
9.930,215597
10.031,215607
10.131,215616
10.231,215626
10.331,215635
10.431,215645
10.532,215654
10.632,215664
10.732,215673
10.833,215683
10.933,215693
11.032,215703
11.133,215713
11.233,215722
11.333,215732
11.433,215741
11.533,215751
11.634,215761
11.734,215770
11.834,215780
11.935,215790
12.034,215800
12.135,215810
12.235,215819
12.335,215828
12.435,215840
12.535,215849
12.635,215858
12.737,215870
12.837,215884
12.936,215894
13.037,215903
13.137,215913
13.237,215923
13.337,215933
13.437,215942
13.537,215952
13.638,215962
13.739,215971
13.838,215980
13.939,215990
14.039,216000
14.140,216008
14.240,216018
14.340,216028
14.439,216037
14.540,216047
14.641,216056
14.741,216066
14.841,216076
14.941,216085
15.041,216094
15.142,216105
15.242,216115
15.342,216124
15.443,216134
15.543,216144
15.642,216154
15.743,216163
15.843,216172
15.944,216182
16.044,216192
16.144,216201
16.245,216210
16.345,216221
16.445,216231
16.545,216239
16.645,216249
16.745,216259
16.846,216271
16.946,216281
17.046,216291
17.147,216301
17.247,216310
17.347,216320
17.448,216329
17.548,216339
17.648,216348
17.748,216358
17.848,216368
17.949,216378
18.049,216387
18.149,216397
18.250,216406
18.350,216416
18.450,216425
18.550,216435
18.650,216444
18.751,216455
18.851,216464
18.951,216473
19.051,216482
19.151,216492
19.252,216502
19.352,216511
19.452,216521
19.553,216533
19.652,216542
19.753,216551
19.853,216561
19.954,216571
20.054,216580
20.154,216589
20.254,216599
20.355,216609
20.455,216619
20.555,216628
20.655,216638
20.756,216649
20.856,216658
20.956,216667
21.056,216678
21.156,216688
21.257,216697
21.357,216712
21.457,216723
21.558,216733
21.658,216742
21.758,216751
21.858,216761
21.958,216772
22.058,216780
22.158,216790
22.259,216800
22.359,216809
22.459,216819
22.559,216828
22.660,216838
22.760,216848
22.860,216857
22.961,216866
23.061,216876
23.161,216886
23.262,216895
23.361,216903
23.462,216913
23.562,216924
23.663,216933
23.763,216941
23.863,216953
23.963,216963
24.064,216973
24.164,216981
24.264,216992
24.365,217002
24.465,217010
24.565,217020
24.665,217030
24.765,217040
24.866,217049
24.966,217058
25.066,217068
25.166,217079
25.267,217088
25.367,217097
25.467,217107
25.567,217121
25.668,217131
25.768,217140
25.868,217150
25.968,217160
26.069,217170
26.169,217179
26.269,217188
26.369,217199
26.469,217208
26.570,217216
26.670,217227
26.770,217237
26.870,217246
26.971,217255
27.070,217265
27.171,217275
27.271,217284
27.371,217293
27.471,217303
27.571,217313
27.672,217322
27.772,217331
27.872,217341
27.972,217351
28.073,217361
28.173,217371
28.273,217381
28.374,217386
28.474,217387
28.574,217387
28.674,217387
28.775,217387
28.875,217387
28.975,217387
29.075,217387
29.175,217387
29.275,217387
29.376,217388
29.476,217388
29.576,217388
29.676,217388
29.777,217394
29.877,217395
29.977,217395
30.077,217395
30.177,217395
30.277,217395
30.378,217396
30.478,217396
30.578,217396
30.678,217396
30.778,217396
30.879,217396
30.979,217396
31.079,217396
31.180,217396
31.279,217396
31.380,217396
31.480,217396
31.580,217396
31.680,217396
31.780,217396
31.881,217396
31.981,217396
32.081,217396
32.182,217396
32.281,217396
32.382,217397
32.482,217397
32.582,217397
32.682,217398
32.782,217398
32.883,217398
32.983,217398
33.083,217398
33.183,217398
33.283,217398
33.384,217398
33.484,217398
33.584,217398
33.686,217399
33.784,217399
33.885,217399
33.985,217401
34.085,217404
34.185,217405
34.285,217406
34.386,217406
34.486,217406
34.586,217406
34.689,217407
34.787,217407
34.886,217407
