TO_UIUC
1462165717
time,tx_packets
0.004,72274
0.101,72274
0.201,72274
0.301,72275
0.402,72275
0.502,72276
0.602,72276
0.702,72276
0.803,72276
0.903,72276
1.003,72277
1.103,72277
1.203,72277
1.304,72277
1.404,72277
1.504,72277
1.604,72277
1.704,72278
1.805,72278
1.905,72278
2.005,72278
2.105,72278
2.205,72278
2.306,72278
2.406,72278
2.506,72278
2.606,72278
2.706,72278
2.806,72278
2.907,72278
3.007,72278
3.107,72278
3.207,72278
3.308,72278
3.408,72278
3.508,72278
3.608,72278
3.708,72278
3.808,72278
3.909,72278
4.009,72281
4.109,72281
4.209,72282
4.309,72282
4.410,72283
4.510,72284
4.610,72284
4.710,72284
4.811,72285
4.911,72285
5.011,72285
5.111,72285
5.211,72286
5.312,72286
5.412,72286
5.512,72286
5.612,72286
5.712,72286
5.813,72286
5.913,72286
6.013,72286
6.113,72286
6.213,72286
6.313,72286
6.413,72286
6.514,72286
6.614,72286
6.714,72286
6.814,72286
6.914,72286
7.014,72286
7.115,72286
7.215,72286
7.315,72286
7.415,72286
7.515,72286
7.615,72286
7.716,72286
7.816,72286
7.916,72286
8.016,72286
8.116,72286
8.216,72286
8.317,72286
8.417,72289
8.517,72290
8.617,72290
8.717,72290
8.817,72291
8.917,72291
9.018,72292
9.118,72292
9.218,72292
9.318,72292
9.418,72293
9.518,72293
9.619,72293
9.719,72293
9.819,72293
9.919,72293
10.019,72293
10.120,72293
10.220,72293
10.320,72293
10.420,72293
10.520,72293
10.620,72293
10.721,72293
10.821,72293
10.921,72293
11.021,72293
11.121,72293
11.222,72293
11.322,72293
11.422,72293
11.522,72293
11.622,72293
11.722,72293
11.823,72293
11.923,72293
12.023,72293
12.123,72293
12.223,72293
12.324,72293
12.424,72293
12.524,72293
12.624,72293
12.724,72293
12.824,72294
12.925,72298
13.025,72299
13.125,72299
13.225,72299
13.326,72299
13.426,72300
13.526,72300
13.626,72301
13.726,72301
13.827,72301
13.927,72301
14.027,72301
14.127,72301
14.227,72301
14.327,72301
14.427,72301
14.528,72301
14.628,72301
14.728,72301
14.828,72301
14.929,72301
15.029,72301
15.129,72301
15.229,72301
15.329,72301
15.430,72301
15.530,72301
15.630,72301
15.730,72301
15.830,72301
15.931,72301
16.031,72301
16.131,72301
16.231,72301
16.331,72301
16.432,72301
16.532,72301
16.632,72301
16.732,72301
16.832,72301
16.933,72301
17.033,72301
17.133,72302
17.233,72302
17.334,72302
17.434,72302
17.534,72302
17.634,72302
17.734,72302
17.835,72303
17.935,72304
18.035,72304
18.135,72304
18.235,72304
18.335,72304
18.436,72304
18.536,72304
18.636,72304
18.736,72304
18.836,72304
18.937,72304
19.037,72304
19.137,72304
19.237,72304
19.337,72304
19.438,72304
19.538,72304
19.638,72304
19.738,72304
19.838,72304
19.939,72304
20.039,72304
20.139,72304
20.239,72304
20.339,72304
20.440,72304
20.540,72304
20.640,72304
20.740,72304
20.840,72304
20.941,72304
21.041,72304
21.141,72304
21.241,72304
21.341,72304
21.442,72307
21.542,72307
21.642,72307
21.742,72307
21.842,72307
21.943,72307
22.043,72307
22.143,72307
22.243,72308
22.343,72308
22.444,72308
22.544,72308
22.644,72308
22.744,72308
22.844,72309
22.945,72309
23.045,72309
23.145,72309
23.245,72309
23.345,72310
23.446,72310
23.546,72310
23.646,72310
23.746,72310
23.846,72310
23.947,72310
24.047,72310
24.147,72310
24.247,72310
24.347,72310
24.447,72310
24.548,72310
24.648,72310
24.748,72310
24.848,72310
24.948,72310
25.049,72310
25.149,72310
25.249,72310
25.349,72310
25.450,72310
25.550,72310
25.650,72310
25.750,72311
25.850,72311
25.951,72311
26.051,72314
26.151,72315
26.251,72315
26.351,72315
26.452,72315
26.552,72316
26.652,72316
26.752,72316
26.852,72316
26.952,72316
27.053,72316
27.153,72316
27.253,72316
27.353,72316
27.453,72316
27.554,72317
27.654,72317
27.754,72317
27.854,72317
27.954,72317
28.055,72317
28.155,72317
28.255,72317
28.355,72317
28.455,72317
28.556,72317
28.656,72317
28.756,72317
28.856,72317
28.956,72317
29.057,72317
29.157,72317
29.257,72317
29.357,72317
29.457,72317
29.558,72317
29.658,72317
29.758,72317
29.858,72318
29.958,72318
30.059,72318
30.159,72318
30.259,72318
30.359,72318
30.459,72322
30.560,72322
30.660,72323
30.760,72323
30.860,72323
30.960,72323
31.061,72323
31.161,72323
31.261,72323
31.361,72323
31.461,72323
31.562,72323
31.662,72323
31.762,72323
31.862,72324
31.962,72324
32.063,72324
32.163,72324
32.263,72324
32.363,72324
32.463,72324
32.564,72324
32.664,72324
32.764,72324
32.864,72324
32.964,72324
33.065,72324
33.165,72324
33.265,72324
33.365,72324
33.465,72324
33.566,72324
33.666,72324
33.766,72324
33.866,72324
33.966,72324
34.067,72324
34.167,72325
34.267,72325
34.367,72325
34.467,72325
34.568,72325
34.668,72326
34.768,72329
