TO_ORANGE
1462165499
time,tx_packets
0.001,53699
0.101,53699
0.201,53699
0.301,53699
0.402,53699
0.502,53699
0.602,53699
0.702,53699
0.802,53699
0.903,53699
1.003,53699
1.103,53699
1.203,53699
1.303,53699
1.404,53699
1.504,53699
1.604,53699
1.704,53699
1.804,53699
1.904,53699
2.005,53699
2.105,53699
2.205,53699
2.305,53699
2.405,53699
2.506,53699
2.606,53699
2.706,53704
2.806,53709
2.906,53713
3.007,53718
3.107,53723
3.207,53729
3.307,53733
3.407,53738
3.508,53744
3.608,53749
3.708,53753
3.808,53759
3.908,53765
4.009,53770
4.109,53774
4.209,53779
4.309,53785
4.410,53790
4.510,53792
4.610,53799
4.710,53804
4.810,53810
4.911,53814
5.011,53819
5.111,53824
5.211,53830
5.311,53834
5.412,53839
5.512,53845
5.612,53849
5.712,53854
5.812,53859
5.913,53865
6.013,53869
6.113,53874
6.213,53879
6.313,53885
6.414,53890
6.514,53894
6.614,53899
6.714,53905
6.814,53910
6.915,53914
7.015,53919
7.115,53924
7.215,53929
7.315,53934
7.416,53939
7.516,53945
7.616,53951
7.716,53954
7.817,53960
7.917,53966
8.017,53971
8.117,53975
8.217,53980
8.318,53986
8.418,53991
8.518,53995
8.618,54000
8.718,54006
8.819,54011
8.919,54015
9.019,54020
9.119,54026
9.219,54031
9.320,54035
9.420,54040
9.520,54046
9.620,54051
9.720,54055
9.821,54059
9.921,54066
10.021,54071
10.121,54075
10.221,54080
10.322,54086
10.422,54091
10.522,54095
10.622,54099
10.722,54106
10.823,54111
10.923,54115
11.023,54120
11.123,54126
11.223,54131
11.324,54135
11.424,54140
11.524,54146
11.624,54151
11.724,54155
11.825,54160
11.925,54166
12.025,54171
12.125,54175
12.225,54180
12.326,54186
12.426,54191
12.526,54195
12.626,54200
12.726,54207
12.827,54212
12.927,54216
13.027,54221
13.127,54227
13.227,54232
13.328,54236
13.428,54241
13.528,54247
13.628,54252
13.728,54257
13.829,54263
13.929,54267
14.029,54272
14.129,54277
14.230,54283
14.330,54287
14.430,54292
14.530,54297
14.630,54303
14.731,54307
14.831,54312
14.931,54318
15.031,54323
15.131,54327
15.232,54332
15.332,54338
15.432,54343
15.532,54347
15.632,54352
15.732,54358
15.832,54363
15.932,54367
16.033,54372
16.133,54378
16.233,54382
16.333,54387
16.433,54392
16.533,54398
16.633,54402
16.733,54407
16.833,54413
16.933,54418
17.033,54422
17.133,54427
17.233,54433
17.334,54438
17.434,54442
17.534,54447
17.634,54453
17.734,54458
17.834,54462
17.934,54467
18.034,54473
18.135,54477
18.235,54482
18.335,54487
18.435,54493
18.535,54497
18.636,54502
18.736,54508
18.836,54513
18.936,54517
19.036,54522
19.136,54528
19.236,54532
19.336,54537
19.436,54542
19.537,54548
19.637,54552
19.737,54557
19.837,54563
19.937,54568
20.037,54572
20.137,54577
20.237,54583
20.337,54588
20.437,54592
20.537,54597
20.637,54603
20.737,54608
20.837,54612
20.937,54617
21.038,54623
21.138,54627
21.238,54632
21.338,54637
21.438,54643
21.538,54647
21.639,54652
21.738,54658
21.838,54663
21.939,54667
22.039,54672
22.139,54678
22.239,54683
22.340,54687
22.440,54692
22.540,54698
22.640,54703
22.740,54707
22.840,54712
22.941,54718
23.041,54721
23.141,54727
23.241,54733
23.341,54738
23.441,54741
23.541,54747
23.641,54753
23.741,54758
23.841,54761
23.941,54767
24.041,54773
24.141,54777
24.241,54781
24.341,54787
24.442,54793
24.542,54797
24.642,54802
24.742,54807
24.842,54813
24.942,54817
25.042,54822
25.142,54827
25.242,54833
25.342,54837
25.443,54842
25.543,54847
25.643,54853
25.743,54857
25.844,54862
25.944,54867
26.044,54873
26.144,54877
26.245,54882
26.345,54886
26.445,54893
26.545,54897
26.645,54902
26.746,54907
26.846,54913
26.946,54917
27.046,54922
27.146,54927
27.247,54933
27.347,54937
27.447,54942
27.547,54947
27.647,54953
27.748,54957
27.848,54960
27.948,54968
28.048,54973
28.148,54977
28.249,54983
28.349,54989
28.449,54990
28.549,54990
28.649,54990
28.750,54990
28.850,54990
28.950,54991
29.050,54991
29.150,54991
29.251,54991
29.351,54991
29.451,54991
29.551,54991
29.651,54991
29.752,54991
29.852,54991
29.952,54991
30.052,54991
30.152,54991
30.253,54991
30.353,54991
30.453,54991
30.553,54991
30.653,54991
30.754,54991
30.854,54991
30.954,54991
31.054,54991
31.154,54991
31.255,54991
31.355,54991
31.455,54991
31.555,54991
31.655,54991
31.756,54991
31.856,54991
31.956,54991
32.056,54991
32.156,54991
32.257,54991
32.357,54991
32.457,54991
32.557,54991
32.657,54991
32.758,54991
32.858,54991
32.958,54991
33.058,54991
33.158,54991
33.259,54991
33.359,54991
33.459,54991
33.559,54991
33.659,54991
33.760,54991
33.860,54991
33.960,54991
34.060,54991
34.160,54991
34.261,54991
34.361,54991
34.461,54991
34.561,54991
34.661,54991
34.762,54991
34.862,54991
34.962,54991
35.062,54991
35.163,54991
35.263,54991
35.363,54991
35.463,54991
35.563,54991
35.664,54991
