TO_UA
1462165548
time,tx_packets
0.001,81242
0.101,81242
0.202,81242
0.302,81242
0.402,81242
0.503,81242
0.603,81243
0.703,81243
0.803,81243
0.904,81243
1.004,81243
1.104,81243
1.204,81243
1.305,81245
1.405,81245
1.505,81245
1.606,81245
1.706,81245
1.806,81245
1.906,81245
2.007,81245
2.107,81245
2.207,81245
2.307,81245
2.408,81245
2.508,81245
2.608,81245
2.708,81245
2.809,81245
2.909,81245
3.009,81245
3.110,81245
3.210,81245
3.310,81245
3.410,81245
3.510,81245
3.611,81245
3.711,81245
3.811,81246
3.912,81246
4.012,81247
4.112,81247
4.212,81247
4.312,81247
4.413,81247
4.513,81247
4.613,81247
4.713,81247
4.814,81248
4.914,81248
5.014,81248
5.114,81248
5.215,81248
5.315,81248
5.415,81249
5.515,81249
5.616,81249
5.716,81249
5.816,81250
5.916,81250
6.016,81250
6.116,81250
6.217,81250
6.317,81250
6.417,81250
6.517,81250
6.618,81250
6.718,81250
6.818,81252
6.918,81252
7.019,81252
7.119,81252
7.219,81252
7.319,81252
7.419,81252
7.520,81252
7.620,81252
7.720,81252
7.820,81252
7.920,81252
8.021,81252
8.121,81254
8.221,81254
8.321,81254
8.422,81254
8.522,81254
8.622,81254
8.722,81254
8.823,81254
8.923,81254
9.023,81254
9.124,81255
9.224,81255
9.324,81255
9.424,81255
9.526,81256
9.625,81256
9.726,81256
9.825,81256
9.925,81256
10.025,81256
10.126,81256
10.226,81256
10.326,81257
10.426,81257
10.527,81257
10.629,81257
10.727,81257
10.828,81257
10.928,81257
11.028,81257
11.128,81257
11.229,81257
11.330,81257
11.430,81257
11.530,81257
11.630,81257
11.731,81257
11.831,81257
11.931,81257
12.032,81257
12.132,81257
12.233,81257
12.332,81257
12.432,81259
12.533,81259
12.633,81259
12.733,81259
12.833,81259
12.934,81259
13.034,81260
13.134,81263
13.234,81269
13.339,81283
13.436,81302
13.536,81321
13.636,81345
13.736,81372
13.837,81400
13.936,81423
14.037,81447
14.136,81474
14.238,81501
14.338,81523
14.437,81549
14.537,81579
14.638,81602
14.738,81625
14.840,81650
14.938,81679
15.038,81703
15.138,81726
15.238,81751
15.339,81777
15.439,81802
15.539,81826
15.639,81852
15.739,81880
15.840,81904
15.940,81928
16.040,81953
16.141,81982
16.240,82004
16.340,82028
16.440,82057
16.540,82082
16.640,82106
16.740,82132
16.841,82160
16.941,82186
17.041,82209
17.142,82236
17.243,82262
17.342,82287
17.442,82311
17.542,82337
17.642,82364
17.743,82388
17.843,82413
17.943,82440
18.043,82466
18.143,82492
18.244,82517
18.344,82545
18.444,82565
18.545,82593
18.645,82619
18.745,82646
18.845,82668
18.945,82694
19.046,82720
19.146,82746
19.246,82768
19.346,82795
19.446,82820
19.546,82845
19.646,82869
19.747,82896
19.847,82923
19.947,82946
20.047,82970
20.148,82996
20.248,83024
20.348,83045
20.448,83070
20.548,83097
20.649,83124
20.749,83147
20.849,83172
20.949,83201
21.049,83229
21.149,83252
21.250,83276
21.350,83304
21.450,83330
21.550,83352
21.650,83377
21.751,83406
21.851,83433
21.951,83455
22.051,83481
22.151,83509
22.251,83531
22.352,83555
22.452,83582
22.552,83610
22.652,83634
22.753,83658
22.853,83684
22.953,83711
23.053,83733
23.154,83759
23.254,83786
23.354,83812
23.454,83835
23.554,83860
23.654,83889
23.755,83912
23.855,83936
23.954,83957
24.055,83978
24.155,83987
24.254,83996
24.355,83997
24.455,83998
24.555,83998
24.655,83998
24.755,83998
24.856,83998
24.956,83998
25.056,83998
25.156,83998
25.256,83999
25.357,84000
25.457,84000
25.557,84000
25.657,84000
25.757,84000
25.857,84000
25.957,84000
26.058,84000
26.158,84000
26.258,84001
26.358,84001
26.458,84001
26.559,84001
26.659,84001
26.759,84001
26.859,84001
26.959,84002
27.059,84002
27.160,84002
27.260,84002
27.360,84002
27.460,84002
27.560,84003
27.660,84003
27.761,84003
27.861,84003
27.961,84004
28.061,84004
28.161,84004
28.261,84004
28.362,84004
28.462,84004
28.562,84004
28.662,84004
28.762,84004
28.863,84004
28.963,84004
29.063,84004
29.163,84004
29.263,84004
29.364,84004
29.464,84005
29.564,84005
29.664,84006
29.765,84006
29.865,84006
29.965,84006
30.065,84006
30.165,84006
30.266,84006
30.366,84006
30.466,84007
30.566,84007
30.666,84007
30.766,84007
30.867,84007
30.967,84007
31.067,84007
31.167,84007
31.267,84007
31.368,84008
31.468,84008
31.568,84008
31.668,84008
31.769,84008
31.869,84008
31.969,84009
32.069,84009
32.169,84009
32.270,84009
32.370,84009
32.470,84009
32.570,84009
32.670,84009
32.771,84009
32.871,84009
32.971,84009
33.071,84009
33.171,84009
33.272,84009
33.372,84009
33.472,84009
33.572,84009
33.672,84009
33.773,84010
33.873,84010
33.973,84010
34.073,84010
34.173,84010
34.274,84010
34.374,84010
34.474,84010
34.574,84010
34.674,84010
34.774,84010
34.875,84011
