TO_VERISIGN
1462165957
time,tx_packets
0.001,80024
0.101,80024
0.201,80024
0.301,80024
0.401,80024
0.502,80024
0.602,80024
0.702,80024
0.802,80024
0.902,80024
1.002,80024
1.102,80024
1.203,80024
1.303,80024
1.403,80024
1.503,80024
1.604,80024
1.704,80024
1.804,80024
1.904,80025
2.005,80025
2.105,80025
2.205,80025
2.305,80031
2.405,80031
2.506,80031
2.606,80049
2.706,80072
2.806,80094
2.906,80118
3.007,80141
3.107,80156
3.207,80176
3.307,80194
3.407,80209
3.508,80210
3.608,80211
3.708,80212
3.808,80213
3.908,80216
4.009,80218
4.109,80219
4.209,80219
4.309,80232
4.409,80242
4.510,80245
4.610,80245
4.710,80248
4.810,80248
4.910,80249
5.010,80249
5.111,80252
5.211,80256
5.311,80272
5.411,80278
5.511,80283
5.612,80284
5.712,80285
5.812,80287
5.913,80303
6.013,80320
6.113,80340
6.213,80363
6.313,80385
6.413,80404
6.513,80432
6.614,80456
6.714,80479
6.814,80505
6.914,80529
7.014,80551
7.114,80577
7.214,80602
7.314,80627
7.415,80651
7.515,80679
7.615,80704
7.715,80727
7.815,80750
7.915,80778
8.015,80803
8.115,80824
8.215,80849
8.316,80870
8.416,80886
8.516,80899
8.616,80922
8.716,80946
8.816,80970
8.916,80997
9.016,81018
9.117,81042
9.217,81070
9.317,81089
9.417,81113
9.517,81140
9.617,81164
9.717,81187
9.818,81216
9.918,81240
10.018,81266
10.118,81288
10.218,81310
10.318,81331
10.419,81347
10.519,81362
10.619,81381
10.719,81398
10.819,81418
10.919,81436
11.019,81456
11.120,81477
11.220,81495
11.320,81512
11.420,81532
11.520,81553
11.620,81572
11.720,81590
11.821,81609
11.921,81630
12.021,81646
12.121,81664
12.221,81685
12.322,81704
12.422,81721
12.522,81741
12.622,81761
12.722,81784
12.823,81806
12.923,81830
13.023,81855
13.123,81878
13.223,81902
13.324,81924
13.424,81950
13.524,81973
13.624,81996
13.724,82018
13.824,82043
13.924,82067
14.025,82090
14.125,82109
14.225,82135
14.325,82161
14.425,82184
14.525,82204
14.626,82231
14.726,82255
14.826,82276
14.926,82301
15.026,82322
15.126,82349
15.227,82380
15.327,82404
15.427,82429
15.527,82455
15.627,82479
15.727,82499
15.827,82513
15.927,82530
16.028,82544
16.128,82556
16.228,82570
16.328,82586
16.428,82599
16.528,82611
16.628,82624
16.729,82642
16.829,82656
16.929,82670
17.029,82685
17.129,82727
17.229,82844
17.330,82894
17.430,82920
17.530,82947
17.630,82971
17.730,82993
17.830,83019
17.930,83042
18.030,83066
18.130,83088
18.231,83113
18.331,83137
18.431,83163
18.531,83187
18.631,83210
18.731,83231
18.832,83255
18.932,83280
19.032,83305
19.132,83328
19.232,83349
19.332,83377
19.432,83405
19.532,83428
19.632,83457
19.732,83478
19.833,83502
19.933,83526
20.033,83548
20.133,83575
20.233,83596
20.334,83620
20.434,83646
20.534,83669
20.634,83693
20.734,83716
20.834,83740
20.934,83758
21.035,83770
21.135,83811
21.235,83827
21.335,83852
21.435,83876
21.535,83898
21.635,83921
21.736,83948
21.836,83966
21.936,83991
22.036,84014
22.136,84039
22.236,84061
22.337,84086
22.437,84108
22.537,84136
22.637,84154
22.737,84179
22.837,84203
22.937,84223
23.038,84248
23.138,84270
23.238,84290
23.338,84317
23.438,84336
23.538,84362
23.638,84385
23.738,84404
23.839,84420
23.939,84447
24.039,84462
24.139,84482
24.239,84500
24.339,84520
24.439,84539
24.540,84554
24.640,84573
24.740,84597
24.840,84619
24.940,84636
25.040,84657
25.140,84675
25.240,84691
25.341,84712
25.441,84726
25.541,84747
25.641,84761
25.741,84780
25.841,84803
25.942,84819
26.042,84838
26.142,84857
26.242,84875
26.342,84894
26.442,84911
26.543,84926
26.643,84945
26.743,84973
26.843,84990
26.943,85008
27.044,85027
27.144,85046
27.244,85063
27.344,85078
27.444,85095
27.545,85117
27.645,85135
27.745,85154
27.845,85182
27.945,85204
28.045,85228
28.146,85251
28.246,85278
28.346,85301
28.446,85328
28.546,85343
28.646,85353
28.747,85353
28.847,85353
28.947,85353
29.047,85353
29.148,85353
29.248,85353
29.348,85353
29.448,85353
29.548,85353
29.649,85353
29.749,85353
29.849,85353
29.949,85353
30.049,85353
30.150,85353
30.250,85353
30.350,85354
30.450,85354
30.550,85354
30.651,85354
30.751,85354
30.851,85354
30.951,85354
31.051,85354
31.151,85354
31.252,85354
31.352,85354
31.452,85354
31.552,85354
31.652,85354
31.752,85354
31.852,85354
31.953,85354
32.053,85354
32.153,85354
32.253,85354
32.353,85355
32.454,85355
32.554,85355
32.654,85357
32.754,85357
32.855,85357
32.955,85357
33.055,85357
33.155,85357
33.255,85357
33.356,85357
33.456,85357
33.556,85357
33.656,85357
33.756,85357
33.857,85357
33.957,85357
34.057,85357
34.157,85357
34.258,85357
34.358,85357
34.458,85357
34.558,85357
34.658,85357
34.759,85357
34.859,85357
