FROM_ORANGE
1462166006
time,rx_packets
0.001,65173
0.101,65173
0.201,65173
0.301,65173
0.402,65173
0.502,65173
0.602,65173
0.702,65173
0.802,65173
0.903,65173
1.003,65173
1.103,65173
1.203,65173
1.304,65173
1.404,65173
1.504,65173
1.604,65173
1.704,65173
1.805,65173
1.905,65173
2.005,65173
2.105,65173
2.205,65173
2.306,65173
2.406,65173
2.506,65173
2.606,65174
2.707,65179
2.807,65184
2.907,65189
3.007,65194
3.107,65199
3.207,65203
3.308,65209
3.408,65214
3.508,65219
3.608,65223
3.708,65228
3.808,65234
3.909,65239
4.009,65243
4.109,65248
4.209,65254
4.309,65259
4.409,65263
4.509,65266
4.610,65274
4.710,65279
4.810,65283
4.910,65288
5.010,65294
5.110,65298
5.211,65303
5.311,65307
5.411,65314
5.511,65318
5.611,65323
5.711,65328
5.811,65334
5.912,65339
6.012,65343
6.112,65348
6.212,65354
6.312,65359
6.413,65364
6.513,65369
6.613,65374
6.713,65378
6.814,65383
6.914,65389
7.014,65394
7.114,65398
7.214,65403
7.314,65409
7.415,65414
7.515,65418
7.615,65424
7.715,65430
7.815,65435
7.916,65440
8.016,65444
8.116,65450
8.216,65455
8.316,65459
8.417,65464
8.517,65470
8.617,65474
8.717,65479
8.818,65484
8.918,65490
9.018,65495
9.118,65499
9.219,65504
9.319,65510
9.419,65515
9.519,65519
9.619,65524
9.719,65530
9.819,65535
9.920,65539
10.020,65544
10.120,65550
10.220,65555
10.321,65559
10.421,65564
10.521,65570
10.621,65575
10.721,65579
10.821,65584
10.922,65590
11.022,65595
11.122,65599
11.222,65605
11.323,65610
11.423,65615
11.523,65619
11.623,65624
11.723,65631
11.823,65636
11.924,65639
12.024,65646
12.124,65651
12.224,65656
12.324,65660
12.424,65666
12.525,65671
12.625,65675
12.725,65681
12.825,65687
12.925,65692
13.025,65692
13.126,65694
13.226,65699
13.326,65702
13.426,65707
13.526,65713
13.627,65717
13.727,65722
13.827,65727
13.927,65732
14.027,65737
14.127,65742
14.227,65747
14.327,65752
14.428,65757
14.528,65762
14.628,65767
14.728,65772
14.828,65777
14.929,65782
15.029,65787
15.129,65790
15.229,65797
15.330,65802
15.430,65807
15.530,65812
15.630,65817
15.730,65822
15.830,65827
15.931,65833
16.031,65837
16.131,65842
16.231,65848
16.331,65852
16.431,65857
16.532,65862
16.632,65867
16.732,65872
16.832,65877
16.932,65882
17.033,65887
17.133,65892
17.233,65897
17.333,65902
17.433,65908
17.533,65912
17.633,65917
17.733,65922
17.833,65927
17.933,65932
18.033,65937
18.133,65942
18.234,65947
18.334,65952
18.434,65957
18.534,65962
18.635,65967
18.735,65972
18.835,65977
18.935,65982
19.035,65987
19.135,65992
19.235,65997
19.335,66003
19.436,66007
19.536,66012
19.636,66018
19.736,66022
19.836,66028
19.936,66033
20.036,66038
20.136,66042
20.237,66048
20.337,66053
20.437,66058
20.537,66063
20.637,66068
20.737,66073
20.838,66077
20.938,66083
21.038,66087
21.138,66092
21.238,66098
21.338,66103
21.438,66108
21.539,66113
21.639,66118
21.739,66123
21.839,66128
21.939,66133
22.039,66138
22.139,66143
22.239,66148
22.339,66152
22.440,66158
22.540,66163
22.640,66167
22.740,66173
22.840,66178
22.940,66183
23.040,66188
23.141,66192
23.241,66198
23.341,66203
23.441,66207
23.541,66212
23.641,66218
23.741,66223
23.841,66227
23.942,66235
24.042,66238
24.142,66243
24.242,66249
24.342,66254
24.442,66261
24.542,66265
24.643,66273
24.743,66274
24.843,66283
24.943,66286
25.043,66290
25.143,66298
25.243,66301
25.344,66309
25.444,66312
25.544,66318
25.644,66323
25.744,66327
25.844,66335
25.944,66340
26.044,66345
26.144,66350
26.245,66355
26.345,66360
26.445,66365
26.545,66370
26.645,66375
26.745,66380
26.846,66385
26.946,66390
27.515,66419
27.615,66424
27.715,66429
27.815,66434
27.916,66439
28.016,66444
28.116,66449
28.216,66454
28.316,66459
28.416,66463
28.516,66463
28.616,66463
28.717,66463
28.817,66463
28.917,66463
29.017,66463
29.117,66463
29.217,66463
29.318,66463
29.418,66463
29.518,66463
29.618,66463
29.718,66463
29.818,66463
29.919,66463
30.019,66463
30.119,66463
30.219,66463
30.319,66463
30.419,66463
30.520,66463
30.620,66463
30.720,66463
30.820,66463
30.921,66463
31.021,66463
31.121,66463
31.221,66463
31.321,66463
31.422,66463
31.522,66463
31.622,66463
31.722,66463
31.822,66463
31.923,66463
32.023,66463
32.123,66463
32.223,66463
32.323,66463
32.424,66463
32.524,66463
32.624,66463
32.724,66463
32.824,66463
32.925,66463
33.025,66463
33.125,66463
33.225,66463
33.325,66463
33.426,66463
33.526,66463
33.626,66463
33.726,66463
33.827,66463
33.927,66463
34.027,66463
34.127,66463
34.227,66463
34.328,66463
34.428,66463
34.528,66463
34.628,66463
34.728,66463
34.829,66463
34.929,66463
35.029,66463
35.129,66463
35.229,66463
35.330,66463
35.430,66463
35.530,66463
35.630,66463
