TO_ORANGE
1462166006
time,tx_packets
0.001,65117
0.101,65117
0.201,65117
0.301,65117
0.402,65117
0.502,65117
0.602,65117
0.702,65117
0.803,65117
0.903,65117
1.003,65117
1.103,65117
1.203,65117
1.304,65117
1.404,65117
1.504,65117
1.604,65117
1.704,65117
1.805,65117
1.905,65117
2.005,65117
2.105,65117
2.206,65117
2.306,65117
2.406,65117
2.506,65117
2.606,65118
2.707,65123
2.807,65128
2.907,65133
3.007,65138
3.107,65143
3.207,65147
3.308,65153
3.408,65158
3.508,65163
3.608,65167
3.708,65172
3.808,65178
3.909,65183
4.009,65187
4.109,65192
4.209,65198
4.309,65203
4.409,65207
4.509,65210
4.610,65218
4.710,65223
4.810,65227
4.910,65232
5.010,65238
5.110,65243
5.211,65247
5.311,65251
5.411,65258
5.511,65262
5.611,65267
5.711,65272
5.812,65278
5.912,65283
6.012,65287
6.112,65292
6.212,65298
6.312,65303
6.413,65308
6.513,65313
6.613,65318
6.713,65322
6.814,65327
6.914,65333
7.014,65338
7.114,65342
7.214,65347
7.314,65353
7.415,65358
7.515,65362
7.615,65368
7.715,65374
7.816,65379
7.916,65384
8.016,65388
8.116,65394
8.216,65400
8.316,65404
8.417,65408
8.517,65415
8.617,65420
8.717,65424
8.818,65429
8.918,65435
9.018,65440
9.118,65444
9.219,65449
9.319,65455
9.419,65459
9.519,65464
9.619,65469
9.720,65475
9.820,65480
9.920,65484
10.020,65489
10.120,65495
10.220,65500
10.321,65504
10.421,65509
10.521,65515
10.621,65520
10.721,65524
10.822,65529
10.922,65535
11.022,65540
11.122,65544
11.222,65550
11.323,65555
11.423,65560
11.523,65563
11.623,65570
11.723,65575
11.823,65580
11.924,65583
12.024,65590
12.124,65595
12.224,65600
12.324,65604
12.424,65610
12.525,65615
12.625,65619
12.725,65625
12.825,65631
12.925,65636
13.026,65636
13.126,65638
13.226,65643
13.326,65646
13.426,65651
13.527,65657
13.627,65661
13.727,65666
13.827,65671
13.927,65676
14.027,65681
14.127,65686
14.227,65691
14.328,65696
14.428,65701
14.528,65706
14.628,65711
14.728,65716
14.829,65721
14.929,65726
15.029,65731
15.129,65736
15.229,65741
15.330,65746
15.430,65751
15.530,65756
15.630,65761
15.730,65766
15.830,65771
15.931,65777
16.031,65781
16.131,65786
16.231,65792
16.331,65796
16.431,65801
16.532,65806
16.632,65811
16.732,65816
16.832,65821
16.933,65826
17.033,65831
17.133,65836
17.233,65841
17.333,65846
17.433,65852
17.533,65856
17.633,65861
17.733,65866
17.833,65871
17.934,65876
18.034,65881
18.134,65886
18.234,65891
18.334,65896
18.434,65901
18.535,65906
18.635,65911
18.735,65916
18.835,65922
18.935,65926
19.035,65931
19.135,65937
19.236,65941
19.336,65947
19.436,65951
19.536,65957
19.636,65962
19.736,65967
19.837,65972
19.937,65977
20.037,65982
20.137,65988
20.237,65992
20.337,65997
20.438,66004
20.538,66007
20.638,66012
20.738,66017
20.838,66021
20.938,66027
21.038,66032
21.138,66036
21.239,66042
21.339,66047
21.439,66052
21.539,66057
21.639,66062
21.739,66067
21.840,66072
21.940,66077
22.040,66082
22.140,66087
22.240,66092
22.340,66096
22.441,66102
22.541,66107
22.641,66112
22.741,66117
22.841,66122
22.941,66127
23.042,66132
23.142,66137
23.242,66142
23.342,66147
23.442,66152
23.543,66157
23.643,66163
23.743,66168
23.843,66172
23.943,66179
24.043,66182
24.143,66188
24.243,66193
24.344,66200
24.444,66206
24.544,66211
24.644,66218
24.744,66219
24.844,66229
24.945,66230
25.045,66236
25.145,66242
25.245,66246
25.346,66255
25.446,66257
25.546,66264
25.646,66267
25.746,66272
25.846,66279
25.946,66285
26.047,66290
26.147,66295
26.247,66300
26.347,66305
26.447,66310
26.547,66315
26.647,66320
26.747,66325
26.848,66330
26.948,66335
27.048,66340
27.148,66345
27.248,66350
27.349,66355
27.449,66360
27.549,66365
27.649,66370
27.749,66375
27.849,66380
27.949,66385
28.049,66390
28.149,66395
28.250,66400
28.350,66405
28.450,66407
28.550,66407
28.650,66407
28.751,66407
28.851,66407
28.951,66407
29.051,66407
29.151,66407
29.252,66407
29.352,66407
29.452,66407
29.552,66407
29.652,66407
29.753,66407
29.853,66407
29.953,66407
30.053,66407
30.153,66407
30.254,66407
30.354,66407
30.454,66407
30.554,66407
30.654,66407
30.755,66407
30.855,66407
30.955,66407
31.055,66407
31.155,66407
31.256,66407
31.356,66407
31.456,66407
31.556,66407
31.656,66407
31.757,66407
31.857,66407
31.957,66407
32.057,66407
32.157,66407
32.258,66407
32.358,66407
32.458,66407
32.558,66407
32.659,66407
32.759,66407
32.859,66407
32.959,66407
33.059,66407
33.160,66407
33.260,66407
33.360,66407
33.460,66407
33.560,66407
33.661,66407
33.761,66407
33.861,66407
33.961,66407
34.061,66407
34.162,66407
34.262,66407
34.362,66407
34.462,66407
34.563,66407
34.663,66407
34.763,66407
34.863,66407
34.963,66407
35.064,66407
35.164,66407
35.264,66407
35.364,66407
35.464,66407
35.564,66407
