FROM_CLIENT
1462163679
time,rx_packets
0.001,40848
0.101,40848
0.201,40848
0.302,40848
0.402,40848
0.502,40848
0.602,40848
0.702,40848
0.803,40848
0.903,40848
1.003,40848
1.103,40848
1.203,40848
1.304,40848
1.404,40848
1.504,40848
1.604,40848
1.705,40848
1.805,40848
1.905,40848
2.005,40848
2.105,40848
2.206,40848
2.306,40848
2.406,40848
2.506,40848
2.606,40853
2.707,40858
2.807,40863
2.907,40868
3.007,40873
3.108,40878
3.208,40883
3.308,40888
3.408,40893
3.508,40898
3.609,40903
3.709,40908
3.809,40913
3.909,40918
4.010,40923
4.110,40928
4.210,40933
4.310,40938
4.411,40940
4.511,40948
4.611,40953
4.712,40958
4.812,40963
4.912,40968
5.012,40973
5.112,40978
5.212,40983
5.313,40988
5.413,40993
5.514,40998
5.614,41003
5.714,41008
5.814,41013
5.915,41018
6.015,41023
6.115,41028
6.215,41033
6.315,41038
6.417,41043
6.516,41048
6.617,41053
6.717,41058
6.817,41063
6.918,41068
7.018,41073
7.118,41079
7.218,41084
7.319,41089
7.419,41094
7.519,41099
7.619,41105
7.719,41110
7.820,41115
7.920,41120
8.020,41125
8.120,41130
8.221,41135
8.321,41140
8.421,41145
8.522,41150
8.622,41155
8.722,41160
8.822,41165
8.923,41170
9.023,41175
9.123,41180
9.224,41185
9.324,41190
9.424,41195
9.524,41200
9.625,41205
9.725,41210
9.825,41215
10.926,41270
11.026,41275
11.126,41280
11.226,41285
11.327,41290
11.427,41295
11.527,41300
11.627,41305
11.728,41310
11.828,41315
11.928,41320
12.028,41325
12.129,41330
12.229,41335
12.329,41340
12.429,41345
12.530,41350
12.630,41356
12.730,41361
12.830,41366
12.931,41371
13.031,41376
13.131,41381
13.232,41386
13.332,41391
13.432,41396
13.532,41401
13.633,41406
13.733,41411
13.833,41416
13.933,41421
14.034,41426
14.134,41431
14.234,41436
14.334,41441
14.435,41446
14.535,41451
14.635,41456
14.736,41461
14.836,41466
14.936,41471
15.036,41476
15.137,41481
15.237,41486
15.337,41491
15.437,41496
15.538,41501
15.638,41507
15.738,41512
15.838,41517
15.938,41522
16.039,41527
16.139,41532
16.239,41537
16.340,41542
16.440,41547
16.540,41552
16.640,41557
16.741,41562
16.841,41567
16.941,41572
17.041,41577
17.142,41582
17.242,41587
17.342,41592
17.442,41597
17.542,41602
17.643,41607
17.743,41612
17.843,41617
17.943,41622
18.044,41627
18.144,41632
18.244,41637
18.345,41642
18.445,41647
18.545,41652
18.645,41657
18.746,41662
18.846,41667
18.946,41672
19.046,41677
19.146,41682
19.247,41687
19.347,41692
19.447,41697
19.547,41702
19.648,41707
19.748,41712
19.848,41717
19.948,41722
20.049,41727
20.149,41732
20.249,41737
20.349,41742
20.450,41747
20.550,41752
20.650,41757
20.750,41762
20.851,41767
20.951,41772
21.051,41777
21.151,41782
21.251,41787
21.352,41792
21.452,41797
21.552,41802
21.653,41807
21.753,41812
21.853,41817
21.953,41822
22.053,41827
22.154,41832
22.254,41837
22.354,41842
22.454,41847
22.555,41852
22.655,41857
22.755,41862
22.856,41867
22.956,41872
23.056,41877
23.156,41882
23.256,41887
23.357,41892
23.457,41897
23.557,41902
23.658,41907
23.758,41912
23.858,41917
23.958,41923
24.058,41928
24.159,41933
24.259,41938
24.360,41942
24.460,41948
24.560,41953
24.660,41958
24.760,41963
24.861,41968
24.961,41973
25.061,41978
25.161,41983
25.262,41988
25.362,41993
25.462,41998
25.562,42003
25.662,42008
25.762,42013
25.863,42018
25.963,42023
26.063,42028
26.163,42033
26.264,42038
26.364,42043
26.464,42048
26.564,42053
26.666,42058
26.765,42063
26.865,42068
26.965,42073
27.066,42078
27.166,42083
27.266,42088
27.366,42093
27.467,42098
27.566,42103
27.669,42108
27.767,42113
27.868,42118
27.968,42123
28.068,42128
28.169,42133
28.269,42137
28.369,42137
28.469,42137
28.569,42137
28.669,42137
28.770,42137
28.870,42137
28.970,42137
29.070,42137
29.171,42137
29.271,42137
29.371,42137
29.471,42137
29.572,42137
29.672,42137
29.772,42137
29.872,42137
29.973,42137
30.073,42137
30.173,42137
30.273,42137
30.374,42137
30.474,42137
30.574,42137
30.675,42137
30.775,42137
30.875,42137
30.975,42137
31.076,42137
31.176,42137
31.276,42137
31.376,42137
31.476,42137
31.577,42137
31.677,42137
31.777,42137
31.878,42137
31.978,42137
32.078,42137
32.178,42137
32.279,42137
32.379,42137
32.479,42137
32.579,42137
32.679,42137
32.779,42137
32.880,42137
32.980,42137
33.080,42137
33.180,42137
33.281,42137
33.381,42137
33.480,42137
33.581,42137
33.681,42137
33.781,42137
33.881,42137
33.981,42137
34.082,42137
34.182,42137
34.282,42137
34.382,42137
34.483,42137
34.583,42137
34.683,42137
34.784,42137
