TO_UA
1462163679
time,tx_packets
0.001,40652
0.101,40652
0.201,40652
0.301,40652
0.402,40652
0.502,40652
0.602,40653
0.702,40653
0.802,40653
0.903,40653
1.003,40653
1.103,40653
1.203,40653
1.303,40654
1.404,40654
1.504,40654
1.604,40654
1.704,40654
1.804,40656
1.905,40656
2.005,40656
2.105,40656
2.205,40656
2.305,40656
2.406,40656
2.506,40656
2.606,40657
2.706,40657
2.806,40657
2.906,40657
3.007,40657
3.107,40657
3.207,40657
3.307,40657
3.408,40657
3.508,40657
3.608,40657
3.708,40657
3.808,40657
3.909,40657
4.009,40657
4.109,40657
4.209,40657
4.309,40657
4.410,40657
4.510,40657
4.610,40657
4.710,40658
4.810,40658
4.910,40658
5.011,40658
5.111,40658
5.211,40658
5.311,40658
5.411,40658
5.512,40659
5.612,40659
5.712,40659
5.812,40659
5.912,40659
6.013,40660
6.113,40661
6.213,40661
6.313,40661
6.413,40661
6.514,40661
6.614,40661
6.714,40661
6.814,40663
6.914,40663
7.015,40663
7.115,40663
7.215,40663
7.315,40663
7.415,40663
7.516,40663
7.616,40663
7.716,40663
7.816,40663
7.916,40663
8.017,40663
8.117,40663
8.217,40663
8.317,40663
8.417,40663
8.518,40663
8.618,40663
8.718,40663
8.818,40663
8.919,40664
9.019,40664
9.119,40664
9.219,40664
9.320,40664
9.420,40664
9.520,40664
9.621,40664
9.721,40664
9.822,40664
9.922,40665
10.022,40665
10.122,40665
10.222,40667
10.323,40667
10.423,40667
10.523,40667
10.623,40667
10.724,40667
10.824,40667
10.924,40667
11.024,40669
11.124,40671
11.224,40671
11.325,40671
11.425,40671
11.525,40671
11.625,40671
11.726,40671
11.826,40671
11.926,40671
12.026,40671
12.127,40671
12.227,40671
12.327,40671
12.428,40671
12.528,40671
12.628,40671
12.729,40671
12.828,40671
12.928,40671
13.029,40671
13.129,40671
13.229,40671
13.329,40671
13.430,40672
13.530,40672
13.630,40672
13.730,40672
13.831,40672
13.931,40672
14.031,40672
14.131,40672
14.232,40672
14.332,40673
14.432,40673
14.532,40675
14.633,40675
14.733,40675
14.833,40675
14.934,40675
15.034,40675
15.134,40677
15.234,40678
15.334,40678
15.434,40678
15.534,40678
15.635,40678
15.735,40678
15.836,40678
15.935,40678
16.036,40678
16.136,40678
16.237,40678
16.336,40678
16.437,40678
16.537,40678
16.637,40678
16.738,40678
16.838,40678
16.938,40678
17.038,40678
17.139,40678
17.239,40678
17.339,40678
17.439,40678
17.540,40678
17.640,40678
17.740,40679
17.840,40679
17.941,40679
18.041,40679
18.141,40679
18.241,40679
18.341,40679
18.442,40679
18.542,40679
18.642,40680
18.742,40680
18.842,40680
18.943,40682
19.043,40682
19.143,40682
19.243,40682
19.343,40683
19.443,40683
19.544,40683
19.644,40685
19.744,40685
19.844,40693
19.944,40693
20.045,40707
20.145,40709
20.245,40710
20.345,40717
20.445,40717
20.545,40727
20.646,40727
20.746,40727
20.846,40731
20.946,40733
21.047,40738
21.147,40748
21.247,40748
21.347,40758
21.447,40759
21.547,40759
21.648,40759
21.748,40759
21.848,40759
21.948,40764
22.049,40770
22.149,40776
22.249,40776
22.349,40779
22.449,40780
22.550,40781
22.650,40781
22.750,40789
22.850,40789
22.950,40799
23.051,40802
23.151,40812
23.251,40816
23.351,40817
23.451,40819
23.552,40819
23.652,40827
23.752,40828
23.852,40828
23.953,40833
24.053,40833
24.153,40838
24.253,40842
24.353,40845
24.454,40845
24.554,40846
24.654,40847
24.754,40849
24.854,40849
24.955,40855
25.055,40863
25.155,40868
25.255,40871
25.355,40874
25.456,40875
25.556,40876
25.656,40876
25.756,40880
25.856,40883
25.957,40883
26.057,40883
26.157,40888
26.257,40892
26.358,40900
26.458,40901
26.558,40907
26.658,40909
26.758,40909
26.858,40917
26.959,40918
27.059,40919
27.159,40919
27.259,40921
27.360,40928
27.460,40932
27.560,40945
27.660,40946
27.760,40946
27.860,40946
27.961,40946
28.061,40946
28.161,40946
28.261,40954
28.361,40956
28.462,40967
28.562,40970
28.662,40977
28.762,40977
28.862,40977
28.963,40977
29.063,40977
29.163,40977
29.263,40979
29.363,40985
29.464,40990
29.564,41004
29.664,41005
29.764,41005
29.864,41005
29.965,41005
30.065,41013
30.165,41013
30.265,41015
30.366,41023
30.466,41023
30.566,41028
30.666,41041
30.766,41045
30.867,41045
30.967,41045
31.067,41045
31.167,41053
31.267,41059
31.368,41065
31.468,41082
31.568,41086
31.670,41087
31.768,41103
31.869,41103
31.969,41103
32.069,41103
32.169,41103
32.269,41103
32.370,41104
32.470,41116
32.570,41128
32.670,41133
32.770,41133
32.870,41133
32.971,41139
33.071,41139
33.171,41139
33.271,41139
33.371,41139
33.472,41147
33.572,41149
33.673,41163
33.772,41164
33.873,41173
33.973,41173
34.073,41173
34.174,41173
34.273,41173
34.373,41173
34.474,41181
34.574,41189
34.674,41196
34.774,41199
