TO_UM
1462163728
time,tx_packets
0.001,143866
0.101,143880
0.201,143889
0.301,143890
0.401,143896
0.501,143900
0.601,143900
0.702,143911
0.802,143912
0.902,143912
1.002,143915
1.102,143915
1.202,143915
1.303,143915
1.403,143915
1.503,143915
1.604,143915
1.703,143915
1.803,143915
1.904,143915
2.004,143915
2.105,143916
2.205,143916
2.305,143917
2.406,143917
2.505,143917
2.606,143922
2.706,143931
2.807,143941
2.906,143951
3.006,143961
3.106,143971
3.207,143981
3.307,143991
3.407,144001
3.507,144011
3.607,144021
3.707,144031
3.807,144041
3.907,144051
4.008,144061
4.108,144071
4.208,144084
4.308,144096
4.408,144106
4.508,144116
4.609,144136
4.709,144147
4.809,144157
4.909,144168
5.009,144178
5.110,144189
5.210,144197
5.310,144213
5.410,144223
5.510,144233
5.611,144243
5.711,144253
5.811,144263
5.911,144273
6.011,144283
6.112,144293
6.212,144303
6.312,144313
6.412,144323
6.513,144333
7.613,144555
7.713,144566
7.813,144577
7.913,144588
8.014,144613
8.114,144631
8.214,144644
8.314,144655
8.414,144665
8.515,144675
8.615,144695
8.715,144705
8.815,144715
8.915,144725
9.016,144735
9.116,144745
9.216,144755
9.316,144765
9.416,144775
9.516,144785
9.617,144794
9.717,144805
9.817,144811
9.917,144825
10.018,144835
10.118,144845
10.218,144855
10.318,144865
10.418,144875
10.518,144885
10.619,144895
10.719,144905
10.819,144915
10.919,144925
11.019,144935
11.120,144945
11.220,144955
11.320,144965
11.420,144976
11.521,144986
11.621,144996
11.721,145006
11.821,145016
11.921,145026
12.022,145047
12.122,145058
12.222,145079
12.322,145097
12.423,145113
12.523,145130
12.623,145156
12.723,145182
12.823,145198
12.923,145225
13.024,145240
13.124,145256
13.224,145284
13.324,145309
13.424,145322
13.524,145343
13.624,145354
13.725,145364
13.825,145375
13.925,145385
14.025,145395
14.125,145405
14.225,145416
14.325,145426
14.426,145436
14.526,145446
14.626,145456
14.726,145466
14.826,145476
14.927,145486
15.027,145496
15.127,145506
15.227,145516
15.327,145526
15.427,145536
15.528,145546
15.628,145556
15.728,145566
15.828,145576
15.928,145586
16.029,145596
16.129,145606
16.229,145616
16.329,145626
16.429,145636
16.529,145646
16.630,145656
16.730,145666
16.830,145676
16.930,145687
17.030,145697
17.131,145713
17.231,145724
17.331,145735
17.431,145745
17.531,145755
17.632,145767
17.732,145777
17.832,145788
17.932,145798
18.032,145808
18.132,145818
18.233,145828
18.333,145838
18.433,145848
18.533,145858
18.633,145868
18.734,145878
18.834,145888
18.934,145898
19.034,145908
19.134,145918
19.235,145928
19.335,145938
19.435,145948
19.535,145958
19.635,145968
19.736,145978
19.836,145988
19.936,145998
20.036,146008
20.136,146018
20.237,146028
20.337,146038
20.437,146048
20.537,146058
20.637,146068
20.738,146078
20.838,146088
20.938,146098
21.038,146108
21.139,146118
21.239,146128
21.339,146138
21.440,146148
21.539,146162
21.639,146172
21.740,146183
21.840,146196
21.941,146207
22.041,146218
22.141,146228
22.242,146238
22.342,146248
22.442,146258
22.542,146268
22.642,146278
22.743,146288
22.843,146298
22.943,146308
23.043,146318
23.144,146328
23.244,146338
23.344,146348
23.444,146358
23.545,146367
23.645,146378
23.745,146388
23.845,146398
23.946,146408
24.046,146419
24.146,146429
24.246,146439
24.347,146448
24.447,146459
24.547,146469
24.647,146479
24.747,146489
24.847,146499
24.947,146509
25.047,146519
25.148,146529
25.248,146539
25.348,146549
25.448,146560
25.548,146570
25.648,146580
25.749,146591
25.849,146607
25.949,146620
26.049,146639
26.149,146650
26.249,146666
26.350,146691
26.450,146717
26.550,146728
26.650,146738
26.750,146773
26.850,146807
26.950,146835
27.051,146849
27.151,146873
27.251,146887
27.353,146915
27.451,146939
27.552,146953
27.652,146966
27.752,146976
27.852,146988
27.952,147005
28.052,147015
28.153,147027
28.253,147045
28.353,147051
28.453,147053
28.553,147053
28.653,147053
28.754,147053
28.854,147063
28.954,147064
29.054,147064
29.154,147064
29.255,147064
29.356,147064
29.455,147064
29.555,147073
29.656,147075
29.755,147075
29.856,147075
29.956,147075
30.056,147075
30.156,147075
30.256,147075
30.357,147075
30.457,147075
30.557,147075
30.657,147075
30.757,147075
30.858,147075
30.958,147075
31.058,147075
31.158,147075
31.259,147075
31.359,147075
31.459,147075
31.559,147075
31.660,147075
31.760,147075
31.860,147075
31.960,147075
32.061,147077
32.161,147089
32.261,147098
32.361,147107
32.462,147109
32.562,147113
32.662,147128
32.762,147132
32.863,147136
32.963,147136
33.063,147138
33.163,147138
33.264,147148
33.364,147150
33.464,147151
33.565,147151
33.665,147151
33.765,147151
33.865,147151
33.966,147151
34.066,147151
34.166,147151
34.266,147151
34.367,147151
34.467,147151
34.567,147151
34.667,147151
34.768,147151
34.868,147161
