TO_VERISIGN
1462163728
time,tx_packets
0.001,36713
0.101,36718
0.201,36723
0.301,36723
0.401,36724
0.502,36726
0.602,36726
0.702,36731
0.802,36731
0.902,36731
1.003,36731
1.104,36731
1.203,36731
1.303,36731
1.403,36731
1.504,36731
1.604,36731
1.704,36731
1.804,36731
1.904,36731
2.004,36731
2.105,36732
2.205,36732
2.305,36732
2.405,36732
2.505,36732
2.606,36732
2.706,36732
2.806,36732
2.906,36732
3.006,36732
3.107,36732
3.207,36732
3.307,36732
3.407,36732
3.507,36732
3.607,36732
3.708,36732
3.808,36732
3.908,36732
4.008,36732
4.108,36732
4.208,36738
4.309,36738
4.409,36738
4.509,36739
4.609,36739
4.709,36739
4.809,36739
4.910,36740
5.010,36740
5.110,36741
5.210,36741
5.310,36741
5.411,36741
5.511,36741
5.611,36741
5.711,36741
5.811,36741
5.912,36741
6.012,36741
6.112,36741
6.212,36741
6.312,36741
6.413,36741
6.513,36741
6.613,36741
6.713,36746
6.813,36753
6.913,36763
7.014,36770
7.114,36778
7.214,36785
7.315,36785
7.415,36785
7.515,36796
7.615,36798
7.715,36800
7.815,36800
7.916,36800
8.016,36807
8.116,36812
8.216,36814
8.316,36814
8.417,36814
8.517,36814
8.617,36819
8.717,36819
8.817,36819
8.918,36819
9.018,36819
9.118,36819
9.218,36820
9.319,36820
9.419,36820
9.519,36820
9.619,36820
9.719,36820
9.819,36820
9.920,36820
10.020,36820
10.120,36820
10.220,36820
10.320,36820
10.421,36820
10.521,36820
10.621,36820
10.721,36820
10.821,36820
10.921,36820
11.021,36820
11.122,36820
11.222,36820
11.322,36820
11.422,36821
11.523,36821
11.623,36821
11.723,36821
11.824,36821
11.924,36821
12.024,36826
12.124,36826
12.225,36836
12.325,36842
12.425,36846
12.525,36852
12.626,36864
12.726,36869
12.826,36873
12.926,36885
13.027,36889
13.127,36889
13.227,36901
13.327,36909
13.427,36909
13.528,36914
13.628,36916
13.729,36916
13.829,36916
13.929,36916
14.029,36916
14.129,36916
14.229,36916
14.330,36916
14.430,36916
14.530,36916
14.630,36916
14.730,36916
14.831,36916
14.931,36916
15.031,36916
15.131,36916
15.231,36916
15.332,36916
15.432,36916
15.532,36916
15.633,36916
15.733,36916
15.833,36916
15.933,36916
16.033,36916
16.134,36916
16.234,36916
16.334,36916
16.434,36916
16.534,36916
16.635,36916
16.735,36916
16.835,36916
16.935,36916
17.036,36916
17.136,36920
17.236,36920
17.336,36923
17.436,36923
17.537,36923
17.637,36924
17.737,36924
17.837,36924
17.938,36924
18.038,36924
18.138,36924
18.238,36924
18.338,36924
18.439,36924
18.539,36924
18.639,36924
18.739,36924
18.840,36924
18.940,36924
19.040,36924
19.141,36924
19.241,36924
19.340,36924
19.441,36924
19.541,36924
19.641,36924
19.742,36924
19.842,36924
19.942,36924
20.042,36924
20.143,36924
20.243,36924
20.343,36924
20.443,36924
20.544,36924
20.644,36924
20.745,36924
20.844,36924
20.945,36924
21.045,36924
21.145,36924
21.245,36924
21.345,36924
21.446,36924
21.546,36926
21.646,36926
21.746,36926
21.847,36928
21.947,36928
22.047,36929
22.147,36930
22.247,36930
22.347,36930
22.447,36930
22.548,36930
22.648,36930
22.748,36930
22.848,36930
22.948,36930
23.048,36930
23.149,36930
23.249,36930
23.349,36930
23.449,36930
23.549,36930
23.649,36930
23.750,36930
23.850,36930
23.950,36930
24.050,36930
24.150,36930
24.251,36930
24.353,36930
24.451,36930
24.551,36930
24.651,36930
24.752,36930
24.851,36930
24.952,36930
25.052,36930
25.152,36930
25.252,36930
25.353,36930
25.453,36930
25.553,36930
25.653,36930
25.753,36930
25.854,36933
25.954,36936
26.054,36940
26.154,36942
26.255,36945
26.355,36958
26.455,36967
26.555,36967
26.655,36967
26.755,36987
26.857,36996
26.956,37004
27.056,37005
27.156,37019
27.257,37019
27.357,37030
27.457,37037
27.557,37037
27.658,37037
27.757,37037
27.858,37039
27.958,37044
28.059,37046
28.159,37047
28.259,37051
28.359,37051
28.459,37051
28.560,37051
28.660,37051
28.760,37051
28.861,37056
28.961,37056
29.061,37056
29.161,37056
29.261,37056
29.362,37056
29.462,37056
29.563,37060
29.663,37061
29.763,37061
29.864,37061
29.964,37061
30.064,37061
30.164,37061
30.264,37061
30.364,37061
30.465,37061
30.565,37061
30.665,37061
30.765,37061
30.866,37061
30.966,37061
31.066,37061
31.167,37061
31.267,37061
31.368,37061
31.467,37061
31.568,37061
31.668,37061
31.768,37061
31.868,37061
31.969,37061
32.069,37063
32.169,37071
32.270,37076
32.370,37081
32.470,37081
32.570,37086
32.671,37091
32.771,37091
32.871,37094
32.971,37095
33.072,37095
33.172,37096
33.272,37100
33.372,37100
33.473,37100
33.573,37100
33.673,37100
33.773,37100
33.874,37100
33.974,37100
34.074,37100
34.175,37100
34.275,37100
34.375,37100
34.475,37100
34.575,37100
34.676,37100
34.775,37100
34.875,37108
