FROM_ORANGE
1462163777
time,rx_packets
0.001,43423
0.101,43423
0.201,43423
0.301,43423
0.402,43423
0.502,43423
0.602,43423
0.702,43423
0.802,43423
0.903,43423
1.003,43423
1.103,43423
1.203,43423
1.303,43423
1.404,43423
1.504,43423
1.604,43423
1.704,43423
1.804,43423
1.905,43423
2.005,43423
2.105,43423
2.205,43423
2.305,43423
2.406,43423
2.506,43423
2.606,43423
2.706,43428
2.806,43433
2.907,43434
3.007,43435
3.107,43437
3.207,43439
3.308,43441
3.408,43442
3.508,43444
3.608,43446
3.708,43448
3.809,43450
3.909,43451
4.009,43453
4.109,43455
4.209,43457
4.310,43462
4.410,43463
4.510,43464
4.610,43523
4.710,43528
4.811,43533
4.911,43538
5.011,43543
5.111,43548
5.211,43553
5.312,43557
5.412,43560
5.512,43563
5.612,43567
5.712,43570
5.813,43573
5.913,43576
6.013,43579
6.113,43582
6.214,43585
6.314,43589
6.414,43592
6.514,43595
6.614,43599
6.715,43603
6.815,43633
6.915,43638
7.015,43643
7.115,43648
7.216,43653
7.316,43658
7.416,43663
7.516,43668
7.616,43673
7.717,43679
7.817,43684
7.917,43689
8.017,43694
8.117,43699
8.218,43704
8.318,43709
8.418,43714
8.518,43719
8.618,43724
8.719,43729
8.819,43734
8.919,43739
9.019,43744
9.119,43749
9.220,43754
9.320,43759
9.420,43764
9.520,43769
9.621,43774
9.721,43779
9.821,43784
9.921,43789
10.021,43794
10.122,43799
10.222,43804
10.322,43809
10.422,43814
10.522,43820
10.623,43825
10.723,43830
10.823,43835
10.923,43840
11.023,43845
11.124,43850
11.224,43855
11.324,43860
11.424,43865
11.525,43870
11.625,43875
11.725,43880
11.825,43885
11.925,43890
12.026,43895
12.126,43900
12.226,43905
12.326,43910
12.426,43915
12.527,43920
12.627,43925
12.727,43931
12.827,43936
12.927,43941
13.028,43946
13.128,43951
13.228,43956
13.328,43961
13.428,43966
13.529,43971
13.629,43976
13.729,43981
13.829,43986
13.930,43991
14.030,43996
14.130,44001
14.230,44006
14.330,44011
14.431,44016
14.531,44021
14.631,44026
14.731,44031
14.831,44036
14.932,44041
15.032,44046
15.132,44051
15.232,44056
15.332,44061
15.433,44066
15.533,44071
15.633,44076
15.733,44081
15.833,44086
15.934,44091
16.034,44096
16.134,44101
16.234,44106
16.334,44111
16.435,44116
16.535,44121
16.635,44126
16.735,44131
16.836,44136
16.936,44141
17.036,44146
17.136,44151
17.236,44156
17.337,44162
17.437,44167
17.537,44172
17.637,44177
17.737,44182
17.838,44187
17.938,44192
18.038,44197
18.138,44202
18.238,44207
18.339,44212
18.439,44217
18.539,44222
18.639,44227
18.739,44232
18.840,44237
18.940,44242
19.040,44247
19.140,44252
19.241,44257
19.341,44262
19.441,44267
19.541,44272
19.641,44277
19.742,44282
19.842,44287
19.942,44292
20.042,44297
20.143,44302
20.243,44307
20.343,44312
20.443,44317
20.543,44322
20.644,44327
20.744,44332
20.844,44337
20.944,44342
21.044,44347
21.145,44352
21.245,44357
21.345,44363
21.445,44368
21.545,44373
21.646,44378
21.746,44383
21.846,44388
21.946,44393
22.046,44398
22.147,44403
22.247,44408
22.347,44410
22.447,44418
22.547,44423
22.648,44428
22.748,44433
22.848,44438
22.948,44443
23.048,44448
23.149,44453
23.249,44458
23.349,44462
23.449,44468
23.549,44473
23.650,44478
23.750,44483
23.850,44488
23.950,44493
24.050,44498
24.151,44503
24.251,44508
24.351,44513
24.451,44518
24.551,44521
24.652,44528
24.752,44533
24.852,44538
24.952,44543
25.053,44548
25.153,44553
25.253,44558
25.353,44563
25.453,44568
25.554,44573
25.654,44578
25.754,44583
25.854,44588
25.954,44590
26.055,44598
26.155,44603
26.255,44608
26.355,44613
26.455,44618
26.556,44623
26.656,44628
26.756,44631
26.856,44638
26.956,44643
27.057,44648
27.157,44653
27.257,44658
27.357,44663
27.457,44668
27.558,44673
27.658,44678
27.758,44683
27.858,44688
27.958,44693
28.059,44698
28.159,44703
28.259,44708
28.359,44713
28.459,44714
28.560,44714
28.660,44714
28.760,44714
28.860,44714
28.960,44714
29.061,44714
29.161,44714
29.261,44714
29.361,44714
29.461,44714
29.561,44714
29.661,44714
29.762,44714
29.862,44714
29.962,44714
30.062,44714
30.162,44714
30.263,44714
30.363,44714
30.463,44714
30.563,44714
30.663,44714
30.764,44714
30.864,44714
30.964,44714
31.064,44714
31.164,44714
31.265,44714
31.365,44714
31.465,44714
31.565,44714
31.665,44714
31.766,44714
31.866,44714
31.966,44714
32.066,44714
32.167,44714
32.267,44714
32.367,44714
32.467,44714
32.567,44714
32.668,44714
32.768,44714
32.868,44714
32.968,44714
33.068,44714
33.169,44714
33.269,44714
33.369,44714
33.469,44714
33.569,44714
33.670,44714
33.770,44714
33.870,44714
33.970,44714
34.071,44714
34.171,44714
34.271,44714
34.371,44714
34.471,44714
34.572,44714
34.672,44714
34.772,44714
34.872,44714
34.973,44714
35.073,44714
35.173,44714
35.274,44714
35.374,44714
35.474,44714
35.574,44714
