TO_CLIENT
1462163777
time,tx_packets
0.001,42710
0.101,42710
0.201,42710
0.302,42710
0.402,42710
0.503,42710
0.603,42710
0.703,42710
0.803,42710
0.903,42710
1.004,42710
1.104,42710
1.204,42710
1.304,42710
1.405,42710
1.505,42710
1.605,42710
1.705,42710
1.806,42710
1.906,42710
2.006,42710
2.107,42710
2.207,42710
2.307,42710
2.407,42710
2.507,42710
2.608,42710
2.708,42712
2.808,42717
2.908,42721
3.008,42721
3.109,42722
3.209,42723
3.309,42725
3.410,42727
3.510,42728
3.610,42730
3.710,42732
3.812,42734
3.911,42736
4.013,42737
4.111,42739
4.212,42741
4.312,42743
4.413,42750
4.512,42750
4.613,42755
4.714,42764
4.813,42773
4.913,42781
5.014,42790
5.114,42799
5.214,42808
5.314,42817
5.414,42825
5.515,42834
5.614,42843
5.715,42852
5.815,42857
5.915,42860
6.016,42863
6.115,42866
6.216,42869
6.316,42872
6.418,42876
6.518,42879
6.617,42882
6.719,42889
6.820,42894
6.918,42903
7.019,42912
7.120,42921
7.220,42930
7.320,42938
7.420,42947
7.520,42953
7.621,42959
7.720,42964
7.820,42969
7.922,42974
8.022,42979
8.122,42984
8.223,42989
8.323,42994
8.423,42999
8.523,43004
8.624,43009
8.724,43014
8.824,43019
8.925,43024
9.025,43029
9.125,43034
9.225,43039
9.326,43044
9.426,43049
9.527,43054
9.627,43059
9.727,43064
9.827,43069
9.927,43074
10.028,43079
10.128,43084
10.228,43089
10.328,43094
10.428,43099
10.529,43104
10.629,43109
10.729,43114
10.829,43120
10.929,43125
11.030,43130
11.130,43135
11.230,43140
11.330,43145
11.430,43150
11.530,43155
11.630,43160
11.731,43165
11.831,43170
11.931,43175
12.031,43180
12.131,43185
12.232,43190
12.332,43195
12.432,43200
12.532,43205
12.632,43211
12.732,43216
12.833,43221
12.933,43226
13.033,43231
13.133,43236
13.233,43241
13.334,43246
13.434,43251
13.534,43256
13.634,43261
13.734,43266
13.835,43271
13.935,43276
14.035,43281
14.135,43286
14.235,43291
14.336,43296
14.436,43301
14.536,43306
14.636,43311
14.736,43316
14.837,43321
14.937,43326
15.037,43331
15.137,43336
15.237,43341
15.338,43346
15.438,43351
15.538,43356
15.638,43361
15.738,43366
15.839,43371
15.939,43376
16.039,43381
16.139,43386
16.239,43391
16.340,43396
16.440,43401
16.540,43406
16.640,43411
16.740,43416
16.841,43421
16.941,43426
17.041,43431
17.141,43436
17.241,43441
17.342,43446
17.442,43451
17.542,43456
17.642,43461
17.742,43466
17.843,43471
17.943,43476
18.043,43482
18.143,43487
18.243,43492
18.343,43497
18.444,43502
18.544,43507
18.644,43512
18.744,43517
18.844,43522
18.945,43527
19.045,43532
19.145,43537
19.245,43542
19.345,43547
19.446,43552
19.546,43557
19.646,43562
19.746,43567
19.846,43572
19.947,43577
20.047,43582
20.147,43587
20.247,43592
20.347,43597
20.448,43602
20.548,43607
20.648,43612
20.748,43617
20.848,43622
20.949,43626
21.049,43632
21.149,43637
21.249,43642
21.350,43647
21.450,43652
21.550,43657
21.650,43662
21.750,43667
21.851,43672
21.951,43677
22.051,43682
22.151,43687
22.251,43690
22.351,43696
22.452,43702
22.552,43707
22.652,43712
22.752,43717
22.852,43722
22.953,43727
23.053,43732
23.153,43737
23.253,43742
23.353,43746
23.453,43751
23.554,43757
23.654,43762
23.754,43767
23.854,43772
23.954,43777
24.055,43782
24.155,43787
24.255,43792
24.355,43797
24.456,43802
24.556,43804
24.656,43812
24.756,43817
24.856,43822
24.956,43827
25.057,43832
25.157,43837
25.257,43842
25.357,43847
25.457,43852
25.557,43857
25.658,43862
25.758,43867
25.858,43872
25.958,43876
26.059,43881
26.159,43887
26.259,43892
26.359,43897
26.459,43902
26.559,43907
26.660,43912
26.760,43917
26.860,43922
26.960,43927
27.060,43932
27.160,43937
27.261,43942
27.361,43947
27.461,43952
27.561,43957
27.661,43962
27.762,43967
27.862,43972
27.962,43977
28.062,43982
28.162,43987
28.263,43992
28.363,43997
28.463,44000
28.563,44000
28.663,44000
28.764,44000
28.867,44000
28.964,44000
29.064,44000
29.164,44000
29.264,44000
29.365,44000
29.465,44000
29.565,44000
29.665,44000
29.765,44000
29.866,44000
29.966,44000
30.066,44000
30.166,44000
30.266,44000
30.367,44000
30.466,44000
30.567,44000
30.668,44000
30.768,44000
30.869,44000
30.967,44000
31.067,44000
31.168,44000
31.268,44000
31.370,44000
31.469,44000
31.570,44000
31.670,44000
31.769,44000
31.870,44000
31.969,44000
32.070,44000
32.170,44000
32.270,44000
32.370,44000
32.471,44000
32.571,44000
32.671,44000
32.770,44000
32.872,44000
32.971,44000
33.072,44000
33.172,44000
33.272,44000
33.372,44000
33.472,44000
33.573,44000
33.671,44000
33.772,44000
33.874,44000
33.974,44000
34.074,44000
34.175,44000
34.275,44000
34.375,44000
34.476,44000
34.575,44000
34.676,44000
34.776,44000
