FROM_KISTI
1462163508
time,rx_packets
0.001,2361
0.101,2361
0.201,2361
0.301,2361
0.402,2361
0.502,2361
0.602,2361
0.702,2361
0.802,2361
0.903,2361
1.003,2361
1.103,2361
1.203,2361
1.303,2361
1.404,2361
1.504,2361
1.604,2361
1.704,2361
1.805,2361
1.905,2361
2.005,2361
2.105,2361
2.205,2361
2.306,2361
2.406,2361
2.506,2361
2.606,2361
2.706,2361
2.807,2361
2.907,2361
3.007,2361
3.107,2361
3.207,2361
3.308,2361
3.408,2361
3.508,2361
3.608,2361
3.708,2361
3.809,2361
3.909,2361
4.009,2361
4.109,2361
4.209,2361
4.310,2361
4.410,2361
4.510,2361
4.610,2361
4.711,2361
4.811,2361
4.911,2361
5.011,2361
5.111,2361
5.212,2361
5.312,2361
5.412,2361
5.512,2361
5.612,2361
5.713,2361
5.813,2361
5.913,2361
6.013,2361
6.113,2361
6.214,2361
6.314,2361
6.414,2361
6.514,2361
6.614,2361
6.715,2361
6.815,2361
6.915,2361
7.015,2361
7.115,2361
7.216,2361
7.316,2361
7.416,2361
7.516,2361
7.617,2361
7.717,2361
7.817,2361
7.917,2361
8.017,2361
8.118,2361
8.218,2361
8.318,2361
8.418,2361
8.518,2361
8.619,2361
8.719,2361
8.819,2361
8.919,2361
9.019,2361
9.120,2361
9.220,2361
9.320,2361
9.420,2361
9.520,2361
9.621,2361
9.721,2361
9.821,2361
9.921,2361
10.021,2361
10.122,2361
10.222,2361
10.322,2361
10.422,2361
10.523,2361
10.623,2361
10.723,2361
10.823,2361
10.923,2361
11.024,2361
11.124,2361
11.224,2361
11.324,2361
11.424,2361
11.525,2361
11.625,2361
11.725,2361
11.825,2361
11.925,2361
12.026,2361
12.126,2361
12.226,2361
12.326,2361
12.427,2361
12.527,2361
12.627,2361
12.727,2361
12.828,2361
12.928,2361
13.028,2361
13.128,2361
13.228,2361
13.329,2361
13.429,2361
13.529,2361
13.629,2361
13.729,2361
13.830,2361
13.930,2361
14.030,2361
14.130,2361
14.230,2361
14.331,2361
14.431,2361
14.531,2361
14.631,2361
14.731,2361
14.832,2361
14.932,2366
15.032,2371
15.132,2376
15.232,2381
15.333,2386
15.433,2391
15.533,2396
15.633,2401
15.733,2406
15.834,2411
15.934,2416
16.034,2421
16.134,2426
16.235,2431
16.335,2436
16.435,2442
16.535,2446
16.635,2452
16.736,2457
16.836,2462
16.936,2467
17.036,2472
17.136,2477
17.237,2482
17.337,2487
17.437,2492
17.537,2497
17.637,2502
17.738,2507
17.838,2512
17.938,2517
18.038,2522
18.139,2527
18.239,2532
18.339,2537
18.439,2542
18.539,2547
18.640,2552
18.740,2557
18.840,2562
18.940,2567
19.040,2572
19.141,2577
19.241,2582
19.341,2587
19.441,2592
19.542,2597
19.642,2602
19.742,2607
19.842,2612
19.942,2616
20.043,2623
20.143,2628
20.243,2633
20.343,2638
20.443,2643
20.544,2648
20.644,2653
20.744,2658
20.844,2663
20.944,2668
21.045,2673
21.145,2678
21.245,2683
21.345,2688
21.446,2693
21.546,2698
21.646,2703
21.746,2708
21.846,2713
21.946,2718
22.047,2723
22.147,2728
22.247,2733
22.347,2738
22.448,2743
22.548,2748
22.648,2753
22.748,2758
22.848,2763
22.949,2768
23.049,2773
23.149,2778
23.249,2783
23.349,2788
23.449,2793
23.550,2798
23.650,2803
23.750,2806
23.850,2813
23.950,2816
24.051,2823
24.151,2828
24.251,2833
24.351,2838
24.451,2843
24.552,2848
24.652,2853
24.752,2858
24.852,2863
24.952,2868
25.053,2873
25.153,2878
25.253,2883
25.353,2888
25.453,2893
25.554,2898
25.654,2903
25.754,2903
25.854,2903
25.955,2903
26.055,2903
26.155,2903
26.255,2903
26.355,2903
26.456,2903
26.556,2903
26.656,2903
26.756,2903
26.856,2903
26.957,2903
27.057,2903
27.157,2903
27.257,2903
27.357,2903
27.458,2903
27.558,2903
27.658,2903
27.758,2903
27.858,2903
27.959,2903
28.059,2903
28.159,2903
28.259,2903
28.359,2903
28.460,2903
28.560,2903
28.660,2903
28.760,2903
28.860,2903
28.961,2903
29.061,2903
29.161,2903
29.261,2903
29.362,2903
29.462,2903
29.562,2903
29.662,2903
29.762,2903
29.863,2903
29.963,2903
30.063,2903
30.163,2903
30.263,2903
30.364,2903
30.464,2903
30.564,2903
30.664,2903
30.764,2903
30.865,2903
30.965,2903
31.065,2903
31.165,2903
31.265,2903
31.366,2903
31.466,2903
31.566,2903
31.666,2903
31.766,2903
31.867,2903
31.967,2903
32.067,2903
32.167,2903
32.267,2903
32.368,2903
32.468,2903
32.568,2903
32.668,2903
32.768,2903
32.869,2903
32.969,2903
33.069,2903
33.169,2903
33.269,2903
33.370,2903
33.470,2903
33.570,2903
33.670,2903
33.770,2903
33.871,2903
33.971,2903
34.071,2903
34.171,2903
34.271,2903
34.372,2903
34.472,2903
34.572,2903
34.672,2903
34.772,2903
34.873,2903
34.973,2903
35.073,2903
35.173,2903
35.273,2903
35.374,2903
35.474,2903
35.574,2903
35.674,2903
35.775,2903
35.875,2903
35.975,2903
36.075,2903
36.175,2903
36.276,2903
36.376,2903
36.476,2903
36.576,2903
36.676,2903
36.777,2903
36.877,2903
36.977,2903
37.077,2903
37.177,2903
37.278,2903
37.378,2903
37.478,2903
37.578,2903
37.679,2903
37.779,2903
