TO_UIUC
1462163608
time,tx_packets
0.001,34613
0.101,34613
0.201,34613
0.301,34613
0.401,34614
0.502,34614
0.602,34615
0.702,34615
0.802,34615
0.903,34615
1.003,34615
1.103,34615
1.203,34615
1.303,34615
1.404,34615
1.504,34615
1.604,34615
1.704,34615
1.804,34616
1.905,34616
2.005,34616
2.105,34619
2.205,34620
2.306,34621
2.406,34621
2.506,34621
2.606,34621
2.706,34621
2.807,34621
2.907,34621
3.007,34621
3.107,34621
3.207,34622
3.307,34622
3.408,34622
3.508,34622
3.608,34622
3.708,34622
3.809,34622
3.909,34622
4.009,34622
4.109,34622
4.210,34622
4.310,34623
4.410,34623
4.510,34623
4.610,34624
4.711,34625
4.811,34625
4.911,34626
5.011,34626
5.111,34626
5.212,34626
5.312,34626
5.412,34626
5.512,34626
5.612,34626
5.713,34626
5.813,34626
5.913,34626
6.013,34626
6.113,34626
6.214,34626
6.314,34626
6.414,34627
6.514,34627
6.614,34627
6.715,34627
6.815,34627
6.915,34627
7.015,34627
7.115,34627
7.216,34627
7.316,34627
7.416,34627
7.516,34627
7.616,34628
7.716,34628
7.817,34629
7.917,34629
8.017,34629
8.117,34629
8.218,34629
8.318,34630
8.418,34630
8.518,34630
8.618,34630
8.718,34630
8.819,34630
8.919,34630
9.019,34631
9.119,34631
9.219,34631
9.320,34632
9.420,34632
9.520,34632
9.620,34632
9.720,34632
9.821,34632
9.921,34632
10.021,34632
10.121,34632
10.221,34632
10.321,34632
10.422,34632
10.522,34632
10.622,34632
10.722,34633
10.823,34633
10.923,34633
11.023,34633
11.123,34633
11.223,34633
11.324,34633
11.424,34633
11.524,34633
11.624,34633
11.725,34633
11.825,34634
11.925,34634
12.025,34635
12.125,34635
12.226,34635
12.326,34635
12.426,34635
12.526,34636
12.627,34636
12.727,34641
12.827,34646
12.928,34651
13.028,34656
13.128,34662
13.228,34667
13.328,34672
13.428,34677
13.529,34689
13.629,34704
13.729,34720
13.829,34735
13.929,34750
14.029,34765
14.129,34780
14.230,34795
14.330,34813
14.430,34833
14.530,34853
14.630,34871
14.731,34893
14.831,34913
14.931,34933
15.031,34953
15.131,34974
15.231,34994
15.332,35015
15.432,35032
15.533,35055
15.633,35075
15.733,35096
15.833,35116
15.933,35136
16.033,35156
16.134,35176
16.233,35194
16.334,35216
16.434,35236
16.534,35256
16.634,35276
16.733,35296
16.835,35316
16.935,35336
17.035,35356
17.135,35376
17.236,35397
17.336,35418
17.436,35439
17.536,35458
17.636,35478
17.736,35499
17.837,35519
17.937,35540
18.037,35560
18.137,35582
18.237,35602
18.337,35621
18.437,35642
18.538,35662
18.637,35681
18.738,35701
18.837,35721
18.938,35741
19.038,35761
19.138,35781
19.239,35801
19.339,35821
19.439,35841
19.539,35862
19.639,35882
19.740,35902
19.839,35922
19.940,35942
20.039,35962
20.139,35982
20.240,36002
20.339,36025
20.440,36045
20.540,36066
20.640,36086
20.741,36106
20.841,36126
20.941,36146
21.041,36166
21.141,36186
21.241,36206
21.342,36226
21.441,36246
21.542,36267
21.642,36287
21.742,36308
21.842,36329
21.942,36349
22.043,36368
22.143,36389
22.243,36410
22.343,36430
22.443,36449
22.543,36468
22.644,36489
22.744,36508
22.844,36529
22.945,36550
23.045,36570
23.145,36590
23.246,36610
23.346,36630
23.445,36649
23.546,36667
23.646,36689
23.746,36714
23.847,36737
23.947,36761
24.047,36785
24.147,36809
24.247,36832
24.347,36851
24.448,36873
24.549,36888
24.649,36900
24.749,36908
24.850,36911
24.950,36919
25.050,36922
25.150,36925
25.250,36925
25.351,36925
25.450,36925
25.551,36925
25.650,36925
25.751,36926
25.852,36927
25.951,36927
26.052,36927
26.152,36928
26.252,36928
26.352,36928
26.454,36928
26.552,36928
26.653,36928
26.754,36928
26.854,36929
26.955,36929
27.054,36929
27.155,36929
27.255,36929
27.354,36929
27.455,36929
27.556,36929
27.655,36929
27.755,36929
27.855,36929
27.956,36929
28.057,36930
28.157,36930
28.257,36930
28.358,36930
28.457,36930
28.557,36930
28.658,36930
28.757,36930
28.859,36932
28.958,36932
29.058,36933
29.159,36933
29.259,36933
29.359,36933
29.459,36933
29.560,36933
29.659,36933
29.760,36933
29.861,36933
29.960,36933
30.061,36934
30.161,36935
30.261,36935
30.361,36935
30.462,36935
30.561,36935
30.662,36935
30.763,36935
30.863,36935
30.962,36936
31.062,36936
31.163,36936
31.264,36936
31.364,36936
31.464,36936
31.564,36936
31.664,36936
31.765,36936
31.864,36936
31.964,36936
32.065,36936
32.166,36936
32.265,36936
32.365,36937
32.466,36937
32.567,36937
32.667,36937
32.767,36937
32.867,36937
32.968,36937
33.068,36937
33.169,36940
33.269,36940
33.369,36940
33.469,36940
33.569,36940
33.669,36940
33.769,36940
33.870,36940
33.970,36940
34.075,36940
34.170,36940
34.271,36941
34.371,36942
34.471,36942
34.571,36942
34.672,36942
34.772,36942
