FROM_ORANGE
1462163850
time,rx_packets
0.001,44714
0.101,44714
0.201,44714
0.301,44714
0.402,44714
0.502,44714
0.602,44714
0.702,44714
0.803,44714
0.903,44714
1.003,44714
1.103,44714
1.203,44714
1.304,44714
1.404,44714
1.504,44714
1.604,44714
1.704,44714
1.805,44714
1.905,44714
2.005,44714
2.105,44714
2.205,44714
2.306,44714
2.406,44714
2.506,44714
2.606,44714
2.706,44718
2.807,44723
2.907,44728
3.007,44733
3.107,44738
3.207,44743
3.307,44748
3.408,44753
3.508,44758
3.608,44763
3.708,44768
3.808,44773
3.908,44778
4.009,44783
4.109,44788
4.209,44793
4.309,44798
4.409,44803
4.509,44806
4.610,44813
4.710,44818
4.810,44823
4.910,44828
5.010,44833
5.111,44838
5.211,44841
5.311,44848
5.411,44853
5.511,44858
5.611,44863
5.712,44868
5.812,44873
5.912,44878
6.012,44883
6.112,44888
6.213,44893
6.313,44898
6.413,44903
6.513,44908
6.613,44913
6.713,44918
6.814,44923
6.914,44928
7.014,44933
7.114,44938
7.215,44943
7.315,44948
7.415,44953
7.515,44958
7.615,44963
7.716,44969
7.816,44974
7.916,44979
8.016,44984
8.117,44989
8.217,44994
8.317,44999
8.417,45004
8.517,45009
8.617,45014
8.718,45019
8.818,45024
8.918,45029
9.018,45034
9.119,45039
9.219,45044
9.319,45049
9.419,45054
9.519,45059
9.620,45064
9.720,45069
9.820,45074
9.920,45079
10.020,45084
10.121,45089
10.221,45094
10.321,45099
10.421,45104
10.521,45109
10.622,45114
10.722,45119
10.822,45124
10.922,45129
11.023,45134
11.123,45139
11.223,45144
11.323,45149
11.423,45154
11.524,45159
11.624,45164
11.724,45169
11.824,45174
11.924,45179
12.025,45184
12.125,45190
12.225,45194
12.325,45199
12.425,45205
12.526,45210
12.626,45215
12.726,45221
12.826,45226
12.927,45231
13.027,45234
13.127,45234
13.227,45237
13.327,45240
13.427,45244
13.527,45246
13.628,45252
13.728,45254
13.828,45263
13.928,45264
14.028,45270
14.128,45274
14.229,45278
14.329,45285
14.429,45288
14.529,45293
14.629,45299
14.729,45305
14.829,45308
14.930,45315
15.030,45319
15.130,45323
15.230,45329
15.330,45334
15.430,45341
15.531,45348
15.631,45349
15.731,45354
15.831,45359
15.931,45364
16.031,45369
16.131,45375
16.231,45379
16.332,45384
16.432,45389
16.532,45394
16.632,45401
16.732,45405
16.832,45409
16.933,45414
17.033,45419
17.133,45425
17.233,45430
17.333,45438
17.433,45439
17.533,45444
17.633,45449
17.733,45454
17.834,45460
17.934,45465
18.034,45470
18.134,45474
18.234,45479
18.334,45484
18.435,45491
18.535,45497
18.635,45500
18.735,45504
18.835,45509
18.935,45514
19.035,45519
19.135,45524
19.235,45530
19.336,45534
19.436,45539
19.536,45544
19.636,45551
19.736,45557
19.836,45560
19.936,45565
20.036,45569
20.136,45573
20.237,45579
20.337,45584
20.437,45590
20.537,45595
20.637,45600
20.737,45604
20.837,45611
20.937,45617
21.037,45620
21.137,45625
21.237,45629
21.337,45635
21.437,45639
21.537,45644
21.637,45649
21.738,45655
21.838,45659
21.938,45664
22.038,45670
22.138,45677
22.238,45679
22.338,45685
22.438,45689
22.538,45694
22.638,45699
22.739,45705
22.839,45709
22.939,45716
23.039,45722
23.139,45724
23.239,45729
23.339,45733
23.440,45738
23.540,45745
23.640,45750
23.740,45754
23.840,45759
23.940,45764
24.041,45769
24.141,45775
24.241,45784
24.341,45785
24.441,45789
24.541,45794
24.642,45799
24.742,45804
24.842,45810
24.942,45814
25.042,45819
25.142,45824
25.243,45829
25.343,45834
25.443,45843
25.543,45845
25.643,45849
25.743,45854
25.843,45859
25.943,45864
26.043,45870
26.143,45875
26.244,45880
26.344,45887
26.444,45889
26.544,45894
26.644,45900
26.744,45905
26.844,45909
26.945,45915
27.045,45919
27.145,45924
27.245,45930
27.345,45935
27.445,45939
27.545,45947
27.645,45950
27.745,45954
27.846,45959
27.946,45967
28.046,45972
28.146,45975
28.246,45979
28.346,45984
28.446,45992
28.546,45995
28.646,46000
28.746,46003
28.846,46003
28.946,46003
29.047,46003
29.147,46003
29.247,46003
29.347,46003
29.447,46003
29.548,46003
29.648,46003
29.748,46003
29.848,46003
29.948,46003
30.048,46003
30.148,46003
30.249,46003
30.349,46003
30.449,46003
30.549,46003
30.649,46003
30.749,46003
30.849,46003
30.950,46003
31.050,46003
31.150,46003
31.250,46003
31.350,46003
31.450,46003
31.550,46003
31.651,46003
31.751,46003
31.851,46003
31.951,46003
32.051,46003
32.151,46003
32.251,46003
32.351,46003
32.452,46003
32.552,46003
32.652,46003
32.752,46003
32.852,46003
32.952,46003
33.052,46003
33.153,46003
33.253,46003
33.353,46003
33.453,46003
33.553,46003
33.653,46003
33.753,46003
33.854,46003
33.954,46003
34.054,46003
34.154,46003
34.254,46003
34.354,46003
34.454,46003
34.554,46003
34.655,46003
34.755,46003
34.855,46003
34.955,46003
35.055,46003
35.155,46003
35.255,46003
35.356,46003
35.456,46003
35.556,46003
