TO_CLIENT
1462163850
time,tx_packets
0.001,44000
0.101,44000
0.201,44000
0.301,44000
0.401,44000
0.502,44000
0.602,44000
0.702,44000
0.802,44000
0.903,44000
1.003,44000
1.103,44000
1.204,44000
1.304,44000
1.404,44000
1.504,44000
1.605,44000
1.705,44000
1.805,44000
1.905,44000
2.005,44000
2.106,44000
2.206,44000
2.306,44000
2.406,44000
2.507,44000
2.607,44000
2.707,44002
2.807,44007
2.907,44012
3.008,44017
3.108,44022
3.208,44027
3.308,44032
3.408,44037
3.508,44042
3.608,44047
3.709,44052
3.809,44057
3.909,44062
4.009,44067
4.109,44072
4.209,44077
4.310,44082
4.410,44087
4.510,44092
4.610,44095
4.710,44102
4.810,44107
4.911,44112
5.010,44117
5.111,44122
5.211,44124
5.311,44132
5.411,44137
5.512,44142
5.612,44147
5.712,44152
5.812,44157
5.912,44162
6.012,44167
6.113,44172
6.212,44177
6.312,44182
6.413,44187
6.514,44192
6.613,44197
6.714,44202
6.813,44207
6.914,44212
7.014,44217
7.114,44222
7.214,44227
7.315,44232
7.416,44237
7.516,44242
7.615,44248
7.716,44253
7.816,44258
7.916,44263
8.017,44268
8.117,44273
8.217,44278
8.317,44283
8.417,44288
8.517,44293
8.617,44298
8.718,44303
8.818,44308
8.918,44313
9.019,44318
9.119,44323
9.218,44328
9.319,44333
9.419,44338
9.520,44343
9.619,44348
9.720,44353
9.820,44358
9.920,44363
10.020,44368
10.120,44373
10.221,44378
10.321,44383
10.422,44388
10.521,44393
10.621,44398
10.722,44403
10.821,44408
10.922,44413
11.022,44418
11.123,44423
11.222,44428
11.323,44433
11.423,44438
11.523,44443
11.623,44448
11.725,44453
11.825,44458
11.926,44464
12.026,44468
12.126,44473
12.225,44478
12.326,44484
12.426,44488
12.526,44493
12.629,44498
12.729,44498
12.828,44498
12.929,44500
13.028,44504
13.129,44510
13.229,44518
13.329,44527
13.430,44536
13.530,44541
13.629,44546
13.731,44551
13.830,44556
13.930,44561
14.030,44566
14.130,44571
14.230,44576
14.332,44581
14.432,44586
14.532,44591
14.631,44596
14.731,44601
14.831,44606
14.931,44611
15.031,44616
15.131,44621
15.232,44626
15.332,44631
15.432,44636
15.532,44641
15.632,44646
15.733,44651
15.833,44656
15.933,44661
16.033,44666
16.133,44671
16.233,44674
16.334,44681
16.434,44686
16.534,44691
16.634,44696
16.734,44701
16.834,44706
16.934,44711
17.035,44716
17.135,44721
17.235,44726
17.335,44731
17.435,44736
17.536,44741
17.636,44746
17.736,44751
17.836,44756
17.937,44761
18.037,44766
18.137,44771
18.237,44776
18.338,44781
18.438,44786
18.538,44791
18.638,44796
18.739,44801
18.839,44806
18.939,44811
19.039,44816
19.139,44821
19.241,44826
19.340,44831
19.440,44836
19.541,44841
19.642,44846
19.742,44851
19.842,44856
19.942,44861
20.043,44866
20.143,44871
20.243,44876
20.344,44881
20.444,44886
20.544,44891
20.644,44896
20.744,44901
20.844,44906
20.945,44911
21.045,44916
21.145,44921
21.245,44926
21.345,44931
21.445,44936
21.545,44941
21.646,44946
21.746,44951
21.846,44957
21.946,44962
22.046,44967
22.147,44972
22.247,44977
22.347,44982
22.447,44987
22.547,44992
22.647,44997
22.747,45002
22.847,45007
22.948,45012
23.048,45017
23.148,45022
23.249,45027
23.349,45032
23.449,45037
23.549,45042
23.650,45047
23.750,45052
23.850,45057
23.950,45062
24.051,45067
24.151,45072
24.251,45077
24.352,45082
24.452,45087
24.552,45092
24.652,45097
24.752,45102
24.853,45107
24.953,45112
25.053,45117
25.153,45122
25.253,45127
25.353,45132
25.454,45137
25.554,45142
25.654,45147
25.754,45152
25.855,45157
25.955,45162
26.055,45167
26.155,45172
26.256,45177
26.356,45182
26.456,45187
26.556,45192
26.657,45197
26.757,45202
26.857,45207
26.957,45212
27.058,45217
27.158,45222
27.258,45227
27.358,45232
27.458,45237
27.559,45242
27.659,45247
27.759,45252
27.860,45257
27.960,45262
28.060,45267
28.160,45272
28.260,45277
28.361,45282
28.461,45287
28.561,45289
28.661,45289
28.762,45289
28.862,45289
28.962,45289
29.063,45289
29.163,45289
29.263,45289
29.363,45289
29.464,45289
29.564,45289
29.664,45289
29.764,45289
29.865,45289
29.965,45289
30.065,45289
30.166,45289
30.266,45289
30.366,45289
30.466,45289
30.566,45289
30.667,45289
30.767,45289
30.867,45289
30.968,45289
31.068,45289
31.168,45289
31.268,45289
31.368,45289
31.469,45289
31.569,45289
31.669,45289
31.770,45289
31.870,45289
31.970,45289
32.070,45289
32.171,45289
32.271,45289
32.371,45289
32.475,45289
32.572,45289
32.672,45289
32.772,45289
32.872,45289
32.973,45289
33.073,45289
33.173,45289
33.273,45289
33.374,45289
33.474,45289
33.574,45289
33.674,45289
33.775,45289
33.875,45289
33.976,45289
34.076,45289
34.176,45289
34.276,45289
34.376,45289
34.477,45289
34.577,45289
34.677,45289
34.777,45289
34.877,45289
