TO_UIUC
1462163850
time,tx_packets
0.001,38865
0.101,38865
0.201,38865
0.301,38865
0.402,38865
0.502,38865
0.602,38865
0.702,38865
0.802,38865
0.903,38866
1.003,38869
1.103,38869
1.203,38870
1.303,38870
1.404,38870
1.504,38870
1.604,38870
1.704,38870
1.805,38870
1.905,38870
2.005,38870
2.105,38870
2.205,38870
2.305,38870
2.406,38870
2.506,38870
2.606,38874
2.706,38882
2.806,38903
2.907,38930
3.007,38959
3.107,38987
3.207,39011
3.307,39029
3.407,39044
3.508,39052
3.608,39054
3.708,39055
3.808,39067
3.908,39074
4.009,39074
4.109,39076
4.209,39088
4.309,39099
4.409,39111
4.509,39125
4.609,39131
4.710,39143
4.810,39143
4.910,39149
5.010,39158
5.110,39159
5.211,39167
5.311,39190
5.411,39197
5.511,39199
5.611,39210
5.711,39221
5.812,39221
5.912,39228
6.012,39241
6.112,39244
6.212,39256
6.313,39272
6.413,39280
6.513,39282
6.613,39290
6.713,39298
6.814,39298
6.914,39302
7.014,39312
7.114,39319
7.214,39335
7.314,39349
7.415,39357
7.515,39360
7.615,39366
7.715,39375
7.815,39377
7.916,39380
8.016,39390
8.116,39403
8.216,39415
8.316,39427
8.416,39437
8.517,39440
8.617,39444
8.717,39454
8.817,39456
8.918,39457
9.018,39467
9.118,39488
9.218,39494
9.318,39504
9.418,39521
9.519,39531
9.619,39536
9.719,39546
9.819,39551
9.919,39551
10.019,39558
10.120,39574
10.220,39575
10.320,39580
10.420,39589
10.520,39592
10.621,39594
10.721,39602
10.821,39609
10.921,39611
11.021,39618
11.121,39628
11.222,39632
11.322,39635
11.422,39645
11.522,39648
11.623,39652
11.724,39661
11.823,39668
11.923,39669
12.023,39678
12.124,39691
12.224,39693
12.325,39695
12.424,39705
12.524,39710
12.625,39711
12.725,39723
12.826,39741
12.927,39760
13.027,39786
13.128,39828
13.227,39861
13.327,39891
13.428,39915
13.528,39937
13.629,39956
13.728,39977
13.828,39995
13.929,40017
14.028,40036
14.129,40057
14.229,40077
14.328,40097
14.428,40117
14.528,40137
14.628,40157
14.728,40177
14.828,40197
14.928,40217
15.028,40237
15.129,40257
15.229,40277
15.329,40298
15.429,40318
15.529,40338
15.629,40359
16.731,40587
16.830,40608
16.930,40629
17.030,40651
17.130,40671
17.230,40691
17.331,40711
17.431,40731
17.531,40751
17.631,40771
17.731,40791
17.832,40812
17.932,40832
18.032,40852
18.132,40873
18.232,40894
18.333,40914
18.433,40934
18.533,40954
18.633,40974
18.733,40994
18.834,41017
18.934,41037
19.034,41059
19.134,41078
19.234,41098
19.334,41118
19.435,41137
19.535,41159
19.635,41179
19.735,41202
19.835,41222
19.935,41242
20.036,41262
20.136,41282
20.236,41304
20.336,41324
20.436,41347
20.536,41368
20.637,41389
20.737,41411
20.837,41433
20.937,41454
21.037,41474
21.138,41494
21.238,41514
21.338,41534
21.438,41555
21.538,41576
21.639,41596
21.739,41616
21.839,41636
21.939,41656
22.039,41677
22.139,41698
22.239,41718
22.339,41738
22.440,41758
22.540,41778
22.640,41799
22.740,41819
22.840,41839
22.940,41862
23.041,41881
23.141,41901
23.241,41921
23.341,41942
23.441,41961
23.541,41983
23.641,42005
23.741,42025
23.842,42045
23.942,42065
24.042,42085
24.142,42106
24.242,42126
24.343,42146
24.443,42167
24.543,42189
24.643,42209
24.743,42229
24.844,42249
24.944,42271
25.044,42292
25.144,42312
25.244,42332
25.344,42354
25.444,42375
25.545,42395
25.645,42415
25.745,42435
25.845,42455
25.946,42475
26.046,42495
26.146,42515
26.246,42537
26.346,42557
26.446,42577
26.547,42597
26.647,42617
26.747,42637
26.847,42658
26.948,42680
27.048,42700
27.148,42720
27.248,42740
27.348,42760
27.448,42780
27.548,42800
27.649,42820
27.749,42841
27.849,42862
27.949,42883
28.049,42905
28.149,42924
28.249,42942
28.349,42958
28.449,42976
28.550,42985
28.650,42990
28.750,42996
28.850,42998
28.951,42998
29.051,42999
29.151,43000
29.251,43001
29.352,43001
29.452,43001
29.552,43001
29.652,43001
29.752,43001
29.853,43001
29.953,43001
30.053,43001
30.153,43001
30.254,43001
30.354,43001
30.454,43001
30.554,43001
30.654,43001
30.755,43001
30.855,43001
30.955,43001
31.055,43001
31.155,43001
31.256,43001
31.356,43001
31.456,43001
31.556,43001
31.657,43001
31.757,43001
31.857,43001
31.957,43001
32.057,43001
32.158,43001
32.258,43001
32.358,43001
32.458,43001
32.559,43001
32.659,43001
32.759,43001
32.859,43001
32.959,43001
33.061,43001
33.161,43001
33.261,43006
33.361,43006
33.462,43007
33.561,43007
33.662,43007
33.762,43007
33.862,43008
33.962,43008
34.063,43008
34.163,43008
34.264,43008
34.364,43008
34.464,43008
34.565,43008
34.664,43008
34.764,43008
34.864,43008
