TO_KISTI
1462163899
time,tx_packets
0.001,4844
0.101,4844
0.201,4844
0.301,4844
0.402,4844
0.502,4844
0.602,4844
0.702,4844
0.802,4844
0.903,4844
1.003,4844
1.103,4844
1.203,4844
1.303,4844
1.404,4844
1.504,4844
1.604,4844
1.704,4844
1.804,4844
1.905,4844
2.005,4844
2.105,4844
2.205,4844
2.305,4844
2.406,4844
2.506,4844
2.606,4844
2.706,4846
2.806,4851
2.907,4855
3.007,4859
3.107,4863
3.207,4866
3.307,4869
3.407,4873
3.507,4874
3.607,4874
3.707,4874
3.807,4874
3.908,4874
4.008,4874
4.108,4874
4.208,4874
4.308,4874
4.408,4876
4.508,4880
4.608,4882
4.709,4882
4.809,4882
4.909,4882
5.009,4882
5.109,4883
5.209,4886
5.309,4887
5.409,4888
5.509,4888
5.610,4888
5.710,4888
5.810,4888
5.910,4888
6.010,4888
6.111,4891
6.211,4897
6.311,4897
6.411,4897
6.511,4898
6.611,4898
6.711,4898
6.811,4898
6.912,4899
7.012,4899
7.112,4904
7.212,4904
7.312,4906
7.412,4906
7.512,4906
7.613,4906
7.713,4907
7.813,4909
7.913,4909
8.013,4911
8.113,4914
8.213,4914
8.314,4914
8.414,4916
8.514,4916
8.614,4916
8.714,4916
8.814,4916
8.915,4917
9.015,4921
9.115,4924
9.215,4924
9.315,4924
9.416,4924
9.516,4925
9.616,4925
9.716,4925
9.816,4929
9.917,4930
10.017,4933
10.117,4936
10.217,4936
10.317,4936
10.418,4936
10.518,4936
10.618,4936
10.718,4936
10.818,4936
10.918,4939
11.019,4941
11.119,4942
11.219,4943
11.319,4943
11.419,4943
11.520,4943
11.620,4943
11.720,4943
11.820,4943
11.920,4947
12.021,4948
12.121,4948
12.221,4951
12.321,4951
12.421,4951
12.522,4951
12.622,4951
12.722,4951
12.822,4956
12.923,4959
13.023,4968
13.123,4979
13.223,4985
13.323,4990
13.423,4995
13.523,5000
13.624,5005
13.724,5010
13.824,5015
13.924,5020
14.024,5025
14.124,5030
14.224,5035
14.324,5040
14.425,5045
14.525,5050
14.625,5055
14.725,5060
14.825,5065
14.925,5070
15.026,5075
15.126,5080
15.226,5085
15.326,5090
15.426,5095
15.527,5100
15.627,5105
15.727,5110
15.827,5115
15.927,5120
16.028,5125
16.128,5130
16.228,5135
16.328,5140
16.428,5145
16.529,5150
16.629,5155
16.729,5160
16.829,5165
16.929,5170
17.030,5175
17.130,5180
17.230,5185
17.330,5190
17.430,5195
17.530,5200
17.630,5205
17.730,5210
17.831,5215
17.931,5220
18.031,5225
18.131,5230
18.231,5235
18.331,5240
18.431,5245
18.532,5250
18.632,5255
18.732,5260
18.832,5266
18.932,5270
19.033,5276
19.133,5281
19.233,5286
19.333,5291
19.433,5296
19.534,5301
19.634,5306
19.734,5311
19.834,5316
19.934,5321
20.035,5326
20.135,5331
20.235,5336
20.335,5341
20.435,5346
20.535,5351
20.636,5356
20.736,5361
20.836,5366
20.936,5371
21.036,5376
21.137,5381
21.237,5386
21.337,5391
21.437,5396
21.537,5401
21.638,5406
21.738,5411
21.838,5416
21.938,5421
22.038,5426
22.138,5431
22.239,5436
22.339,5441
22.440,5446
22.539,5451
22.639,5456
22.740,5461
22.840,5466
22.940,5471
23.040,5476
23.141,5481
23.241,5486
23.341,5491
23.441,5496
23.541,5501
23.642,5506
23.742,5511
23.842,5516
23.942,5521
24.043,5526
24.143,5531
24.243,5536
24.343,5541
24.443,5546
24.544,5551
24.644,5556
24.744,5561
24.844,5566
24.944,5571
25.045,5576
25.145,5581
25.245,5586
25.345,5591
25.445,5596
25.546,5601
25.646,5606
25.746,5611
25.846,5616
25.946,5621
26.047,5626
26.147,5631
26.247,5636
26.347,5641
26.447,5646
26.547,5651
26.648,5656
26.748,5661
26.848,5666
26.948,5671
27.048,5676
27.149,5681
27.249,5686
27.349,5691
27.449,5696
27.549,5701
27.650,5706
27.750,5711
27.850,5715
27.950,5721
28.050,5726
28.151,5731
28.251,5736
28.351,5741
28.451,5743
28.551,5743
28.652,5743
28.752,5743
28.852,5743
28.952,5743
29.052,5743
29.153,5743
29.253,5743
29.353,5743
29.453,5743
29.553,5743
29.654,5743
29.754,5743
29.854,5743
29.954,5743
30.054,5743
30.155,5743
30.255,5743
30.355,5743
30.455,5743
30.555,5743
30.656,5743
30.756,5743
30.856,5743
30.956,5743
31.056,5743
31.157,5743
31.257,5743
31.357,5743
31.457,5743
31.558,5743
31.658,5743
31.758,5743
31.858,5743
31.958,5743
32.059,5743
32.159,5743
32.259,5743
32.359,5743
32.459,5743
32.560,5743
32.660,5743
32.760,5743
32.860,5743
32.960,5743
33.061,5743
33.161,5743
33.261,5743
33.361,5743
33.462,5743
33.562,5743
33.662,5743
33.762,5743
33.862,5743
33.963,5743
34.063,5743
34.163,5743
34.263,5743
34.363,5743
34.464,5743
34.564,5743
34.664,5743
34.764,5743
34.864,5743
34.965,5743
35.065,5743
35.165,5743
35.265,5743
35.366,5743
35.466,5743
35.566,5743
35.666,5743
35.766,5743
35.867,5743
35.967,5743
36.067,5743
36.167,5743
36.268,5743
36.368,5743
