TO_ORANGE
1462163899
time,tx_packets
0.001,45958
0.101,45958
0.201,45958
0.301,45958
0.401,45958
0.502,45958
0.602,45958
0.702,45958
0.802,45958
0.903,45958
1.003,45958
1.103,45958
1.203,45958
1.304,45958
1.404,45958
1.504,45958
1.604,45958
1.704,45958
1.805,45958
1.905,45958
2.005,45958
2.105,45958
2.205,45958
2.306,45958
2.406,45958
2.506,45958
2.606,45958
2.706,45962
2.807,45967
2.907,45972
3.007,45977
3.107,45982
3.207,45987
3.307,45992
3.408,45997
3.508,46002
3.608,46007
3.708,46012
3.808,46017
3.908,46022
4.008,46027
4.109,46032
4.209,46037
4.309,46042
4.409,46047
4.509,46052
4.609,46057
4.709,46062
4.810,46067
4.910,46072
5.010,46077
5.111,46082
5.211,46087
5.311,46092
5.411,46097
5.511,46102
5.612,46107
5.712,46112
5.812,46117
5.912,46122
6.012,46127
6.113,46132
6.213,46138
6.313,46143
6.413,46148
6.513,46153
6.614,46158
6.714,46163
6.814,46167
6.914,46173
7.014,46178
7.115,46183
7.215,46188
7.315,46193
7.415,46198
7.515,46203
7.616,46208
7.716,46214
7.816,46219
7.916,46224
8.016,46229
8.117,46234
8.217,46239
8.317,46244
8.417,46249
8.517,46254
8.618,46259
8.718,46264
8.818,46269
8.918,46274
9.018,46279
9.119,46284
9.219,46289
9.319,46294
9.419,46299
9.519,46304
9.620,46309
9.720,46314
9.820,46319
9.920,46324
10.020,46329
10.121,46334
10.221,46339
10.321,46344
10.421,46349
10.521,46354
10.622,46359
10.722,46364
10.822,46369
10.922,46374
11.023,46379
11.123,46384
11.223,46389
11.323,46394
11.423,46399
11.524,46404
11.624,46409
11.724,46414
11.824,46418
11.924,46424
12.025,46429
12.125,46434
12.225,46439
12.325,46444
12.425,46449
12.526,46454
12.626,46459
12.726,46465
12.826,46470
12.926,46475
13.027,46476
13.127,46478
13.227,46481
13.327,46487
13.427,46489
13.527,46491
13.628,46496
13.728,46498
13.828,46503
13.928,46508
14.028,46513
14.128,46518
14.229,46524
14.329,46528
14.429,46533
14.529,46538
14.629,46543
14.730,46548
14.830,46554
14.930,46559
15.030,46563
15.130,46568
15.230,46573
15.330,46579
15.431,46584
15.531,46588
15.631,46594
15.731,46598
15.831,46605
15.931,46611
16.031,46614
16.132,46619
16.232,46624
16.332,46629
16.432,46633
16.532,46638
16.632,46644
16.732,46649
16.833,46653
16.933,46659
17.033,46667
17.133,46669
17.233,46673
17.333,46679
17.433,46683
17.534,46688
17.634,46694
17.734,46699
17.834,46703
17.934,46710
18.034,46716
18.134,46718
18.235,46723
18.335,46729
18.435,46734
18.535,46738
18.635,46743
18.735,46748
18.835,46754
18.936,46759
19.036,46764
19.136,46769
19.236,46773
19.336,46778
19.436,46785
19.537,46790
19.637,46793
19.737,46799
19.837,46804
19.937,46808
20.037,46813
20.138,46818
20.238,46823
20.338,46832
20.438,46836
20.538,46839
20.638,46843
20.739,46848
20.839,46853
20.939,46858
21.039,46864
21.139,46869
21.239,46873
21.340,46878
21.440,46883
21.540,46889
21.640,46898
21.740,46898
21.840,46904
21.941,46908
22.041,46913
22.141,46918
22.241,46924
22.341,46928
22.441,46933
22.542,46939
22.642,46943
22.742,46949
22.842,46955
22.942,46959
23.042,46963
23.143,46969
23.243,46974
23.343,46979
23.443,46986
23.543,46990
23.643,46994
23.743,46998
23.843,47003
23.944,47009
24.044,47014
24.144,47020
24.244,47026
24.344,47030
24.444,47034
24.545,47040
24.645,47044
24.745,47050
24.845,47054
24.945,47059
25.045,47064
25.146,47070
25.246,47076
25.346,47081
25.446,47089
25.546,47093
25.646,47094
25.747,47099
25.847,47104
25.947,47109
26.047,47115
26.147,47120
26.247,47124
26.348,47129
26.448,47134
26.548,47139
26.648,47144
26.748,47150
26.849,47155
26.949,47159
27.049,47164
27.149,47169
27.249,47175
27.349,47182
27.450,47187
27.550,47191
27.650,47194
27.750,47200
27.850,47206
27.950,47213
28.051,47215
28.151,47220
28.251,47224
28.351,47229
28.451,47235
28.551,47239
28.651,47245
28.752,47246
28.852,47246
28.952,47246
29.052,47246
29.152,47246
29.253,47246
29.353,47246
29.453,47246
29.553,47246
29.653,47246
29.754,47246
29.854,47246
29.954,47246
30.054,47246
30.154,47246
30.255,47246
30.355,47246
30.455,47246
30.555,47246
30.655,47246
30.756,47246
30.856,47246
30.956,47246
31.056,47246
31.156,47246
31.257,47246
31.357,47246
31.457,47246
31.557,47246
31.657,47246
31.758,47246
31.858,47246
31.958,47246
32.058,47246
32.158,47246
32.259,47246
32.359,47246
32.459,47246
32.559,47246
32.660,47246
32.760,47246
32.860,47246
32.960,47246
33.060,47246
33.161,47246
33.261,47246
33.361,47246
33.461,47246
33.561,47246
33.662,47246
33.762,47246
33.862,47246
33.962,47246
34.062,47246
34.163,47246
34.263,47246
34.363,47246
34.463,47246
34.563,47246
34.664,47246
34.764,47246
34.864,47246
34.964,47246
35.064,47246
35.165,47246
35.265,47246
35.365,47246
35.465,47246
35.565,47246
35.666,47246
