TO_UA
1462163899
time,tx_packets
0.001,46009
0.102,46009
0.202,46009
0.302,46009
0.402,46009
0.502,46010
0.603,46010
0.704,46010
0.804,46010
0.904,46010
1.004,46011
1.105,46011
1.205,46011
1.305,46012
1.405,46014
1.506,46014
1.606,46014
1.707,46014
1.806,46014
1.907,46014
2.008,46014
2.108,46014
2.207,46014
2.308,46014
2.410,46014
2.509,46014
2.609,46032
2.710,46058
2.811,46094
2.910,46132
3.011,46166
3.112,46200
3.212,46230
3.312,46252
3.413,46261
3.511,46267
3.612,46268
3.713,46268
3.814,46277
3.913,46280
4.014,46280
4.115,46284
4.215,46292
4.315,46306
4.416,46320
4.516,46334
4.615,46336
4.716,46336
4.816,46344
4.918,46349
5.017,46367
5.119,46381
5.217,46385
5.318,46385
5.419,46397
5.520,46401
5.620,46401
5.720,46406
5.820,46414
5.920,46420
6.021,46439
6.121,46458
6.221,46463
6.321,46463
6.421,46469
6.522,46477
6.622,46477
6.722,46479
6.822,46492
6.922,46500
7.022,46506
7.123,46514
7.222,46520
7.323,46520
7.423,46527
7.524,46534
7.624,46539
7.724,46543
7.824,46546
7.924,46559
8.024,46560
8.124,46560
8.224,46562
8.325,46566
8.425,46566
8.525,46568
8.625,46572
8.726,46572
8.826,46580
8.926,46589
9.027,46595
9.127,46596
9.227,46602
9.328,46605
9.429,46611
9.528,46612
9.628,46613
9.728,46617
9.829,46629
9.929,46645
10.029,46650
10.129,46652
10.230,46652
10.329,46655
10.430,46656
10.530,46657
10.630,46659
10.731,46666
10.830,46675
10.930,46679
11.031,46685
11.131,46686
11.231,46686
11.332,46689
11.432,46690
11.531,46690
11.632,46694
11.732,46708
11.832,46712
11.932,46715
12.033,46727
12.133,46727
12.233,46728
12.333,46739
12.433,46741
12.534,46741
12.634,46750
12.734,46766
12.834,46782
12.935,46818
13.035,46858
13.136,46886
13.236,46923
13.336,46948
13.435,46978
13.536,46999
13.636,47019
13.736,47039
13.836,47059
13.936,47079
14.037,47099
14.137,47119
14.237,47139
14.337,47160
15.438,47384
15.538,47404
15.638,47424
15.739,47444
15.839,47465
15.938,47484
16.039,47504
16.138,47525
16.238,47546
16.340,47566
16.440,47586
16.538,47606
16.639,47626
16.740,47647
16.840,47667
16.941,47687
17.042,47709
17.141,47729
17.240,47748
17.342,47769
17.441,47790
17.541,47809
17.641,47830
17.741,47851
17.841,47871
17.941,47893
18.041,47913
18.143,47934
18.242,47956
18.342,47976
18.443,47996
18.543,48016
18.643,48038
18.742,48061
18.842,48081
18.944,48101
19.044,48121
19.143,48141
19.244,48162
19.343,48182
19.444,48202
19.544,48222
19.643,48242
19.745,48262
19.843,48282
19.944,48302
20.043,48322
20.146,48342
20.245,48363
20.344,48384
20.444,48404
20.546,48424
20.644,48444
20.746,48465
20.846,48486
20.946,48504
21.047,48524
21.145,48544
21.245,48565
21.347,48586
21.446,48606
21.547,48626
21.647,48647
21.746,48667
21.848,48688
21.947,48707
22.048,48728
22.148,48748
22.247,48767
22.347,48788
22.448,48809
22.548,48829
22.649,48849
22.749,48868
22.849,48890
22.949,48912
23.049,48932
23.150,48952
23.250,48972
23.349,48993
23.450,49014
23.549,49034
23.650,49054
23.750,49074
23.851,49094
23.950,49114
24.051,49134
24.151,49154
24.251,49174
24.352,49194
24.453,49214
24.552,49234
24.652,49254
24.754,49274
24.853,49295
24.953,49315
25.054,49335
25.154,49356
25.254,49374
25.354,49404
25.455,49425
25.555,49446
25.655,49466
25.755,49486
25.855,49506
25.956,49526
26.056,49546
26.156,49566
26.257,49586
26.357,49606
26.457,49627
26.557,49648
26.658,49668
26.758,49688
26.858,49708
26.958,49725
27.059,49751
27.159,49772
27.259,49794
27.359,49815
27.459,49836
27.560,49855
27.660,49876
27.760,49896
27.860,49927
27.960,49949
28.060,49974
28.161,49994
28.261,50013
28.361,50028
28.462,50036
28.562,50038
28.662,50038
28.763,50038
28.862,50038
28.963,50038
29.063,50038
29.163,50038
29.263,50038
29.364,50038
29.464,50038
29.564,50038
29.664,50038
29.764,50038
29.865,50038
29.965,50038
30.065,50038
30.165,50038
30.265,50038
30.365,50038
30.466,50038
30.566,50038
30.666,50038
30.766,50040
30.867,50040
30.967,50040
31.067,50040
31.167,50044
31.268,50045
31.368,50045
31.468,50045
31.568,50045
31.668,50045
31.769,50045
31.869,50046
31.969,50046
32.070,50046
32.169,50046
32.270,50046
32.370,50046
32.470,50046
32.570,50046
32.670,50046
32.771,50046
32.871,50046
32.971,50046
33.071,50046
33.172,50046
33.272,50046
33.372,50046
33.472,50046
33.572,50046
33.672,50046
33.772,50046
33.873,50046
33.973,50046
34.073,50046
34.173,50046
34.273,50046
34.374,50046
34.473,50046
34.574,50046
34.674,50046
34.774,50046
34.874,50046
34.975,50048
