TO_URJC
1462163899
time,tx_packets
0.001,94664
0.101,94664
0.201,94664
0.302,94664
0.402,94664
0.503,94665
0.602,94665
0.702,94665
0.802,94665
0.902,94665
1.003,94668
1.103,94668
1.203,94668
1.304,94669
1.404,94670
1.504,94670
1.606,94670
1.705,94670
1.805,94670
1.906,94670
2.006,94670
2.106,94670
2.208,94670
2.309,94670
2.409,94670
2.507,94670
2.607,94688
2.708,94711
2.808,94736
2.910,94758
3.009,94780
3.109,94802
3.210,94823
3.309,94837
3.410,94845
3.512,94853
3.612,94858
3.711,94864
3.812,94874
3.912,94880
4.013,94885
4.113,94894
4.213,94902
4.313,94913
4.414,94926
4.516,94937
4.615,94942
4.715,94947
4.816,94959
4.916,94965
5.016,94981
5.116,94993
5.218,95001
5.318,95007
5.417,95020
5.517,95027
5.617,95032
5.717,95041
5.818,95049
5.918,95058
6.018,95074
6.118,95088
6.220,95094
6.319,95099
6.419,95110
6.519,95117
6.619,95122
6.719,95130
6.820,95142
6.920,95151
7.020,95157
7.120,95167
7.220,95173
7.320,95178
7.421,95189
7.521,95196
7.621,95207
7.721,95215
7.821,95221
7.922,95232
8.022,95239
8.122,95244
8.222,95252
8.322,95258
8.422,95263
8.523,95271
8.623,95278
8.723,95286
8.823,95294
8.923,95303
9.023,95309
9.123,95316
9.224,95326
9.324,95334
9.424,95343
9.524,95348
9.624,95361
9.724,95366
9.825,95377
9.925,95388
10.025,95395
10.125,95400
10.225,95406
10.325,95414
10.426,95419
10.526,95426
10.626,95434
10.726,95439
10.826,95448
10.928,95455
11.027,95463
11.127,95468
11.227,95474
11.327,95483
11.427,95488
11.527,95494
11.627,95502
11.728,95509
11.828,95515
11.929,95523
12.028,95531
12.129,95536
12.229,95543
12.329,95555
12.429,95560
12.529,95565
12.629,95575
12.729,95597
12.830,95615
12.930,95641
13.030,95669
13.130,95716
13.231,95753
13.331,95786
13.431,95806
13.531,95829
13.631,95852
13.731,95872
13.832,95891
13.932,95906
14.032,95924
14.132,95939
14.232,95958
14.333,95976
14.433,95992
14.533,96009
14.634,96024
14.734,96041
14.834,96056
14.934,96070
15.034,96088
15.134,96104
15.235,96120
15.335,96135
15.435,96150
15.535,96168
15.636,96184
15.736,96203
15.837,96220
15.937,96235
16.037,96250
16.137,96270
16.239,96287
16.338,96302
16.438,96319
16.539,96335
16.639,96350
16.739,96366
16.840,96383
16.940,96401
17.040,96418
17.139,96436
17.241,96451
17.339,96467
17.441,96484
17.541,96499
17.640,96515
17.741,96534
17.841,96551
17.941,96569
18.042,96587
18.142,96603
18.241,96618
18.342,96634
18.443,96651
18.542,96667
18.641,96686
18.743,96703
18.842,96720
18.943,96735
19.044,96750
19.143,96769
19.244,96786
19.343,96805
19.444,96822
19.543,96837
19.643,96852
19.743,96868
19.843,96883
19.943,96898
20.045,96914
20.143,96928
20.245,96947
20.344,96963
20.445,96978
20.544,96992
20.645,97010
20.744,97025
20.844,97041
20.945,97056
21.046,97071
21.145,97088
21.245,97106
21.344,97121
21.445,97138
21.545,97158
21.645,97174
21.747,97193
21.847,97208
21.945,97226
22.048,97240
22.147,97257
22.248,97272
22.348,97289
22.447,97306
22.546,97322
22.646,97341
22.749,97358
22.847,97374
22.949,97392
23.048,97408
23.148,97423
23.248,97439
23.350,97458
23.449,97478
23.550,97496
23.651,97511
23.751,97527
23.849,97542
23.951,97558
24.051,97573
24.151,97590
24.251,97611
24.352,97626
24.451,97641
24.553,97657
24.653,97674
24.753,97689
24.853,97707
24.954,97723
25.054,97739
25.154,97755
25.254,97775
25.355,97803
25.455,97824
25.554,97836
25.654,97851
25.755,97867
25.853,97882
25.953,97897
26.054,97912
26.154,97927
26.254,97944
26.354,97962
26.454,97978
26.554,97994
26.655,98010
26.755,98025
26.855,98040
26.955,98056
27.055,98073
27.155,98089
27.256,98112
27.356,98128
27.456,98143
27.556,98159
27.656,98175
27.756,98191
27.857,98214
27.957,98231
28.057,98249
28.157,98264
28.257,98281
28.357,98296
28.458,98305
28.558,98314
28.658,98314
28.758,98314
28.858,98315
28.959,98315
29.059,98315
29.159,98315
29.259,98315
29.359,98315
29.460,98315
29.560,98315
29.660,98315
29.760,98315
29.860,98316
29.961,98316
30.061,98316
30.161,98316
30.261,98316
30.361,98316
30.462,98316
30.562,98316
30.662,98316
30.762,98319
30.862,98319
30.963,98319
31.063,98319
31.163,98319
31.263,98320
31.363,98320
31.464,98320
31.564,98320
31.664,98320
31.764,98321
31.864,98322
31.965,98322
32.065,98322
32.165,98322
32.265,98322
32.365,98323
32.466,98323
32.566,98323
32.666,98323
32.766,98323
32.866,98323
32.967,98323
33.067,98323
33.167,98323
33.267,98323
33.368,98323
33.468,98323
33.568,98323
33.668,98323
33.768,98323
33.868,98323
33.969,98323
34.069,98323
34.169,98323
34.269,98323
34.369,98323
34.470,98323
34.570,98323
34.670,98323
34.770,98323
34.871,98323
34.971,98326
