FROM_CLIENT
1462163949
time,rx_packets
0.001,47296
0.101,47296
0.201,47296
0.301,47296
0.401,47296
0.502,47296
0.602,47296
0.702,47296
0.802,47296
0.903,47296
1.003,47296
1.103,47296
1.203,47296
1.303,47296
1.404,47296
1.504,47296
1.604,47296
1.704,47296
1.805,47296
1.905,47296
2.005,47296
2.105,47296
2.206,47296
2.306,47296
2.406,47296
2.506,47296
2.606,47301
2.707,47306
2.807,47311
2.907,47316
3.007,47321
3.108,47326
3.208,47331
3.308,47336
3.408,47341
3.508,47346
3.608,47351
3.708,47356
3.809,47361
3.909,47366
4.009,47371
4.110,47376
4.210,47381
4.310,47386
4.410,47391
4.510,47397
4.610,47402
4.711,47407
4.811,47412
4.911,47417
5.011,47422
5.111,47427
5.212,47432
5.312,47437
5.412,47442
5.512,47447
5.612,47452
5.712,47457
5.812,47462
5.913,47467
6.013,47472
6.113,47477
6.213,47482
6.313,47487
6.413,47492
6.513,47497
6.613,47502
6.714,47507
6.814,47512
6.914,47517
7.015,47522
7.115,47527
7.215,47532
7.315,47534
7.416,47542
7.515,47548
7.616,47553
7.716,47558
7.817,47563
7.917,47568
8.017,47573
8.117,47578
8.217,47583
8.317,47588
8.417,47593
8.518,47598
8.618,47603
8.717,47608
8.818,47613
8.918,47618
9.019,47623
9.119,47628
9.219,47633
9.320,47638
9.420,47643
9.520,47648
9.620,47653
9.721,47658
9.821,47663
9.921,47668
10.021,47673
10.121,47678
10.222,47683
10.322,47688
10.422,47693
10.523,47698
10.623,47703
10.723,47708
10.823,47713
10.924,47718
11.024,47723
11.124,47728
11.224,47733
11.325,47738
11.426,47743
11.525,47748
11.626,47753
11.726,47758
11.826,47763
11.926,47768
12.027,47773
12.127,47778
12.227,47783
12.327,47788
12.427,47793
12.528,47799
12.628,47804
12.728,47809
12.829,47814
12.929,47819
13.029,47824
13.129,47829
13.229,47834
13.329,47839
13.429,47844
13.529,47849
13.629,47854
13.730,47859
13.830,47864
13.930,47869
14.030,47874
14.130,47880
14.230,47885
14.330,47890
14.430,47894
14.530,47900
14.630,47904
14.731,47910
14.831,47915
14.931,47920
15.032,47925
15.132,47930
15.232,47935
15.332,47940
15.432,47945
15.532,47950
15.633,47955
15.733,47960
15.833,47965
16.933,48020
17.034,48025
17.134,48030
17.234,48035
17.335,48040
17.435,48045
17.535,48050
17.635,48055
17.735,48060
17.835,48065
17.936,48070
18.036,48075
18.136,48080
18.236,48085
18.336,48090
18.437,48095
18.537,48100
18.637,48105
18.737,48110
18.838,48115
18.937,48120
19.037,48125
19.138,48130
19.238,48135
19.338,48140
19.439,48145
19.538,48150
19.639,48155
19.739,48160
19.839,48165
19.939,48170
20.039,48175
20.140,48180
20.240,48185
20.340,48190
20.440,48195
20.540,48200
20.641,48205
20.741,48210
20.841,48215
20.942,48220
21.042,48225
21.142,48230
21.242,48235
21.343,48240
21.443,48245
21.543,48250
21.643,48255
21.744,48260
21.844,48265
21.944,48270
22.044,48275
22.145,48280
22.245,48285
22.345,48290
22.445,48295
22.546,48300
22.646,48305
22.746,48310
22.846,48315
22.946,48320
23.047,48325
23.147,48330
23.247,48335
23.347,48340
23.447,48345
23.548,48350
23.648,48355
23.748,48360
23.848,48365
23.948,48370
24.049,48375
24.149,48380
24.249,48385
24.350,48390
24.450,48395
24.550,48400
24.650,48405
24.750,48410
24.850,48415
24.951,48421
25.050,48425
25.150,48430
25.250,48435
25.351,48440
25.451,48445
25.551,48451
25.652,48456
25.751,48460
25.851,48466
25.951,48471
26.051,48476
26.151,48481
26.252,48486
26.352,48491
26.452,48496
26.552,48501
26.653,48506
26.753,48511
26.854,48516
26.954,48521
27.054,48526
27.154,48531
27.255,48536
27.354,48541
27.454,48546
27.555,48551
27.655,48556
27.755,48561
27.856,48566
27.956,48571
28.056,48576
28.156,48581
28.256,48585
28.356,48585
28.457,48585
28.557,48585
28.657,48585
28.757,48585
28.858,48585
28.958,48585
29.058,48585
29.158,48585
29.259,48585
29.359,48585
29.459,48585
29.559,48585
29.660,48585
29.760,48585
29.860,48585
29.960,48585
30.060,48585
30.161,48585
30.261,48585
30.361,48585
30.462,48585
30.562,48585
30.662,48585
30.762,48585
30.863,48585
30.963,48585
31.063,48585
31.163,48585
31.264,48585
31.364,48585
31.464,48585
31.564,48585
31.665,48585
31.765,48585
31.865,48585
31.966,48585
32.066,48585
32.166,48585
32.266,48585
32.367,48585
32.467,48585
32.567,48585
32.667,48585
32.768,48585
32.868,48585
32.968,48585
33.068,48585
33.169,48585
33.269,48585
33.369,48585
33.469,48585
33.570,48585
33.670,48585
33.770,48585
33.870,48585
33.971,48585
34.071,48585
34.171,48585
34.271,48585
34.372,48585
34.472,48585
34.572,48585
34.674,48585
34.771,48585
34.872,48585
34.972,48585
