FROM_KISTI
1462163949
time,rx_packets
0.001,5789
0.101,5789
0.201,5789
0.301,5789
0.402,5789
0.502,5789
0.602,5789
0.702,5789
0.802,5789
0.903,5789
1.003,5789
1.103,5789
1.203,5789
1.303,5789
1.404,5789
1.504,5789
1.604,5789
1.704,5789
1.805,5789
1.905,5789
2.005,5789
2.105,5789
2.205,5789
2.306,5789
2.406,5789
2.506,5789
2.606,5789
2.706,5791
2.807,5796
2.907,5800
3.007,5804
3.107,5808
3.207,5811
3.307,5814
3.408,5818
3.508,5819
3.608,5822
3.708,5822
3.808,5822
3.909,5822
4.009,5822
4.109,5822
4.209,5822
4.309,5822
4.410,5822
4.510,5823
4.610,5829
4.710,5829
4.810,5829
4.911,5829
5.011,5829
5.111,5829
5.211,5829
5.311,5829
5.412,5831
5.512,5835
5.612,5838
5.712,5839
5.812,5840
5.913,5840
6.013,5840
6.113,5840
6.213,5840
6.313,5840
6.414,5842
6.514,5847
6.614,5848
6.714,5848
6.814,5848
6.915,5848
7.015,5848
7.115,5848
7.215,5848
7.315,5849
7.415,5853
7.516,5855
7.616,5857
7.716,5860
7.816,5861
7.916,5861
8.016,5861
8.117,5861
8.217,5861
8.317,5863
8.417,5865
8.517,5866
8.618,5866
8.718,5866
8.818,5866
8.918,5866
9.019,5866
9.119,5866
9.219,5866
9.319,5868
9.419,5874
9.520,5874
9.620,5874
9.720,5874
9.820,5874
9.920,5874
10.021,5874
10.121,5874
10.221,5876
10.321,5878
10.422,5879
10.522,5881
10.622,5881
10.722,5881
10.822,5881
10.923,5881
11.023,5881
11.123,5881
11.223,5883
11.323,5887
11.423,5889
11.524,5889
11.624,5889
11.724,5889
11.824,5889
11.924,5889
12.025,5889
12.125,5890
12.225,5893
12.325,5895
12.426,5896
12.526,5898
12.626,5899
12.726,5900
12.826,5905
12.927,5909
13.027,5918
13.127,5928
13.227,5934
13.327,5939
13.428,5944
13.528,5949
13.628,5954
13.728,5959
13.828,5964
13.929,5969
14.029,5974
14.129,5979
14.229,5984
14.329,5989
14.430,5994
14.530,5999
14.630,6004
14.730,6009
14.830,6014
14.931,6019
15.031,6024
15.131,6029
15.231,6034
15.331,6039
15.432,6044
15.532,6049
15.632,6054
15.732,6059
15.832,6064
15.933,6069
16.033,6074
16.133,6079
16.233,6084
16.333,6089
16.434,6094
16.534,6099
16.634,6104
16.734,6109
16.834,6114
16.935,6119
17.035,6124
17.135,6129
17.235,6134
17.335,6139
17.436,6143
17.536,6149
17.636,6154
17.736,6159
17.836,6164
17.937,6169
18.037,6174
18.137,6179
18.237,6184
18.337,6189
18.438,6194
18.538,6199
18.638,6204
18.738,6209
18.838,6214
18.939,6219
19.039,6224
19.139,6229
19.239,6234
19.339,6239
19.439,6244
19.540,6249
19.640,6254
19.740,6259
19.840,6264
19.940,6269
20.041,6274
20.141,6279
20.241,6284
20.341,6289
20.441,6294
20.542,6299
20.642,6304
20.742,6309
20.842,6314
20.942,6319
21.042,6324
21.143,6329
21.243,6334
21.343,6339
21.443,6344
21.543,6349
21.644,6354
21.744,6359
22.844,6414
22.944,6419
23.044,6424
23.145,6429
23.245,6434
23.345,6439
23.445,6444
23.545,6449
23.646,6454
23.746,6459
23.846,6464
23.946,6469
24.047,6475
24.147,6480
24.247,6485
24.347,6490
24.447,6495
24.548,6500
24.648,6505
24.748,6510
24.848,6515
24.948,6520
25.048,6525
25.149,6530
25.249,6535
25.349,6540
25.449,6545
25.549,6550
25.650,6555
25.750,6560
25.850,6565
25.950,6570
26.050,6575
26.151,6580
26.251,6585
26.351,6590
26.451,6595
26.551,6600
26.652,6605
26.752,6610
26.852,6615
26.952,6620
27.052,6625
27.152,6630
27.253,6635
27.353,6640
27.453,6645
27.553,6650
27.653,6655
27.754,6660
27.854,6665
27.954,6670
28.054,6675
28.155,6680
28.255,6685
28.355,6690
28.455,6692
28.555,6692
28.656,6692
28.756,6692
28.856,6692
28.956,6692
29.056,6692
29.156,6692
29.257,6692
29.357,6692
29.457,6692
29.557,6692
29.657,6692
29.758,6692
29.858,6692
29.958,6692
30.058,6692
30.159,6692
30.259,6692
30.359,6692
30.459,6692
30.559,6692
30.660,6692
30.760,6692
30.860,6692
30.960,6692
31.060,6692
31.161,6692
31.261,6692
31.361,6692
31.461,6692
31.561,6692
31.662,6692
31.762,6692
31.862,6692
31.962,6692
32.063,6692
32.163,6692
32.263,6692
32.363,6692
32.463,6692
32.564,6692
32.664,6692
32.764,6692
32.864,6692
32.964,6692
33.065,6692
33.165,6692
33.265,6692
33.365,6692
33.465,6692
33.566,6692
33.666,6692
33.766,6692
33.866,6692
33.966,6692
34.066,6692
34.167,6692
34.267,6692
34.367,6692
34.467,6692
34.567,6692
34.668,6692
34.768,6692
34.868,6692
34.968,6692
35.069,6692
35.169,6692
35.269,6692
35.369,6692
35.469,6692
35.570,6692
35.670,6692
35.770,6692
35.870,6692
35.970,6692
36.070,6692
36.171,6692
36.271,6692
36.371,6692
