TO_UM
1462163949
time,tx_packets
0.001,158666
0.101,158666
0.201,158666
0.301,158666
0.402,158666
0.502,158666
0.602,158666
0.702,158666
0.802,158666
0.903,158666
1.003,158666
1.103,158666
1.203,158666
1.304,158666
1.404,158666
1.504,158666
1.604,158666
1.704,158666
1.805,158666
1.905,158666
2.005,158666
2.105,158666
2.205,158666
2.306,158666
2.406,158667
2.506,158667
2.606,158681
2.706,158709
2.807,158739
2.907,158770
3.007,158805
3.107,158833
3.207,158861
3.307,158890
3.408,158914
3.508,158944
3.608,158955
3.708,158966
3.808,158989
3.909,159006
4.009,159016
4.109,159034
4.209,159057
4.309,159069
4.410,159092
4.510,159122
4.610,159134
4.710,159144
4.810,159163
4.911,159179
5.011,159189
5.111,159204
5.211,159224
5.311,159243
5.412,159271
5.512,159297
5.612,159309
5.712,159321
5.812,159341
5.913,159355
6.013,159365
6.113,159382
6.213,159400
6.313,159425
6.414,159453
6.514,159479
6.614,159492
6.714,159503
6.814,159526
6.915,159546
7.015,159556
7.115,159574
7.215,159600
7.315,159628
7.415,159644
7.515,159663
7.616,159689
7.716,159702
7.816,159719
7.916,159738
8.016,159748
8.116,159758
8.217,159779
8.317,159806
8.417,159821
8.517,159834
8.617,159849
8.717,159861
8.817,159873
8.918,159886
9.018,159901
9.118,159914
9.218,159940
9.318,159970
9.419,159985
9.519,159996
9.619,160008
9.719,160022
9.819,160035
9.919,160048
10.019,160063
10.119,160079
10.219,160110
10.320,160128
10.420,160142
10.520,160154
10.620,160167
10.721,160182
10.822,160195
10.921,160208
11.021,160224
11.122,160247
11.222,160280
11.322,160299
11.422,160314
11.522,160330
11.623,160343
11.723,160359
11.823,160372
11.923,160385
12.023,160399
12.123,160428
12.224,160446
12.324,160462
12.424,160476
12.524,160487
12.625,160496
12.725,160513
12.825,160527
12.925,160556
13.025,160598
13.126,160648
13.226,160693
13.326,160725
13.426,160740
13.526,160750
13.626,160760
13.727,160770
13.826,160780
13.927,160790
14.027,160800
14.127,160810
14.227,160820
14.327,160830
14.428,160840
14.527,160850
14.627,160860
14.728,160870
14.828,160880
14.929,160890
15.029,160900
15.129,160911
15.229,160921
15.329,160931
15.429,160950
15.529,160963
15.629,160978
15.730,160988
15.830,161000
15.930,161012
16.030,161024
16.130,161037
16.230,161050
16.331,161061
16.431,161072
16.531,161087
16.631,161100
16.731,161112
16.831,161123
16.932,161132
17.032,161143
17.132,161153
17.232,161164
17.332,161174
17.432,161185
17.532,161198
17.633,161212
17.733,161222
17.833,161232
17.933,161242
18.033,161252
18.133,161263
18.234,161278
18.334,161296
18.434,161306
18.534,161318
18.634,161328
18.734,161338
18.835,161348
18.935,161358
19.035,161370
19.135,161385
19.235,161396
19.336,161408
19.436,161419
19.536,161434
19.636,161444
19.736,161457
19.837,161470
19.937,161482
20.037,161493
20.137,161504
20.237,161518
20.337,161534
20.438,161553
20.538,161564
20.638,161574
20.738,161584
20.838,161594
20.939,161606
21.039,161616
21.139,161627
21.239,161639
21.339,161649
21.439,161663
21.540,161675
21.640,161691
21.740,161704
21.840,161714
21.940,161724
22.041,161734
22.141,161745
22.241,161755
22.341,161765
22.442,161779
22.542,161788
22.642,161812
22.742,161823
22.842,161833
22.942,161847
23.043,161857
23.143,161867
23.243,161877
23.343,161891
23.443,161902
23.544,161915
23.644,161925
23.744,161935
23.844,161945
23.944,161956
24.045,161967
24.145,161981
24.245,161999
24.345,162009
24.445,162019
24.546,162031
24.646,162047
24.746,162059
24.846,162071
24.946,162081
25.047,162094
25.147,162108
25.247,162118
25.347,162128
25.448,162140
25.548,162154
25.648,162167
25.748,162177
25.849,162187
25.949,162197
26.049,162210
26.149,162224
26.249,162245
26.350,162257
26.450,162267
26.550,162277
26.650,162289
26.750,162300
26.850,162310
26.951,162320
27.051,162330
27.151,162341
27.251,162355
27.352,162370
27.452,162387
27.552,162397
27.652,162407
27.752,162418
27.852,162431
27.953,162442
28.053,162452
28.153,162470
28.253,162481
28.353,162492
28.453,162510
28.554,162520
28.654,162522
28.754,162523
28.854,162523
28.955,162524
29.055,162525
29.155,162525
29.255,162525
29.355,162525
29.455,162526
29.556,162526
29.656,162526
29.756,162526
29.856,162526
29.957,162526
30.057,162526
30.157,162526
30.257,162526
30.357,162526
30.457,162526
30.558,162526
30.658,162526
30.758,162526
30.858,162526
30.958,162526
31.059,162526
31.159,162526
31.259,162526
31.359,162526
31.460,162526
31.560,162526
31.660,162526
31.760,162526
31.860,162526
31.961,162526
32.061,162526
32.161,162526
32.261,162527
32.361,162527
32.462,162527
32.562,162527
32.662,162529
32.762,162529
32.862,162530
32.963,162530
33.063,162532
33.163,162532
33.263,162533
33.364,162534
33.464,162534
33.564,162534
33.664,162534
33.764,162534
33.865,162535
33.965,162535
34.065,162535
34.165,162535
34.265,162535
34.366,162535
34.466,162535
34.566,162535
34.666,162535
34.766,162535
34.867,162535
34.967,162535
