TO_VERISIGN
1462163949
time,tx_packets
0.001,42617
0.101,42617
0.201,42617
0.301,42617
0.401,42617
0.502,42617
0.602,42617
0.702,42617
0.802,42617
0.903,42617
1.003,42617
1.103,42617
1.203,42617
1.303,42617
1.404,42617
1.504,42617
1.604,42617
1.704,42617
1.805,42617
1.905,42617
2.005,42617
2.105,42617
2.206,42617
2.306,42617
2.406,42618
2.506,42618
2.606,42628
2.707,42647
2.807,42671
2.907,42695
3.007,42724
3.107,42749
3.207,42775
3.308,42793
3.408,42805
3.508,42821
3.608,42822
3.708,42823
3.808,42832
3.908,42836
4.009,42836
4.109,42842
4.209,42850
4.309,42853
4.409,42868
4.509,42881
4.609,42883
4.710,42883
4.810,42891
4.910,42897
5.010,42897
5.111,42901
5.211,42910
5.311,42921
5.411,42930
5.511,42942
5.611,42943
5.712,42945
5.812,42955
5.912,42959
6.012,42959
6.112,42965
6.213,42975
6.313,42988
6.413,42994
6.513,43008
6.613,43010
6.713,43010
6.814,43018
6.914,43027
7.014,43027
7.114,43033
7.214,43047
7.315,43060
7.415,43062
7.515,43073
7.615,43083
7.715,43083
7.815,43089
7.916,43099
8.016,43099
8.116,43100
8.216,43118
8.316,43126
8.416,43131
8.516,43132
8.617,43137
8.717,43140
8.817,43141
8.917,43143
9.017,43147
9.117,43151
9.218,43165
9.318,43174
9.418,43179
9.518,43181
9.618,43183
9.718,43186
9.819,43188
9.919,43190
10.019,43194
10.119,43203
10.219,43215
10.320,43220
10.420,43225
10.520,43226
10.620,43228
10.720,43232
10.820,43234
10.921,43236
11.021,43240
11.121,43256
11.221,43262
11.321,43267
11.422,43271
11.522,43274
11.622,43276
11.722,43280
11.823,43282
11.923,43284
12.023,43292
12.123,43305
12.223,43306
12.324,43313
12.424,43317
12.524,43317
12.624,43323
12.724,43345
12.824,43358
12.925,43384
13.025,43416
13.125,43444
13.225,43472
13.325,43494
13.425,43504
13.525,43514
13.625,43524
13.725,43534
13.825,43544
13.927,43554
14.025,43564
14.126,43574
14.226,43584
14.326,43594
14.425,43604
14.526,43614
14.626,43624
14.726,43634
14.826,43644
14.928,43654
15.027,43664
15.127,43677
15.227,43687
15.327,43697
15.428,43711
15.528,43724
15.628,43734
15.728,43744
15.828,43756
15.928,43766
16.028,43775
16.129,43786
16.229,43796
16.329,43807
16.429,43818
16.529,43829
16.629,43841
16.730,43853
16.830,43863
16.930,43873
17.030,43883
17.130,43893
17.231,43903
17.331,43913
17.431,43923
17.531,43934
17.631,43946
17.731,43956
17.831,43966
17.931,43976
18.031,43986
18.131,43996
18.232,44006
18.332,44019
18.432,44029
18.532,44040
18.632,44050
18.732,44060
18.833,44070
18.933,44080
19.033,44091
19.133,44104
19.233,44114
19.334,44125
19.434,44136
19.534,44147
19.634,44157
19.734,44168
19.834,44178
20.935,44296
21.035,44306
21.135,44316
21.235,44326
21.335,44336
21.436,44348
21.536,44362
21.636,44375
21.736,44385
21.836,44395
21.936,44405
22.037,44415
22.137,44426
22.237,44436
22.337,44446
22.437,44456
22.537,44465
22.638,44480
22.738,44492
22.838,44502
22.938,44512
23.039,44523
23.139,44533
23.239,44543
23.339,44554
23.439,44563
23.540,44576
23.640,44586
23.740,44596
23.840,44606
23.940,44619
24.040,44629
24.141,44641
24.241,44654
24.341,44664
24.441,44674
24.541,44685
24.641,44697
24.741,44707
24.842,44717
24.942,44727
25.042,44739
25.142,44752
25.242,44762
25.342,44772
25.442,44782
25.543,44794
25.643,44804
25.743,44814
25.843,44824
25.943,44834
26.044,44844
26.144,44858
26.244,44870
26.344,44881
26.444,44891
26.545,44901
26.645,44911
26.745,44921
26.845,44931
26.945,44941
27.045,44951
27.146,44961
27.246,44971
27.346,44984
27.446,44996
27.547,45007
27.647,45017
27.747,45027
27.847,45037
27.947,45050
28.047,45060
28.148,45072
28.248,45083
28.348,45092
28.448,45106
28.548,45110
28.649,45110
28.749,45110
28.849,45110
28.949,45111
29.049,45112
29.150,45112
29.250,45112
29.350,45112
29.450,45112
29.550,45112
29.651,45112
29.751,45112
29.851,45112
29.951,45112
30.052,45112
30.152,45112
30.252,45112
30.352,45112
30.452,45112
30.553,45112
30.653,45112
30.753,45112
30.853,45112
30.953,45112
31.054,45112
31.154,45112
31.254,45112
31.354,45112
31.455,45112
31.555,45112
31.655,45112
31.755,45112
31.855,45112
31.956,45112
32.056,45112
32.156,45112
32.256,45112
32.356,45112
32.457,45112
32.557,45113
32.657,45113
32.757,45113
32.857,45113
32.958,45113
33.058,45114
33.158,45114
33.258,45114
33.359,45114
33.459,45115
33.559,45115
33.659,45115
33.760,45115
33.860,45115
33.960,45115
34.060,45115
34.160,45115
34.261,45115
34.361,45115
34.461,45115
34.561,45115
34.661,45115
34.762,45115
34.862,45115
34.962,45115
