FROM_ORANGE
1462164020
time,rx_packets
0.001,48581
0.101,48581
0.201,48581
0.302,48581
0.402,48581
0.502,48581
0.602,48581
0.702,48581
0.803,48581
0.903,48581
1.003,48581
1.103,48581
1.203,48581
1.304,48581
1.404,48581
1.504,48581
1.604,48581
1.704,48581
1.805,48581
1.905,48581
2.005,48581
2.105,48581
2.205,48581
2.306,48581
2.406,48581
2.506,48581
2.606,48581
2.706,48586
2.807,48591
2.907,48596
3.007,48601
3.107,48606
3.207,48611
3.307,48616
3.407,48621
3.507,48626
3.607,48631
3.707,48636
3.807,48641
3.907,48646
4.007,48651
4.107,48656
4.208,48661
4.308,48666
4.408,48671
4.508,48674
4.608,48681
4.708,48686
4.809,48691
4.909,48696
5.009,48701
5.109,48705
5.209,48710
5.309,48716
5.410,48721
5.510,48726
5.610,48731
5.710,48736
5.810,48741
5.911,48746
6.011,48751
6.111,48756
6.211,48761
6.311,48766
6.411,48771
6.511,48776
6.611,48781
6.711,48786
6.812,48791
6.912,48796
7.012,48801
7.112,48806
7.212,48811
7.312,48816
7.412,48821
7.512,48826
7.612,48831
7.712,48837
7.812,48842
7.913,48847
8.013,48852
8.113,48857
8.213,48862
8.313,48867
8.413,48872
8.514,48877
8.614,48882
8.714,48887
8.814,48892
8.914,48897
9.015,48902
9.115,48907
9.215,48912
9.315,48917
9.415,48922
9.515,48927
9.615,48932
9.716,48937
9.816,48942
9.916,48947
10.016,48952
10.116,48957
10.216,48962
10.316,48967
10.417,48972
10.517,48977
10.617,48982
10.717,48987
10.817,48992
10.917,48997
11.017,49002
11.117,49007
11.217,49012
11.317,49017
11.417,49022
11.517,49027
11.617,49032
11.717,49037
11.818,49042
11.918,49047
12.018,49052
12.118,49057
12.218,49062
12.318,49067
12.418,49072
12.519,49077
12.619,49082
12.719,49088
12.819,49093
12.919,49097
13.019,49097
13.120,49100
13.220,49105
13.320,49110
13.420,49115
13.520,49120
13.620,49125
13.720,49130
13.821,49135
13.921,49140
14.021,49145
14.121,49150
14.221,49155
14.321,49160
14.422,49165
14.522,49170
14.622,49175
14.722,49180
14.822,49185
14.922,49190
15.022,49195
15.122,49199
15.222,49205
15.322,49210
15.422,49215
15.522,49220
15.622,49225
15.722,49230
15.823,49235
15.923,49240
16.023,49245
16.123,49250
16.223,49255
16.323,49260
16.423,49265
16.523,49270
16.623,49275
16.723,49280
16.823,49285
16.924,49290
17.024,49295
17.124,49299
17.224,49305
17.324,49310
17.424,49315
17.524,49320
17.624,49325
17.725,49330
17.825,49335
17.925,49340
18.025,49345
18.125,49350
18.225,49355
18.325,49360
18.425,49365
18.525,49370
18.625,49375
18.726,49380
18.826,49385
18.926,49390
19.026,49395
19.126,49400
19.226,49405
19.326,49410
19.426,49415
19.526,49420
19.626,49425
19.727,49430
19.827,49435
19.927,49440
20.027,49445
20.127,49450
20.227,49455
20.327,49460
20.427,49465
20.527,49470
20.628,49475
20.728,49480
20.828,49485
20.928,49490
21.028,49495
21.128,49500
21.228,49505
21.328,49510
21.428,49515
21.529,49520
21.629,49525
21.729,49530
21.829,49535
21.929,49540
22.029,49545
22.130,49550
22.230,49555
22.330,49560
22.430,49565
22.530,49570
22.630,49575
22.730,49580
22.830,49585
22.930,49590
23.030,49595
23.130,49600
23.230,49605
23.330,49609
23.430,49615
23.530,49620
23.630,49625
23.731,49630
23.831,49635
23.931,49640
24.031,49645
24.131,49650
24.231,49655
24.331,49660
24.431,49665
24.531,49670
24.631,49675
24.731,49680
24.831,49685
24.932,49690
25.032,49695
25.132,49700
25.232,49705
25.332,49710
25.432,49715
25.532,49720
25.633,49725
25.733,49730
25.833,49735
25.933,49740
26.033,49745
26.133,49750
26.233,49755
26.333,49760
26.433,49765
26.534,49770
26.634,49775
26.734,49780
26.834,49785
26.934,49790
27.034,49795
27.134,49800
27.234,49805
27.334,49810
27.435,49815
27.535,49820
27.635,49825
27.735,49830
27.835,49835
27.935,49840
28.035,49845
28.136,49851
28.236,49855
28.336,49860
28.436,49865
28.536,49870
28.636,49870
28.736,49870
28.837,49870
28.937,49870
29.037,49870
29.137,49870
29.238,49870
29.338,49870
29.438,49870
29.538,49870
29.638,49870
29.739,49870
29.839,49870
29.939,49870
30.039,49870
30.139,49870
30.240,49870
30.340,49870
30.440,49870
30.540,49870
30.640,49870
30.741,49870
30.841,49870
30.941,49870
31.041,49870
31.141,49870
31.242,49870
31.342,49870
31.442,49870
31.542,49870
31.643,49870
31.743,49870
31.843,49870
31.943,49871
32.043,49871
32.144,49871
32.244,49871
32.344,49871
32.444,49871
32.544,49871
32.645,49871
32.745,49871
32.845,49871
32.945,49871
33.045,49871
33.146,49871
33.246,49871
33.346,49871
33.446,49871
33.546,49871
33.647,49871
33.747,49871
33.847,49871
33.947,49871
34.048,49871
34.148,49871
34.248,49871
34.348,49871
34.448,49871
34.549,49871
34.649,49871
34.749,49871
34.849,49871
34.949,49871
35.050,49871
35.150,49871
35.250,49871
35.351,49871
35.450,49871
35.550,49871
35.651,49871
