TO_CLIENT
1462164020
time,tx_packets
0.001,47867
0.101,47867
0.201,47867
0.301,47867
0.401,47867
0.502,47867
0.602,47867
0.702,47867
0.802,47867
0.903,47867
1.003,47867
1.103,47867
1.203,47867
1.303,47867
1.403,47867
1.504,47867
1.604,47867
1.704,47867
1.804,47867
1.904,47867
2.005,47867
2.105,47867
2.205,47867
2.306,47867
2.405,47867
2.506,47867
2.606,47867
2.706,47870
2.806,47875
2.907,47880
3.007,47885
3.107,47890
3.208,47895
3.307,47900
3.408,47905
3.508,47910
3.607,47915
3.708,47920
3.808,47925
3.908,47930
4.008,47935
4.108,47940
4.209,47945
4.309,47950
4.409,47955
4.509,47960
4.609,47964
4.710,47970
4.810,47975
4.910,47980
5.010,47985
5.110,47990
5.211,47991
5.311,48000
5.411,48005
5.512,48010
5.612,48015
5.712,48020
5.812,48025
5.912,48030
6.012,48035
6.113,48040
6.214,48045
6.314,48050
6.414,48055
6.514,48060
6.614,48065
6.715,48070
6.815,48075
6.915,48080
7.016,48085
7.116,48090
7.217,48095
7.317,48100
7.417,48105
7.517,48111
7.617,48116
7.718,48121
7.818,48126
7.918,48131
8.019,48136
8.119,48141
8.219,48146
8.320,48151
8.420,48156
8.521,48161
8.621,48166
8.722,48171
8.822,48176
8.922,48181
9.022,48186
9.122,48191
9.222,48196
9.323,48201
9.423,48206
9.523,48211
9.623,48216
9.723,48221
9.824,48226
9.924,48231
10.024,48237
10.125,48241
10.225,48246
10.325,48252
10.425,48257
10.525,48262
10.626,48267
10.726,48272
10.826,48277
10.926,48282
11.026,48287
11.127,48292
11.227,48297
11.327,48302
11.427,48307
11.527,48312
11.628,48317
11.728,48322
11.828,48327
11.928,48332
12.028,48337
12.128,48342
12.229,48347
12.329,48352
12.429,48357
12.529,48363
12.629,48364
12.730,48364
12.830,48366
12.930,48371
13.031,48376
13.131,48385
13.231,48394
13.331,48399
13.431,48404
13.531,48409
13.631,48414
13.731,48419
13.832,48424
13.932,48429
14.032,48434
14.132,48439
14.232,48444
14.332,48449
14.432,48454
14.533,48459
14.633,48464
14.733,48469
14.833,48474
14.933,48477
15.033,48484
15.134,48489
15.234,48494
15.334,48499
15.434,48504
15.535,48509
15.635,48514
15.735,48519
15.835,48524
15.935,48529
16.036,48534
16.136,48539
16.236,48544
16.336,48549
16.436,48554
16.536,48559
16.636,48564
16.737,48569
16.837,48574
16.937,48579
17.037,48584
17.137,48589
17.237,48594
17.338,48598
17.438,48604
17.538,48609
17.638,48614
17.738,48619
17.838,48624
17.939,48629
18.039,48634
18.139,48639
18.239,48644
18.339,48649
18.440,48654
18.540,48659
18.640,48664
18.740,48669
18.840,48674
18.940,48679
19.040,48684
19.140,48689
19.240,48694
19.340,48699
19.440,48704
19.540,48709
19.640,48714
19.741,48719
19.841,48724
19.941,48729
20.041,48734
20.141,48739
20.242,48744
20.342,48749
20.442,48754
20.542,48759
20.642,48764
20.742,48769
20.842,48774
20.943,48780
21.043,48784
21.143,48790
21.243,48795
21.343,48800
21.444,48805
21.544,48810
21.644,48815
21.744,48820
21.844,48825
21.944,48830
22.044,48835
22.144,48839
22.245,48845
22.345,48850
22.445,48855
22.545,48860
22.645,48865
22.745,48870
22.846,48875
22.946,48880
23.046,48885
23.146,48890
23.246,48895
23.346,48900
23.447,48905
23.547,48910
23.647,48915
23.747,48920
23.847,48925
23.947,48930
24.047,48935
24.147,48940
24.248,48945
24.348,48950
24.448,48955
24.548,48960
24.648,48962
24.748,48970
24.848,48974
24.948,48980
25.049,48985
25.149,48990
25.249,48995
25.349,49000
25.449,49005
25.549,49010
25.649,49015
25.749,49020
25.850,49025
25.950,49030
26.050,49035
26.150,49040
26.250,49045
26.350,49050
26.450,49055
26.551,49060
26.651,49065
26.751,49070
26.851,49075
26.951,49080
27.051,49085
27.152,49090
27.251,49095
27.352,49100
27.452,49105
27.554,49110
27.652,49115
27.753,49120
27.853,49124
27.953,49130
28.053,49135
28.153,49140
28.253,49145
28.354,49150
28.454,49155
28.554,49157
28.654,49157
28.754,49157
28.855,49157
28.955,49157
29.055,49157
29.155,49157
29.255,49157
29.356,49157
29.456,49157
29.556,49157
29.656,49157
29.756,49157
29.857,49157
29.957,49157
30.058,49157
30.158,49157
30.258,49157
30.358,49157
30.458,49157
30.558,49157
30.659,49157
30.759,49157
30.859,49157
30.959,49157
31.059,49157
31.159,49157
31.260,49157
31.359,49157
31.460,49157
31.560,49157
31.660,49157
31.761,49157
31.861,49157
31.961,49157
32.061,49157
32.161,49157
32.262,49157
32.362,49157
32.462,49157
32.562,49157
32.662,49157
32.763,49157
32.863,49157
32.963,49157
33.063,49157
33.163,49157
33.264,49157
33.364,49157
33.464,49157
33.564,49157
33.664,49157
33.765,49157
33.864,49157
33.965,49157
34.065,49157
34.165,49157
34.266,49157
34.366,49157
34.466,49157
34.566,49157
34.666,49157
34.767,49157
34.867,49157
34.967,49157
