TO_KISTI
1462164020
time,tx_packets
0.001,6647
0.101,6647
0.201,6647
0.301,6647
0.402,6647
0.502,6647
0.602,6647
0.702,6647
0.802,6647
0.903,6647
1.003,6647
1.103,6647
1.203,6647
1.303,6647
1.404,6647
1.504,6647
1.604,6647
1.704,6647
1.804,6647
1.905,6647
2.005,6647
2.105,6647
2.205,6647
2.305,6647
2.406,6647
2.506,6647
2.606,6647
2.706,6649
2.806,6654
2.907,6659
3.007,6664
3.107,6669
3.207,6673
3.307,6677
3.407,6681
3.507,6684
3.608,6687
3.708,6688
3.808,6688
3.908,6693
4.008,6696
4.109,6696
4.209,6697
4.309,6703
4.410,6708
4.510,6711
4.610,6715
4.710,6717
4.810,6722
4.910,6722
5.010,6724
5.110,6729
5.211,6730
5.311,6732
5.411,6737
5.511,6739
5.611,6739
5.711,6743
5.811,6747
5.911,6747
6.011,6749
6.112,6754
6.212,6755
6.312,6758
6.412,6763
6.512,6766
6.612,6766
6.712,6768
6.812,6773
6.913,6774
7.013,6774
7.113,6778
7.213,6782
7.313,6788
7.413,6790
7.513,6795
7.613,6797
7.713,6798
7.814,6801
7.914,6806
8.014,6806
8.114,6806
8.214,6811
8.314,6817
8.414,6817
8.514,6819
8.614,6824
8.714,6825
8.816,6825
8.915,6829
9.015,6833
9.115,6833
9.215,6837
9.316,6841
9.416,6843
9.516,6843
9.616,6846
9.716,6851
9.817,6851
9.917,6852
10.017,6857
10.117,6859
10.217,6865
10.317,6869
10.417,6874
10.517,6874
10.617,6875
10.717,6880
10.817,6882
10.918,6882
11.018,6886
11.118,6892
11.218,6896
11.318,6897
11.418,6902
11.518,6904
11.619,6904
11.719,6907
11.819,6912
11.919,6912
12.019,6912
12.119,6918
12.220,6920
12.320,6920
12.420,6923
12.520,6928
12.620,6928
12.720,6929
12.821,6935
12.921,6940
13.021,6949
13.121,6958
13.221,6963
13.321,6968
13.422,6973
13.522,6978
13.622,6983
13.722,6988
13.822,6993
13.922,6998
14.022,7003
14.122,7008
14.222,7013
14.322,7018
14.422,7023
14.523,7028
14.623,7033
14.723,7038
14.823,7043
14.923,7048
15.023,7053
15.123,7058
15.223,7063
15.323,7068
15.424,7073
15.524,7078
15.624,7083
15.724,7088
15.824,7093
15.924,7098
16.024,7103
16.124,7108
16.224,7113
16.324,7118
16.425,7123
16.525,7128
16.625,7133
16.725,7138
16.825,7143
16.925,7148
17.025,7153
17.125,7158
17.225,7163
17.326,7168
17.426,7173
17.526,7178
17.626,7183
17.726,7188
17.826,7193
17.926,7198
18.026,7203
18.126,7208
18.227,7213
18.327,7218
18.427,7223
18.527,7228
18.627,7233
18.727,7238
18.827,7243
18.927,7248
19.028,7253
19.128,7258
19.228,7263
19.328,7268
19.428,7273
19.528,7278
19.628,7283
19.728,7288
19.829,7293
19.929,7298
20.029,7303
20.129,7308
20.229,7313
20.329,7318
20.429,7323
20.529,7328
20.630,7333
20.730,7338
20.830,7343
20.930,7348
21.030,7353
21.130,7358
21.230,7363
21.330,7368
21.430,7373
21.530,7378
21.631,7383
21.731,7388
21.831,7393
21.931,7398
22.031,7403
22.131,7408
22.231,7413
22.332,7418
22.432,7423
22.532,7428
22.632,7433
22.732,7438
22.832,7443
22.932,7448
23.032,7453
23.133,7458
23.233,7463
23.333,7468
23.433,7473
23.533,7478
23.633,7483
23.733,7488
23.834,7493
23.934,7498
24.034,7503
24.134,7508
24.234,7513
24.334,7518
24.434,7523
24.535,7527
24.635,7534
24.735,7539
24.835,7544
24.935,7549
25.035,7554
25.135,7559
25.235,7564
25.335,7569
25.436,7574
25.536,7579
25.636,7584
25.736,7589
25.836,7594
25.936,7599
26.036,7604
26.137,7609
26.237,7614
26.337,7619
26.437,7624
26.537,7629
26.637,7634
26.737,7639
26.837,7644
26.938,7649
27.038,7654
27.138,7659
27.238,7664
27.338,7669
27.438,7674
27.538,7679
27.639,7684
27.739,7689
27.839,7694
27.939,7699
28.039,7704
28.139,7709
28.239,7714
28.339,7719
28.440,7722
28.540,7722
28.640,7722
28.740,7722
28.840,7722
28.940,7722
29.041,7722
29.141,7722
29.241,7722
29.341,7722
29.441,7722
29.542,7722
29.642,7722
29.742,7722
29.842,7722
29.942,7722
30.043,7722
30.143,7722
30.243,7722
30.343,7722
30.444,7722
30.544,7722
30.644,7722
30.744,7722
30.844,7722
30.945,7722
31.045,7722
31.145,7722
31.245,7722
31.345,7722
31.446,7722
31.546,7722
31.646,7722
31.746,7722
31.847,7722
31.947,7722
32.047,7722
32.147,7722
32.248,7722
32.348,7722
32.448,7722
32.548,7722
32.648,7722
32.749,7722
32.849,7722
32.949,7722
33.049,7722
33.149,7722
33.250,7722
33.350,7722
33.450,7722
33.550,7722
33.650,7722
33.751,7722
33.851,7722
33.951,7722
34.051,7722
34.151,7722
34.252,7722
34.352,7722
34.452,7722
34.552,7722
34.652,7722
34.753,7722
34.853,7722
34.953,7722
35.053,7722
35.153,7722
35.254,7722
35.354,7722
35.454,7722
35.554,7722
35.654,7722
35.755,7722
35.855,7722
35.955,7722
36.055,7722
36.155,7722
36.255,7722
36.356,7722
