TO_UIUC
1462164020
time,tx_packets
0.002,51371
0.101,51371
0.201,51371
0.301,51372
0.401,51372
0.502,51372
0.602,51372
0.702,51372
0.802,51372
0.902,51372
1.003,51372
1.103,51374
1.203,51374
1.303,51374
1.404,51374
1.504,51374
1.604,51374
1.704,51374
1.804,51374
1.905,51374
2.005,51374
2.105,51375
2.205,51376
2.305,51376
2.406,51376
2.506,51376
2.607,51381
2.707,51385
2.806,51393
2.906,51403
3.007,51421
3.107,51441
3.207,51465
3.307,51488
3.408,51507
3.507,51528
3.607,51540
3.707,51550
3.808,51563
3.908,51572
4.008,51588
4.108,51601
4.209,51614
4.309,51637
4.409,51661
4.510,51692
4.610,51707
4.710,51730
4.810,51744
4.910,51755
5.011,51770
5.111,51785
5.211,51805
5.311,51827
5.411,51844
5.511,51859
5.612,51872
5.712,51875
5.812,51896
5.913,51911
6.013,51918
6.113,51931
6.213,51951
6.313,51971
6.413,51993
6.514,52014
6.614,52028
6.714,52036
6.814,52053
6.914,52072
7.015,52083
7.115,52089
7.215,52111
7.315,52136
7.416,52160
7.516,52179
7.616,52204
7.716,52219
8.816,52388
8.916,52394
9.017,52416
9.117,52431
9.217,52447
9.317,52468
9.418,52486
9.518,52499
9.618,52506
9.718,52525
9.818,52544
9.918,52553
10.019,52564
10.119,52582
10.219,52604
10.319,52626
10.419,52653
10.520,52674
10.619,52687
10.720,52700
10.820,52720
10.920,52732
11.021,52740
11.121,52765
11.221,52794
11.321,52811
11.421,52831
11.522,52854
11.622,52866
11.722,52873
11.823,52892
11.923,52908
12.023,52921
12.123,52937
12.224,52957
12.324,52967
12.424,52972
12.525,52992
12.625,53007
12.725,53017
12.825,53039
12.925,53069
13.026,53101
13.126,53134
13.226,53157
13.326,53170
13.426,53180
13.526,53190
13.627,53200
13.727,53211
13.827,53221
13.927,53232
14.027,53242
14.127,53253
14.227,53263
14.328,53273
14.428,53283
14.528,53293
14.628,53303
14.728,53313
14.828,53323
14.928,53332
15.029,53343
15.129,53356
15.229,53367
15.329,53377
15.429,53389
15.529,53399
15.629,53409
15.730,53419
15.830,53429
15.930,53439
16.030,53449
16.130,53459
16.230,53469
16.330,53479
16.430,53489
16.530,53499
16.630,53509
16.731,53519
16.831,53529
16.931,53539
17.031,53549
17.131,53559
17.231,53569
17.331,53578
17.432,53589
17.532,53599
17.632,53609
17.732,53620
17.832,53630
17.932,53640
18.032,53650
18.133,53661
18.233,53671
18.333,53682
18.433,53692
18.533,53702
18.633,53712
18.734,53722
18.834,53732
18.934,53742
19.034,53752
19.134,53762
19.234,53772
19.334,53782
19.435,53795
19.535,53805
19.635,53815
19.735,53825
19.835,53836
19.935,53846
20.036,53856
20.136,53866
20.236,53877
20.336,53887
20.436,53897
20.536,53907
20.637,53917
20.737,53927
20.837,53937
20.937,53947
21.037,53958
21.137,53968
21.238,53978
21.338,53988
21.438,53998
21.538,54008
21.638,54018
21.738,54028
21.839,54038
21.939,54048
22.039,54059
22.139,54070
22.240,54080
22.340,54090
22.440,54100
22.540,54112
22.640,54122
22.741,54132
22.841,54142
22.941,54152
23.041,54162
23.141,54172
23.241,54182
23.341,54192
23.441,54202
23.542,54212
23.642,54222
23.742,54232
23.842,54242
23.942,54253
24.042,54264
24.142,54274
24.242,54284
24.342,54294
24.443,54304
24.543,54314
24.643,54321
24.743,54334
24.843,54343
24.943,54354
25.043,54364
25.143,54374
25.243,54384
25.344,54394
25.444,54404
25.544,54414
25.644,54424
25.744,54434
25.844,54444
25.944,54455
26.045,54465
26.145,54475
26.245,54485
26.345,54496
26.445,54506
26.545,54516
26.645,54526
26.745,54537
26.846,54548
26.946,54558
27.046,54568
27.146,54578
27.246,54588
27.346,54598
27.447,54608
27.547,54618
27.647,54628
27.747,54638
27.847,54647
27.948,54658
28.048,54668
28.148,54678
28.248,54688
28.348,54694
28.448,54700
28.548,54702
28.649,54702
28.749,54702
28.849,54702
28.949,54702
29.049,54702
29.150,54702
29.250,54702
29.350,54702
29.450,54702
29.550,54702
29.651,54702
29.751,54702
29.851,54702
29.951,54702
30.051,54702
30.152,54702
30.252,54702
30.352,54702
30.452,54702
30.552,54702
30.653,54703
30.753,54703
30.853,54703
30.953,54703
31.053,54704
31.154,54704
31.254,54705
31.354,54705
31.454,54706
31.554,54706
31.654,54706
31.755,54706
31.855,54706
31.955,54706
32.055,54706
32.156,54706
32.256,54706
32.356,54706
32.456,54706
32.557,54706
32.657,54707
32.757,54707
32.857,54707
32.957,54707
33.058,54707
33.158,54707
33.258,54707
33.358,54707
33.458,54707
33.559,54707
33.659,54707
33.759,54707
33.859,54707
33.959,54707
34.060,54707
34.160,54707
34.260,54707
34.360,54707
34.460,54707
34.560,54707
34.660,54707
34.760,54707
34.861,54708
34.961,54708
