TO_VERISIGN
1462164069
time,tx_packets
0.001,49757
0.101,49757
0.201,49757
0.301,49757
0.401,49757
0.501,49757
0.602,49757
0.702,49757
0.802,49757
0.902,49757
1.002,49757
1.103,49757
1.203,49757
1.303,49757
1.403,49757
1.503,49757
1.604,49757
1.704,49757
1.804,49757
1.904,49759
2.004,49759
2.104,49759
2.205,49759
2.305,49760
2.405,49760
2.505,49761
2.606,49775
2.706,49798
2.806,49822
2.907,49844
3.006,49867
3.107,49889
3.207,49905
3.307,49920
3.408,49933
3.508,49939
3.608,49940
3.708,49940
3.809,49950
3.908,49957
4.009,49957
4.109,49963
4.209,49972
4.309,49990
4.410,50000
4.510,50010
4.611,50015
4.711,50022
4.811,50022
4.911,50028
5.012,50037
5.112,50038
5.213,50048
5.313,50071
5.413,50075
5.512,50076
5.613,50085
5.714,50091
5.813,50091
5.914,50095
6.014,50105
6.114,50107
6.215,50121
6.314,50139
6.415,50150
6.515,50150
6.614,50154
6.715,50163
6.815,50164
6.914,50167
7.016,50178
7.116,50189
7.216,50202
7.315,50213
7.416,50224
7.515,50225
7.615,50227
7.715,50238
7.816,50244
7.916,50244
8.016,50248
8.116,50267
8.216,50277
8.316,50284
8.417,50295
8.517,50299
8.617,50299
8.717,50308
8.817,50316
8.917,50316
9.018,50323
9.118,50344
9.218,50352
9.318,50356
9.419,50362
9.519,50371
9.619,50372
9.719,50373
9.819,50382
9.919,50388
10.020,50393
10.120,50410
10.220,50425
10.320,50428
10.420,50429
10.520,50438
10.621,50443
10.721,50443
10.821,50452
10.921,50460
11.021,50472
11.122,50486
11.221,50503
11.322,50507
11.422,50507
11.522,50513
11.622,50523
11.722,50523
11.823,50524
11.923,50538
12.023,50553
12.123,50559
12.223,50571
12.323,50582
12.424,50582
12.524,50583
12.624,50594
12.724,50611
12.824,50628
12.924,50653
13.024,50676
13.124,50700
13.224,50728
13.325,50748
13.425,50769
13.525,50794
13.625,50819
13.725,50844
13.825,50869
13.926,50894
14.026,50919
14.126,50944
14.226,50969
14.326,50994
14.426,51019
14.526,51044
14.626,51069
14.727,51094
14.827,51119
14.927,51147
15.027,51172
15.127,51197
15.227,51222
15.327,51248
15.428,51273
15.527,51298
15.628,51323
15.728,51348
15.828,51373
15.929,51398
16.028,51423
16.128,51448
16.228,51473
16.328,51499
16.429,51524
16.529,51549
16.629,51574
16.729,51599
16.830,51624
16.930,51649
17.030,51674
17.130,51699
17.230,51724
17.330,51749
17.430,51774
17.530,51799
17.630,51824
17.730,51849
17.830,51874
17.931,51899
18.031,51924
18.131,51951
18.231,51974
18.331,51999
18.431,52026
18.531,52050
18.631,52076
18.732,52099
18.832,52126
18.932,52151
19.032,52179
19.132,52204
19.232,52229
19.332,52257
19.432,52282
19.532,52308
19.633,52331
19.733,52356
19.833,52383
19.933,52408
20.033,52433
20.133,52458
20.233,52484
20.333,52508
20.433,52533
20.533,52558
20.633,52583
20.733,52608
20.834,52633
20.934,52658
21.034,52684
21.134,52709
21.234,52735
21.334,52760
21.434,52784
21.534,52810
21.634,52836
21.734,52860
21.834,52886
21.935,52911
22.035,52935
22.135,52960
22.235,52986
22.335,53012
22.435,53036
22.535,53061
22.635,53086
22.735,53112
22.835,53137
22.936,53161
23.036,53187
23.136,53211
23.236,53237
23.336,53263
24.436,53545
24.536,53571
24.636,53597
24.736,53622
24.836,53647
24.936,53672
25.036,53697
25.136,53722
25.236,53747
25.337,53772
26.437,54048
26.537,54073
26.637,54098
26.737,54123
26.837,54148
26.937,54173
27.037,54198
27.137,54223
27.237,54248
27.337,54273
27.437,54298
27.537,54323
27.637,54349
27.737,54376
27.838,54404
27.938,54429
28.038,54454
28.138,54479
28.238,54504
28.338,54529
28.438,54554
28.538,54571
28.639,54581
28.739,54581
28.839,54581
28.939,54581
29.039,54581
29.139,54581
29.239,54581
29.339,54581
29.440,54581
29.540,54581
29.640,54581
29.740,54581
29.840,54581
29.940,54582
30.041,54582
30.141,54582
30.241,54582
30.341,54582
30.441,54582
30.541,54582
30.641,54582
30.741,54582
30.841,54582
30.942,54582
31.042,54582
31.142,54582
31.242,54582
31.342,54582
31.442,54582
31.542,54582
31.642,54582
31.743,54582
31.843,54582
31.943,54582
32.043,54583
32.143,54584
32.243,54584
32.343,54584
32.443,54584
32.544,54584
32.644,54584
32.744,54584
32.844,54584
32.944,54584
33.045,54584
33.145,54584
33.245,54584
33.345,54584
33.445,54584
33.546,54584
33.646,54584
33.746,54584
33.846,54584
33.947,54584
34.047,54584
34.147,54584
34.247,54584
34.347,54585
34.448,54585
34.548,54585
34.648,54585
34.748,54585
34.848,54585
34.948,54585
35.048,54585
