FROM_CLIENT
1462164119
time,rx_packets
0.001,51167
0.101,51167
0.201,51167
0.301,51167
0.401,51167
0.502,51167
0.602,51167
0.702,51167
0.802,51167
0.902,51167
1.003,51167
1.103,51167
1.203,51167
1.303,51167
1.403,51167
1.504,51167
1.604,51167
1.704,51167
1.804,51167
1.904,51167
2.005,51167
2.105,51167
2.205,51167
2.305,51167
2.406,51167
2.506,51168
2.606,51173
2.706,51178
2.807,51183
2.907,51188
3.007,51193
3.107,51198
3.208,51203
3.308,51208
3.408,51213
3.508,51218
3.608,51223
3.709,51228
3.809,51233
3.909,51238
4.009,51243
4.109,51248
4.209,51253
4.310,51258
4.410,51263
4.510,51268
4.610,51273
4.711,51278
4.811,51283
4.911,51288
5.011,51293
5.111,51298
5.211,51303
5.311,51308
5.412,51313
5.512,51318
5.612,51323
5.712,51328
5.812,51333
5.913,51338
6.013,51343
6.113,51348
6.213,51353
6.313,51358
6.414,51363
6.514,51368
6.614,51373
6.714,51378
6.814,51383
6.915,51388
7.015,51393
7.115,51398
7.215,51403
7.315,51408
7.415,51413
7.516,51419
7.616,51424
7.717,51429
7.816,51434
7.917,51439
8.017,51444
8.117,51449
8.217,51454
8.317,51459
8.417,51464
8.517,51469
8.618,51474
8.718,51479
8.818,51484
8.918,51489
9.018,51494
9.119,51499
9.219,51504
9.319,51509
9.419,51513
9.519,51520
9.619,51525
9.719,51530
9.819,51535
9.919,51540
10.019,51545
10.120,51550
10.220,51555
10.320,51560
10.420,51565
10.520,51570
10.621,51575
10.721,51580
10.821,51585
10.921,51590
11.021,51595
11.122,51600
11.222,51605
11.322,51610
11.422,51615
11.522,51620
11.622,51625
11.722,51630
11.823,51635
11.924,51640
12.024,51645
12.123,51650
12.224,51655
12.324,51660
12.424,51665
12.525,51671
12.624,51676
12.725,51681
12.825,51686
12.925,51691
13.025,51696
13.126,51701
13.226,51706
13.325,51711
13.426,51716
13.526,51721
13.627,51726
13.726,51731
13.827,51736
13.927,51741
14.027,51746
14.127,51751
14.227,51756
14.327,51761
14.427,51766
14.527,51771
14.627,51776
14.728,51781
14.828,51786
14.928,51791
15.029,51796
15.129,51801
15.228,51806
15.329,51811
15.428,51816
15.529,51821
15.629,51826
15.728,51831
15.829,51836
15.930,51841
16.030,51846
16.131,51851
16.230,51856
16.331,51861
16.431,51866
16.532,51871
16.632,51876
16.732,51881
16.832,51886
16.932,51891
17.032,51896
17.134,51901
17.234,51906
17.334,51911
17.434,51916
17.535,51921
17.634,51926
17.735,51931
17.835,51936
17.934,51941
18.036,51946
18.136,51951
18.236,51956
18.335,51961
18.435,51966
18.535,51971
18.635,51976
18.736,51981
18.836,51986
18.935,51991
19.035,51996
19.136,52001
19.236,52006
19.337,52011
19.436,52016
19.536,52021
19.636,52026
19.736,52031
19.836,52036
19.936,52041
20.037,52046
20.137,52051
20.237,52056
20.337,52061
20.437,52066
20.537,52071
20.637,52076
20.737,52081
20.838,52086
20.938,52091
21.038,52096
21.138,52101
21.238,52106
21.338,52111
21.438,52116
21.538,52121
21.638,52126
21.739,52131
21.839,52136
21.939,52141
22.039,52147
22.140,52152
22.240,52157
22.340,52162
22.440,52167
22.540,52172
22.640,52177
22.740,52182
22.841,52187
22.941,52192
23.041,52197
23.141,52202
23.241,52207
23.341,52212
23.441,52217
23.542,52222
23.642,52227
23.742,52232
23.842,52237
23.942,52242
24.042,52247
24.142,52252
24.243,52257
24.343,52262
24.443,52267
24.543,52272
24.644,52277
24.744,52282
24.844,52287
24.944,52292
25.044,52297
25.144,52302
25.244,52307
25.344,52312
25.445,52317
25.545,52322
25.645,52327
25.745,52332
25.845,52337
25.945,52342
26.046,52347
26.146,52352
26.246,52357
26.346,52362
26.446,52367
26.546,52372
26.646,52377
26.746,52382
26.846,52387
26.947,52392
27.047,52397
27.147,52402
27.247,52407
27.347,52412
27.448,52417
27.548,52422
27.648,52427
27.748,52432
27.848,52437
27.948,52442
28.049,52447
28.149,52452
28.249,52456
28.349,52456
28.449,52456
28.549,52456
28.649,52456
28.749,52456
28.849,52456
28.949,52456
29.050,52456
29.150,52456
29.250,52456
29.350,52456
29.450,52456
29.551,52456
29.651,52456
29.751,52456
29.851,52457
29.952,52457
30.052,52457
30.152,52457
30.252,52457
30.353,52457
30.453,52457
30.553,52457
30.653,52457
30.753,52457
30.853,52457
30.954,52457
31.054,52457
31.154,52457
31.254,52457
31.354,52457
31.455,52457
31.555,52457
31.655,52457
31.755,52457
31.855,52457
31.956,52457
32.056,52457
32.156,52457
32.256,52457
32.356,52457
32.457,52457
32.557,52457
32.657,52457
32.757,52457
32.857,52457
32.958,52457
33.058,52457
33.158,52457
33.258,52457
33.359,52457
33.459,52457
33.559,52457
33.659,52457
33.759,52457
33.859,52457
33.960,52457
34.060,52457
34.160,52457
34.260,52457
34.361,52457
34.461,52457
34.561,52457
34.661,52457
34.762,52457
34.862,52457
