FROM_KISTI
1462164119
time,rx_packets
0.001,8849
0.101,8849
0.201,8849
0.301,8849
0.402,8849
0.502,8849
0.602,8849
0.702,8849
0.802,8849
0.903,8849
1.003,8849
1.103,8849
1.203,8849
1.303,8849
1.404,8849
1.504,8849
1.604,8849
1.704,8849
1.804,8849
1.905,8849
2.005,8849
2.105,8849
2.205,8849
2.305,8849
2.406,8849
2.506,8849
2.606,8849
2.706,8851
2.807,8856
2.907,8861
3.007,8866
3.107,8871
3.207,8875
3.307,8879
3.408,8883
3.508,8886
3.608,8889
3.708,8890
3.808,8890
3.908,8895
4.008,8898
4.108,8898
4.209,8899
4.309,8905
4.409,8910
4.509,8913
4.609,8917
4.709,8921
4.809,8921
4.910,8922
5.010,8928
5.110,8929
5.210,8929
5.310,8933
5.410,8938
5.510,8939
5.611,8939
5.711,8943
5.811,8947
5.911,8947
6.011,8947
6.112,8953
6.212,8955
6.312,8958
6.412,8963
6.512,8968
6.613,8968
6.713,8968
6.813,8973
6.913,8976
7.013,8976
7.113,8978
7.214,8983
7.314,8988
7.414,8991
7.514,8995
7.614,8999
7.714,9000
7.815,9001
7.915,9006
8.015,9008
8.115,9008
8.215,9011
8.315,9017
8.416,9018
8.516,9018
8.616,9023
8.716,9026
8.816,9026
8.916,9028
9.017,9033
9.117,9034
9.217,9035
9.317,9041
9.417,9044
9.517,9044
9.618,9045
9.718,9047
9.818,9053
9.918,9053
10.018,9055
10.118,9060
10.218,9064
10.319,9068
10.419,9072
10.519,9074
10.619,9074
10.719,9077
10.819,9082
10.920,9082
11.020,9082
11.120,9087
11.220,9093
11.320,9096
11.420,9098
11.521,9103
11.621,9104
11.721,9104
11.821,9108
11.921,9112
12.022,9112
12.122,9114
12.222,9119
12.322,9120
12.422,9120
12.522,9124
12.623,9128
12.723,9129
12.823,9135
12.923,9140
13.023,9149
13.123,9158
13.224,9163
13.324,9168
13.424,9173
13.524,9178
13.624,9183
13.724,9188
13.824,9193
13.924,9198
14.024,9203
14.125,9208
14.225,9213
14.325,9218
14.425,9223
14.525,9228
14.625,9233
14.725,9238
14.826,9239
14.926,9248
15.026,9253
15.126,9258
15.226,9263
15.326,9268
15.426,9273
15.526,9278
15.627,9283
15.727,9288
15.827,9293
15.927,9298
16.027,9303
16.127,9308
16.227,9313
16.327,9318
16.428,9323
16.528,9328
16.628,9333
16.728,9338
16.828,9343
16.928,9348
17.028,9353
17.128,9358
17.228,9363
17.329,9368
17.429,9373
17.529,9378
17.629,9383
17.729,9388
17.829,9393
17.929,9398
18.030,9403
18.130,9408
18.230,9413
18.330,9418
18.430,9423
18.530,9428
18.630,9433
18.730,9438
18.831,9443
18.931,9448
19.031,9453
19.131,9458
19.231,9463
19.331,9468
19.431,9473
19.531,9478
19.631,9483
19.732,9488
19.832,9493
19.932,9498
20.032,9503
20.132,9508
20.232,9513
20.332,9518
20.432,9523
20.533,9528
20.633,9533
20.733,9538
20.833,9543
20.933,9548
21.033,9553
21.133,9558
21.233,9563
21.333,9568
21.434,9573
21.534,9578
21.634,9583
21.734,9588
21.834,9593
21.934,9598
22.035,9603
22.135,9608
22.235,9613
22.335,9618
22.435,9623
22.535,9628
22.635,9633
22.735,9638
22.835,9643
22.935,9648
23.035,9653
23.136,9658
23.236,9663
23.336,9668
23.436,9673
23.536,9679
23.636,9684
23.736,9689
23.836,9694
23.937,9699
24.037,9704
24.137,9709
24.237,9714
24.337,9719
24.437,9724
24.537,9729
24.638,9734
24.738,9739
24.838,9744
24.938,9749
25.038,9754
25.138,9759
25.238,9764
25.338,9769
25.438,9774
25.539,9779
25.639,9784
25.739,9789
25.839,9794
25.939,9799
26.039,9804
26.139,9809
26.240,9814
26.340,9819
26.440,9824
26.540,9829
26.640,9834
26.740,9839
26.841,9844
26.941,9849
27.041,9854
27.141,9859
27.241,9864
27.341,9869
27.441,9874
27.541,9879
27.641,9884
27.742,9889
27.841,9894
27.942,9899
28.042,9904
28.142,9909
28.242,9914
28.342,9919
28.442,9921
28.542,9921
28.642,9921
28.743,9921
28.843,9921
28.943,9921
29.043,9921
29.143,9921
29.244,9921
29.344,9921
29.444,9921
29.544,9921
29.645,9921
29.745,9921
29.845,9921
29.945,9921
30.045,9921
30.146,9921
30.246,9921
30.346,9921
30.446,9921
30.546,9921
30.647,9921
30.747,9921
30.847,9921
30.947,9921
31.047,9921
31.148,9921
31.248,9921
31.348,9921
31.448,9921
31.549,9921
31.649,9921
31.749,9921
31.849,9921
31.949,9921
32.050,9921
32.150,9921
32.250,9921
32.350,9921
32.450,9921
32.551,9921
32.651,9921
32.751,9921
32.851,9921
32.951,9921
33.052,9921
33.152,9921
33.252,9921
33.352,9921
33.452,9921
33.553,9921
33.653,9921
33.753,9921
33.853,9921
33.954,9921
34.054,9921
34.154,9921
34.254,9921
34.354,9921
34.455,9921
34.555,9921
34.655,9921
34.755,9921
34.855,9921
34.956,9921
35.056,9921
35.156,9921
35.256,9921
35.356,9921
35.457,9921
35.557,9921
35.657,9921
35.757,9921
35.858,9921
35.958,9921
36.058,9921
36.158,9921
36.258,9921
36.358,9921
