TO_ORANGE
1462164119
time,tx_packets
0.001,51117
0.101,51117
0.201,51117
0.301,51117
0.401,51117
0.502,51117
0.602,51117
0.702,51117
0.802,51117
0.902,51117
1.003,51117
1.103,51117
1.203,51117
1.303,51117
1.404,51117
1.504,51117
1.604,51117
1.704,51117
1.804,51117
1.905,51117
2.005,51117
2.105,51117
2.205,51117
2.305,51117
2.406,51117
2.506,51117
2.606,51117
2.706,51123
2.807,51128
2.907,51133
3.007,51138
3.107,51143
3.207,51148
3.307,51153
3.408,51158
3.508,51163
3.608,51168
3.708,51173
3.808,51178
3.909,51183
4.009,51188
4.109,51193
4.209,51198
4.309,51203
4.409,51208
4.510,51213
4.610,51218
4.710,51223
4.810,51228
4.910,51233
5.011,51238
5.111,51243
5.211,51248
5.311,51253
5.411,51258
5.512,51263
5.612,51268
5.712,51273
5.812,51278
5.912,51283
6.013,51288
6.113,51293
6.213,51298
6.313,51303
6.413,51308
6.513,51313
6.614,51318
6.714,51323
6.814,51328
6.914,51333
7.014,51338
7.114,51343
7.215,51348
7.315,51353
7.415,51358
7.515,51363
7.615,51368
7.715,51374
7.815,51379
7.916,51384
8.016,51389
8.116,51394
8.216,51399
8.316,51404
8.416,51409
8.516,51414
8.617,51419
8.717,51424
8.817,51429
8.917,51434
9.017,51439
9.117,51444
9.217,51449
9.317,51454
9.418,51459
9.518,51461
9.618,51469
9.718,51474
9.818,51479
9.919,51484
10.019,51489
10.119,51494
10.219,51499
10.319,51504
10.420,51509
10.520,51514
10.620,51519
10.720,51524
10.820,51529
10.921,51534
11.021,51539
11.121,51544
11.221,51549
11.321,51554
11.421,51559
11.522,51564
11.622,51569
11.722,51574
11.822,51579
11.922,51584
12.023,51589
12.123,51594
12.223,51599
12.323,51604
12.423,51609
12.524,51614
12.624,51619
12.724,51625
12.824,51630
12.924,51634
13.024,51634
13.125,51638
13.225,51643
13.325,51647
13.425,51653
13.525,51658
13.625,51662
13.725,51668
13.826,51673
13.926,51678
14.026,51682
14.126,51688
14.226,51693
14.326,51698
14.426,51703
14.526,51708
14.627,51712
14.727,51718
14.827,51723
14.927,51728
15.027,51733
15.127,51738
15.227,51743
15.327,51747
15.428,51753
15.528,51758
15.628,51763
15.728,51768
15.828,51773
15.928,51778
16.028,51783
16.129,51788
16.229,51793
16.329,51798
16.429,51803
16.529,51808
16.629,51813
16.729,51818
16.829,51823
16.929,51828
17.030,51833
17.130,51838
17.230,51843
17.330,51848
17.430,51853
17.530,51858
17.630,51863
17.730,51868
17.830,51873
17.930,51878
18.030,51883
18.131,51888
18.231,51893
18.331,51898
18.431,51903
18.531,51908
18.631,51913
18.731,51918
18.831,51923
18.932,51928
19.032,51933
19.132,51938
19.232,51943
19.332,51948
19.432,51953
19.532,51958
19.632,51962
19.732,51968
19.833,51973
19.933,51978
20.033,51983
20.133,51988
20.233,51993
20.333,51998
20.433,52003
20.533,52008
20.634,52013
20.733,52018
20.834,52023
20.934,52028
21.034,52033
21.134,52038
21.234,52043
21.334,52048
21.434,52053
21.534,52058
21.635,52063
21.735,52068
21.835,52073
21.935,52078
22.035,52083
22.135,52088
22.235,52093
22.335,52098
22.435,52103
22.535,52108
22.635,52113
22.735,52118
22.836,52123
22.936,52128
23.036,52133
23.136,52138
23.236,52143
23.336,52147
23.436,52153
23.537,52158
23.637,52163
23.737,52168
23.837,52173
23.937,52178
24.037,52183
24.137,52188
24.238,52193
24.338,52198
24.438,52203
24.538,52208
24.638,52213
24.738,52218
24.838,52223
24.938,52228
25.038,52233
25.138,52238
25.238,52243
25.338,52248
25.438,52253
25.539,52258
25.639,52263
25.739,52268
25.839,52273
25.939,52278
26.039,52283
26.140,52288
26.240,52293
26.340,52298
26.440,52303
26.540,52308
26.640,52313
26.740,52318
26.840,52323
26.941,52328
27.041,52333
27.141,52338
27.241,52343
27.341,52348
27.441,52353
27.541,52358
27.641,52363
27.741,52368
27.841,52373
27.941,52378
28.041,52383
28.141,52388
28.242,52393
28.342,52398
28.442,52403
28.542,52407
28.642,52407
28.742,52407
28.842,52407
28.942,52407
29.042,52407
29.143,52407
29.243,52407
29.343,52407
29.443,52407
29.543,52407
29.643,52407
29.743,52407
29.843,52407
29.944,52407
30.044,52407
30.144,52407
30.244,52407
30.344,52407
30.445,52407
30.545,52407
30.645,52407
30.745,52407
30.845,52407
30.946,52407
31.046,52407
31.146,52407
31.246,52407
31.346,52407
31.447,52407
31.547,52407
31.647,52407
31.747,52407
31.847,52407
31.948,52407
32.048,52407
32.148,52407
32.248,52407
32.349,52407
32.449,52407
32.549,52407
32.649,52407
32.749,52407
32.850,52407
32.950,52407
33.050,52407
33.150,52407
33.250,52407
33.351,52407
33.451,52407
33.551,52407
33.651,52407
33.751,52407
33.852,52407
33.952,52407
34.052,52407
34.152,52407
34.252,52407
34.353,52407
34.453,52407
34.553,52407
34.653,52407
34.753,52407
34.854,52407
34.954,52407
35.054,52407
35.154,52407
35.255,52407
35.355,52407
35.455,52407
35.555,52407
35.655,52407
