TO_UA
1462164119
time,tx_packets
0.001,65944
0.101,65945
0.201,65945
0.301,65945
0.401,65945
0.501,65945
0.601,65945
0.702,65945
0.802,65945
0.902,65945
1.002,65945
1.102,65945
1.202,65946
1.302,65946
1.403,65946
1.503,65946
1.603,65946
1.703,65946
1.803,65946
1.903,65946
2.004,65946
2.103,65948
2.204,65949
2.304,65949
2.404,65949
2.504,65949
2.604,65974
2.705,66003
2.804,66030
2.905,66058
3.005,66084
3.105,66109
3.205,66131
3.306,66154
3.405,66170
3.506,66185
3.606,66189
3.706,66194
3.807,66215
3.906,66225
4.006,66230
4.106,66242
4.208,66263
4.307,66286
4.408,66300
4.508,66328
4.607,66340
4.708,66345
4.808,66359
4.908,66378
5.008,66383
5.109,66389
5.209,66414
5.309,66434
5.409,66443
5.509,66448
5.609,66467
5.710,66479
5.810,66485
5.910,66494
6.010,66515
6.110,66523
6.211,66541
6.310,66563
6.411,66588
6.511,66593
6.611,66599
6.713,66621
6.812,66630
6.911,66635
7.012,66649
7.112,66670
7.212,66691
7.312,66703
7.412,66732
7.512,66743
7.613,66749
7.716,66760
7.814,66779
7.913,66786
8.014,66790
8.114,66813
8.215,66834
8.314,66840
8.414,66852
8.515,66872
8.615,66881
8.716,66887
8.816,66901
8.917,66918
9.016,66924
9.117,66941
9.217,66961
9.317,66977
9.418,66981
9.518,66990
9.619,67007
9.718,67022
9.819,67027
9.919,67042
10.018,67059
10.119,67079
10.219,67096
10.319,67124
10.420,67130
10.520,67135
10.620,67152
10.721,67169
10.821,67174
10.921,67181
11.021,67203
11.121,67225
11.221,67237
11.322,67261
11.421,67278
11.522,67283
11.623,67289
11.723,67309
11.823,67320
11.923,67325
12.024,67342
12.123,67363
12.223,67369
12.324,67375
12.425,67394
12.524,67406
12.625,67427
12.724,67452
12.825,67482
12.926,67517
13.025,67549
13.125,67579
13.225,67610
13.326,67640
13.425,67670
13.526,67700
13.627,67730
13.727,67760
13.826,67791
13.927,67821
14.026,67851
14.127,67881
14.226,67911
14.327,67941
14.427,67971
14.527,68000
14.627,68031
14.727,68061
14.827,68093
14.927,68123
15.027,68153
15.128,68183
15.229,68215
15.330,68245
15.429,68275
15.529,68305
15.629,68335
15.729,68365
15.829,68395
15.931,68425
16.031,68456
16.130,68485
16.231,68515
16.331,68546
16.432,68577
16.532,68607
16.632,68637
16.732,68667
16.833,68698
16.933,68728
17.034,68758
17.133,68788
17.234,68819
17.334,68849
17.434,68879
17.535,68909
17.635,68939
17.735,68970
17.835,69000
17.936,69029
18.037,69060
18.136,69090
18.236,69120
18.337,69152
18.437,69182
18.537,69212
18.637,69242
18.737,69272
18.837,69302
18.937,69332
19.037,69362
19.137,69392
19.237,69423
19.337,69453
19.437,69484
19.537,69513
19.637,69546
19.737,69576
19.838,69604
19.938,69636
20.038,69666
20.139,69696
20.239,69727
20.339,69757
20.439,69787
20.539,69817
20.639,69846
20.739,69878
20.839,69908
20.940,69938
21.040,69967
21.140,69998
21.240,70029
21.340,70059
21.440,70088
21.540,70118
21.640,70150
21.740,70179
21.840,70211
21.940,70240
22.041,70269
22.141,70300
22.241,70330
22.341,70361
22.442,70391
22.541,70423
22.642,70453
22.742,70483
22.842,70513
22.942,70543
23.042,70573
23.142,70603
23.242,70631
23.343,70662
23.443,70690
23.543,70715
23.643,70742
23.743,70767
23.843,70792
23.943,70818
24.043,70843
24.143,70868
24.244,70895
24.344,70924
24.444,70949
24.545,70973
24.644,70999
24.745,71024
24.845,71049
24.945,71074
25.045,71099
25.145,71126
25.245,71156
25.346,71182
25.446,71207
25.546,71234
25.646,71259
25.746,71284
25.846,71309
25.946,71334
26.046,71360
26.146,71387
26.246,71417
26.346,71442
26.446,71467
26.547,71492
26.647,71517
26.747,71542
26.847,71567
26.947,71592
27.047,71617
27.148,71644
27.248,71672
27.348,71697
27.448,71722
27.548,71747
27.648,71772
27.749,71797
27.849,71822
27.949,71847
28.049,71872
28.149,71903
28.249,71931
28.350,71950
28.449,71965
28.550,71965
28.650,71965
28.750,71965
28.850,71965
28.951,71965
29.051,71965
29.151,71965
29.251,71965
29.351,71966
29.452,71966
29.552,71966
29.652,71966
29.752,71967
29.852,71967
29.953,71967
30.053,71967
30.153,71967
30.253,71967
30.353,71967
30.454,71968
30.554,71968
30.654,71968
30.754,71968
30.855,71968
30.955,71968
31.055,71970
31.155,71970
31.255,71970
31.356,71970
31.456,71970
31.556,71970
31.656,71970
31.756,71970
31.856,71970
31.957,71970
32.057,71970
32.157,71971
32.257,71973
32.357,71973
32.458,71973
32.558,71977
32.658,71977
32.758,71977
32.858,71977
32.959,71977
33.059,71977
33.159,71977
33.259,71977
33.360,71977
33.460,71977
33.560,71978
33.660,71978
33.760,71978
33.860,71978
33.961,71978
34.061,71978
34.161,71978
34.261,71978
34.361,71978
34.462,71978
34.562,71978
34.662,71978
34.762,71979
34.863,71979
