TO_UM
1462164119
time,tx_packets
0.001,181016
0.101,181021
0.201,181022
0.301,181023
0.401,181023
0.502,181023
0.602,181024
0.702,181024
0.802,181024
0.902,181024
1.003,181024
1.103,181024
1.203,181024
1.303,181024
1.403,181024
1.504,181024
1.604,181024
1.704,181024
1.804,181024
1.904,181024
2.005,181024
2.105,181025
2.205,181026
2.305,181027
2.405,181027
2.506,181027
2.606,181057
2.706,181106
2.806,181148
2.906,181186
3.006,181215
3.106,181244
3.207,181271
3.307,181303
3.407,181329
3.507,181353
3.608,181365
3.709,181375
3.808,181405
3.908,181428
4.009,181438
4.109,181454
4.210,181486
4.310,181502
4.409,181513
4.510,181542
4.611,181577
4.709,181590
4.810,181605
4.910,181634
5.010,181652
5.110,181662
5.211,181675
5.311,181694
5.411,181706
5.511,181721
5.612,181740
5.711,181758
5.813,181779
5.912,181796
6.013,181816
6.113,181834
6.212,181854
6.314,181868
6.414,181892
6.513,181910
6.613,181929
6.715,181950
6.815,181968
6.914,181988
7.014,182006
7.115,182026
7.214,182044
7.314,182063
7.415,182087
7.515,182107
7.615,182127
7.715,182145
7.815,182165
7.917,182183
8.016,182204
8.116,182220
8.216,182231
8.317,182249
8.418,182265
8.518,182286
8.618,182304
8.718,182328
8.818,182345
8.919,182366
9.019,182384
9.119,182403
9.220,182413
9.320,182432
9.420,182446
9.520,182464
9.620,182481
9.721,182509
9.821,182528
9.920,182545
10.021,182565
10.121,182584
10.221,182602
10.321,182624
10.421,182642
10.522,182664
10.622,182681
10.723,182702
10.822,182724
10.922,182740
11.022,182759
11.122,182778
11.223,182798
11.323,182818
11.423,182841
11.523,182860
11.623,182877
11.723,182896
11.823,182915
11.923,182936
12.024,182952
12.124,182963
12.224,182977
12.324,182993
12.424,183012
12.524,183032
12.625,183052
12.725,183068
12.825,183087
12.925,183109
13.025,183130
13.125,183145
13.226,183180
13.326,183227
13.426,183272
13.526,183317
13.626,183362
13.726,183407
13.826,183452
13.927,183497
14.027,183543
14.127,183588
14.227,183633
14.327,183678
14.427,183723
14.528,183768
14.628,183813
14.728,183857
14.828,183905
14.928,183950
15.028,183995
15.128,184040
15.229,184086
15.329,184132
15.429,184176
15.529,184221
15.629,184266
15.730,184312
15.830,184356
15.930,184401
16.030,184447
16.131,184491
16.231,184537
16.331,184582
16.431,184627
16.531,184673
16.631,184718
16.732,184763
16.832,184808
16.932,184853
17.032,184898
17.132,184943
17.233,184992
17.333,185038
17.433,185083
17.533,185128
17.633,185173
17.734,185218
17.834,185265
17.934,185309
18.034,185354
18.134,185401
18.234,185445
18.334,185491
18.435,185536
18.535,185581
18.635,185627
18.735,185672
18.835,185716
18.935,185762
19.035,185808
19.136,185854
19.236,185899
19.336,185945
19.436,185990
19.536,186035
19.636,186081
19.736,186125
19.837,186172
19.937,186215
20.037,186258
20.137,186304
20.237,186349
20.337,186393
20.437,186438
20.538,186483
20.638,186528
20.738,186575
20.838,186620
20.938,186665
21.038,186710
21.138,186755
21.239,186800
21.339,186846
21.439,186890
21.539,186936
21.639,186984
21.739,187029
21.839,187074
21.940,187119
22.040,187164
22.140,187210
22.240,187256
22.340,187301
22.440,187347
22.540,187392
22.641,187437
22.741,187482
22.841,187527
22.941,187572
23.041,187617
23.142,187662
23.242,187708
23.342,187753
23.442,187799
23.542,187830
23.643,187861
23.743,187891
23.843,187921
23.943,187952
24.043,187982
24.143,188012
24.243,188043
24.343,188086
24.443,188115
24.543,188144
24.643,188175
24.743,188205
24.844,188235
24.944,188265
25.044,188295
25.144,188325
25.244,188366
25.344,188400
25.444,188430
25.544,188460
25.644,188490
25.744,188520
25.844,188550
25.945,188580
26.045,188610
26.145,188642
26.245,188684
26.345,188715
26.445,188746
26.545,188776
26.646,188806
26.746,188837
26.846,188867
26.946,188897
27.046,188927
27.147,188960
27.247,189001
27.347,189030
27.447,189060
27.547,189090
27.647,189120
27.748,189150
27.848,189180
27.948,189210
28.048,189240
28.148,189282
28.248,189316
28.349,189346
28.449,189373
28.549,189387
28.649,189392
28.749,189392
28.849,189392
28.950,189392
29.050,189392
29.150,189392
29.250,189392
29.351,189393
29.451,189394
29.551,189394
29.651,189394
29.751,189394
29.852,189394
29.952,189394
30.052,189394
30.152,189394
30.252,189394
30.353,189394
30.453,189394
30.553,189400
30.653,189400
30.753,189400
30.854,189401
30.954,189401
31.054,189402
31.154,189402
31.254,189402
31.355,189402
31.455,189403
31.555,189403
31.655,189403
31.755,189403
31.856,189403
31.956,189403
32.056,189403
32.156,189404
32.256,189404
32.357,189404
32.457,189404
32.557,189407
32.657,189407
32.757,189407
32.858,189407
32.958,189407
33.058,189407
33.158,189407
33.258,189407
33.359,189407
33.459,189407
33.559,189408
33.659,189408
33.759,189408
33.860,189408
33.960,189409
34.060,189409
34.160,189410
34.260,189410
34.361,189410
34.461,189410
34.561,189410
34.661,189410
34.761,189414
34.862,189415
